14,ἀπικρόχολος,a,aps---cn2-,ἀπικρόχολος ἀπικρόχολος ἀπικρόχολον,,,,,0
11463,α12064,ἀπλαστία,n,n-s---fn1l,ἀπλαστίας,,,,,0
11464,α12065,ἄπλαστος,a,aps---cn2-,ἄπλαστος ἄπλαστος ἄπλαστον,,,,,0
11465,α12066,ἀπλατής,a,aps---cn5s,ἀπλατής ἀπλατής ἀπλατές,,,,,0
11466,α12067,ἄπλατος,a,aps---cn2-,ἄπλατος ἄπλατος ἄπλατον,,,,,0
11467,α12068,ἀπλεκής,a,aps---cn5s,ἀπλεκής ἀπλεκής ἀπλεκές,,,,,0
11468,α12069,ἄπλεκτος,a,aps---cn2-,ἄπλεκτος ἄπλεκτος ἄπλεκτον,,,,,0
11470,α12071,ἀπλεονέκτητος,a,aps---cn2-,ἀπλεονέκτητος ἀπλεονέκτητος ἀπλεονέκτητον,,,,,0
11471,α12072,ἀπλετομεγέθης,a,aps---cn3s,ἀπλετομεγέθης ἀπλετομεγέθης ἀπλετομεγέθες,,,,,0
11472,α12073,ἄπλετος,a,aps---cn2-,ἄπλετος ἄπλετος ἄπλετον,,,,,0
11474,α12075,ἄπλευστος,a,aps---cn2-,ἄπλευστος ἄπλευστος ἄπλευστον,,,,,0
11475,α12076,ἀπληγής,a,aps---cn5s,ἀπληγής ἀπληγής ἀπληγές,,,,,0
11476,α12077,ἀπλήγιος,a,aps---cn2-,ἀπλήγιος ἀπλήγιος ἀπλήγιον,,,,,0
11477,α12078,ἁπληγίς,n,n-s---fn3d,ἁπληγίδος,,,,,0
11478,α12079,ἄπληγος,a,aps---cn2-,ἄπληγος ἄπληγος ἄπληγον,,,,,0
11480,α12081,ἄπληκτος,a,aps---cn2-,ἄπληκτος ἄπληκτος ἄπληκτον,,,,,0
11481,α12082,ἀπλημμελῶς,r,----------,,,,,,0
11482,α12083,ἀπλήμων,a,aps---cn2-,ἀπλήμων ἀπλήμων ἄπληκτον,,,,,0
11483,α12084,ἀπλήξ,n,n-s---cn3e,ἀπλῆγος,,,,,0
11484,α12085,ἀπλήρωτος,a,aps---cn2-,ἀπλήρωτος ἀπλήρωτος ἀπλήρωτον,,,,,0
11485,α12086,ἀπλησίαστος,a,aps---cn2-,ἀπλησίαστος ἀπλησίαστος ἀπλησίαστον,,,,,0
11486,α12087,ἀπληστεί,r,----------,,,,,,0
11487,α12088,ἀπληστεύομαι,v,----------,,,,,,0
11488,α12089,ἀπληστία,n,n-s---fn1l,ἀπληστίας,,,/a.plɛːs.tí.aː/,,0
11489,α12090,ἀπλήστοινος,a,aps---cn2-,ἀπλήστοινος ἀπλήστοινος ἀπλήστοινον,,,,,0
11490,α12091,ἄπληστος,a,aps---cn2-,ἄπληστος ἄπληστος ἄπληστον,,,,,0
11491,α12092,ἄπλητος,a,aps---cn2-,ἄπλητος ἄπλητος ἄπλητον,,,,,0
11492,α12093,ἄπλια,v,----------,,,,,,0
11493,α12094,ἀπλίκιτον,n,n-s---nn2-,ἀπλικίτου,,,,,0
11494,α12096,ἁπλοδίσημος,a,aps---cn2-,ἁπλοδίσημος ἁπλοδίσημος ἁπλοδίσημον,,,,,0
11495,α12097,ἁπλοειδής,a,aps---cn5s,ἁπλοειδής ἁπλοειδής ἁπλοειδές,,,,,0
11496,α12098,ἅπλοθριξ,n,----------,,,,,,0
11497,α12099,ἄπλοια,n,n-s---fn1s,ἄπλοιας,,,,,0
11498,α12100,ἁπλοί̈διον,n,n-s---nn2-,ἁπλοϊδίου,,,,,0
11499,α12101,ἁπλοί̈ζομαι,v,----------,,,,,,0
11500,α12102,ἁπλοϊκός,a,aps---mn1-,ἁπλοϊκός ἁπλοϊκή ἁπλοϊκόν,,,,,0
11501,α12103,ἁπλοί̈ς,n,n-s---fn3d,ἁπλοιίδος,,,,,0
11502,α12104,ἀπλόκαμος,a,aps---cn2-,ἀπλόκαμος ἀπλόκαμος ἀπλόκαμον,,,,,0
11503,α12105,ἄπλοκος,a,aps---cn2-,ἄπλοκος ἄπλοκος ἄπλοκον,,,,,0
11504,,Ἁπλοκύων,n,----------,,,,,,0
11505,α12107,ἁπλόος,a,aps---mn1-,ἁπλόος ἁπλόη ἁπλόον,,,/ha.pló.os/,,0
11507,α12108,ἁπλοπαθής,a,aps---cn5s,ἁπλοπαθής ἁπλοπαθής ἁπλοπαθές,,,,,0
11508,α12109,ἁπλός,a,aps---mn1-,ἁπλός ἁπλή ἁπλόν,,,,,0
11509,α12110,ἁπλοσύνη,n,n-s---fn1e,ἁπλοσύνης,,,,,0
11510,α12111,ἁπλοσχήμων,a,aps---cn2-,ἁπλοσχήμων ἁπλοσχήμων ἄπλοκον,,,,,0
11511,α12112,ἁπλότης,n,n-s---fn3t,ἁπλότητος,,,,,0
11512,α12113,ἁπλοτομέω,v,----------,,,,,,0
11513,α12114,ἁπλοτομία,n,n-s---fn1l,ἁπλοτομίας,,,,,0
11514,,Ἄπλουν,n,----------,,,,,,0
11515,α12115,ἄπλουτος,a,aps---cn2-,ἄπλουτος ἄπλουτος ἄπλουτον,,,,,0
11516,α12116,ἁπλόφυλλον,n,n-s---nn2-,ἁπλοφύλλου,,,,,0
11517,α12117,ἁπλόω,v,----------,,,,,,0
11518,α12119,ἀπλυσία,n,----------,,,,,,0
11519,α12120,ἀπλυσία,n,n-s---fn1l,ἀπλυσίας,,,,,0
11520,α12121,ἄπλυτος,a,aps---cn2-,ἄπλυτος ἄπλυτος ἄπλυτον,,,,,0
11521,α12122,ἅπλωμα,n,n-s---nn3t,ἁπλώματος,,,,,0
11522,α12118,ἁπλῶς,r,----------,,,,,,0
11523,α12123,ἅπλωσις,n,n-s---fn3v,ἁπλωσέως,,,,,0
11526,α12126,ἄπλωτος,a,aps---cn2-,ἄπλωτος ἄπλωτος ἄπλωτον,,,,,0
11527,α12127,ἀπνεής,a,aps---cn5s,ἀπνεής ἀπνεής ἀπνεές,,,,,0
11528,α12128,ἀπνεύματος,a,aps---cn2-,ἀπνεύματος ἀπνεύματος ἀπνεύματον,,,,,0
11529,α12129,ἀπνεύμων,a,aps---cn3n,ἀπνεύμων ἀπνεύμων ἀπνεύμον,,,,,0
11530,α12130,ἀπνευστί,r,----------,,,,,,0
11531,α12131,ἀπνευστία,n,n-s---fn1l,ἀπνευστίας,,,,,0
11532,α12132,ἀπνευστιάζω,v,----------,,,,,,0
11533,α12133,ἄπνευστος,a,aps---cn2-,ἄπνευστος ἄπνευστος ἄπνευστον,,,,,0
11534,α12135,ἄπνιγμος,a,aps---cn2-,ἄπνιγμος ἄπνιγμος ἄπνιγμον,,,,,0
11535,α12136,ἀπνοέω,v,----------,,,,,,0
11536,α12137,ἄπνοια,n,n-s---fn1s,ἄπνοιας,,,/á.pnoi̯.a/,,0
11537,α12138,ἄπνοος,a,aps---cn2-,ἄπνοος ἄπνοος ἄπνοον,,ἄπνους ἄπνους ἄπνουν,,,0
11538,α12140,ἀπό,s,----------,,,,,,0
11539,α12142,ἀποαίνυμαι,v,----------,,,,,,0
11540,α12143,ἀποαιρέομαι,v,----------,,,,,,0
11541,α12144,ἀποαφύσσω,v,----------,,,,,,0
11542,α12145,ἀπόβα,n,----------,,,,,,0
11543,α12146,ἀποβαδίζω,v,----------,,,,,,0
11544,α12148,ἀποβάθρα,n,n-s---fn1l,ἀποβάθρας,,,,,0
11545,α12147,ἀπόβαθρα,n,n-p---nn2-,ἀποβάθρων,,,,,0
11546,α12149,ἀποβαίνω,v,----------,,,,,,0
11547,α12150,ἀποβάλλω,v,----------,,,,,,0
11548,α12151,ἀπόβαμμα,n,n-s---nn3t,ἀποβάμματος,,,,,0
11549,α12152,ἀποβάπτω,v,----------,,,,,,0
11551,α12154,ἀπόβασις,n,n-s---fn3v,ἀποβασέως,,,,,0
11552,α12155,ἀποβατήριος,a,aps---mn1-,ἀποβατήριος ἀποβατήρια ἀποβατήριον,,,,,0
11553,α12156,ἀποβάτης,n,n-s---mn1e,ἀποβάτου,,,,,0
11554,α12157,ἀποβατικός,a,aps---mn1-,ἀποβατικός ἀποβατική ἀποβατικόν,,,,,0
11555,α12158,ἀποβδελύττομαι,v,----------,,,,,,0
11556,α12159,ἀποβελίζω,v,----------,,,,,,0
11557,α12160,ἀποβηματίζω,v,----------,,,,,,0
11558,α12161,ἀποβήσσω,v,----------,,,,,,0
11559,α12162,ἀποβιάζομαλ,n,----------,,,,,,0
11560,α12163,ἀποβιάομαι,v,----------,,,,,,0
11561,α12164,ἀποβιβάζω,v,----------,,,,,,0
11562,α12165,ἀποβιβασμός,n,----------,,,,,,0
11563,α12166,ἀποβιβρώσκω,v,----------,,,,,,0
11564,α12167,ἀποβιόω,v,----------,,,,,,0
11565,α12169,ἀποβίωσλς,n,n-s---fn3v,ἀποβιωσέως,,,,,0
11566,α12168,ἀποβιώσκομαι,v,----------,,,,,,0
11567,α12170,ἀποβλάπτω,v,----------,,,,,,0
11568,α12171,ἀποβλαστάνω,v,----------,,,,,,0
11569,α12172,ἀποβλάστημα,n,n-s---nn3t,ἀποβλαστήματος,,,,,0
11570,α12173,ἀποβλάστησις,n,n-s---fn3v,ἀποβλαστησέως,,,,,0
11571,α12174,ἀπόβλεμμα,n,n-s---nn3t,ἀποβλέμματος,,,,,0
11572,α12175,ἀποβλεπτέον,a,----------,,,,,,0
11574,α12177,ἀποβλέπω,v,----------,,,,,,0
11575,α12178,ἀπόβλεψις,n,n-s---fn3v,ἀποβλεψέως,,,,,0
11576,α12179,ἀπόβλημα,n,n-s---nn3t,ἀποβλήματος,,,,,0
11577,α12180,ἀποβλήσιμος,a,aps---cn2-,ἀποβλήσιμος ἀποβλήσιμος ἀποβλήσιμον,,,,,0
11580,α12183,ἀποβλητικός,a,aps---mn1-,ἀποβλητικός ἀποβλητική ἀποβλητικόν,,,,,0
11581,α12184,ἀπόβλητος,a,----------,,,,,,0
11582,α12185,ἀποβλίττω,v,----------,,,,,,0
11583,α12186,ἀποβλύζω,v,----------,,,,,,0
11584,α12187,ἀποβλυστάνω,v,----------,,,,,,0
11585,α12188,ἀποβλύω,v,----------,,,,,,0
11586,α12189,ἀποβλώσκω,v,----------,,,,,,0
11587,α12190,ἀποβολεύς,n,n-s---mn3v,ἀποβολέως,,,,,0
11588,α12191,ἀποβολή,n,----------,,,,,,0
11590,α12193,ἀποβόομαι,v,----------,,,,,,0
11591,α12194,ἀποβορρότατος,a,aps---cn2-,ἀποβορρότατος ἀποβορρότατος ἀποβορρότατον,,,,,0
11592,α12195,ἀποβοσκέω,v,----------,,,,,,0
11593,α12196,ἀποβόσκομαι,v,----------,,,,,,0
11594,α12197,ἀποβουκολέω,v,----------,,,,,,0
11595,α12198,ἀποβουκολίζω,v,----------,,,,,,0
11596,α11055,ἀόβρασμα,n,n-s---nn3t,ἀοβράσματος,,,,,0
11597,α11056,ἀοβρασμός,n,----------,,,,,,0
11598,α11057,ἀοβράσσω,v,----------,,,,,,0
11599,α12199,ἀπόβρεγμα,n,n-s---nn3t,ἀποβρέγματος,,,,,0
11600,α12200,ἀπόβρεξις,n,n-s---fn3v,ἀποβρεξέως,,,,,0
11601,α12201,ἀποβρέχω,v,----------,,,,,,0
11602,α12202,ἀποβρίζω,v,----------,,,,,,0
11603,α12203,ἀποβρόξαι,v,----------,,,,,,0
11604,α12204,ἀποβροχή,n,n-s---fn1e,ἀποβροχῆς,,,,,0
11605,α12205,ἀποβροχθίζω,v,----------,,,,,,0
11606,α12206,ἀποβροχίζω,v,----------,,,,,,0
11607,α12207,ἀποβροχισμός,n,----------,,,,,,0
11608,α12208,ἀποβροχιστέον,v,----------,,,,,,0
11609,α12209,ἀποβρύκω,v,----------,,,,,,0
11610,α12210,ἀπόβρωμα,n,n-s---nn3t,ἀποβρώματος,,,,,0
11611,α12211,ἀποβύω,v,----------,,,,,,0
11613,α12213,ἀπόγαιος,n,----------,,,,,,0
11614,α12214,ἀπογαιόω,v,----------,,,,,,0
11615,α12215,ἀπογαλακτίζω,v,----------,,,,,,0
11616,α12216,ἀπογαλάκτισις,n,n-s---fn3v,ἀπογαλακτισέως,,,,,0
11617,α12217,ἀπογαλακτισμός,n,----------,,,,,,0
11618,α12218,ἀπογαλακτιστέον,a,----------,,,,,,0
11619,α12219,ἀπογαλακτόομαι,v,----------,,,,,,0
11620,α12220,ἀπογάλακτος,a,aps---cn2-,ἀπογάλακτος ἀπογάλακτος ἀπογάλακτον,,,,,0
11621,α12221,ἀπογαληνίζω,v,----------,,,,,,0
11622,α12222,ἀπογαληνιόομαι,v,----------,,,,,,0
11623,α12223,ἀπογαληνόομαι,v,----------,,,,,,0
11624,α12224,ἀπόγαλον,n,n-s---nn2-,ἀπογάλου,,,,,0
11625,α12226,ἀπόγειος,n,n-s----n--,,,,/a.pó.ɡeː.os/,,0
11626,α12227,ἀπογεισόω,v,----------,,,,,,0
11627,α12228,ἀπογείσωμα,n,n-s---nn3t,ἀπογεισώματος,,,,,0
11628,α12229,ἀπογεμίξομαι,v,----------,,,,,,0
11629,α12230,ἀπογενεσία,n,n-s---fn1l,ἀπογενεσίας,,,,,0
11630,α12231,ἀπογένεσις,n,n-s---fn3v,ἀπογενεσέως,,,,,0
11631,α12232,ἀπογεννάω,v,----------,,,,,,0
11632,α12233,ἀπογέννημα,n,n-s---nn3t,ἀπογεννήματος,,,,,0
11634,α12235,ἀπογεόομαι,v,----------,,,,,,0
11635,α12237,ἀπογεύω,v,----------,,,,,,0
11636,α12236,ἀπόγευσις,n,n-s---fn3v,ἀπογευσέως,,,,,0
11637,α12238,ἀπογεφυρόω,v,----------,,,,,,0
11638,α12239,ἀπογηράσκω,v,----------,,,,,,0
11639,α12240,ἀπογίγνομαι,v,----------,,,,,,0
11640,α12241,ἀπογιγνώσκω,v,----------,,,,,,0
11641,α12242,ἀπογκέω,v,----------,,,,,,0
11642,α12243,ἀπογκόω,v,----------,,,,,,0
11643,α12244,ἀπογλαυκόομαι,v,----------,,,,,,0
11645,α12246,ἀπογλάφομαι,v,----------,,,,,,0
11646,α12247,ἀπόγλουτος,a,aps---cn2-,ἀπόγλουτος ἀπόγλουτος ἀπόγλουτον,,,,,0
11647,α12248,ἀπογλυκαίνω,v,----------,,,,,,0
11648,α12249,ἀπογλυφή,n,n-s---fn1e,ἀπογλυφῆς,,,,,0
11649,α12250,ἀπογλύφω,v,----------,,,,,,0
11650,α12251,ἀπογλωττίζομαι,v,----------,,,,,,0
11651,α12252,ἀπόγνοια,n,n-s---fn1s,ἀπόγνοιας,,,,,0
11652,α12253,ἀπογνώμων,a,aps---cn2-,ἀπογνώμων ἀπογνώμων ἀπόγλουτον,,,,,0
11653,α12254,ἀπογνώσιμος,a,aps---cn2-,ἀπογνώσιμος ἀπογνώσιμος ἀπογνώσιμον,,,,,0
11654,α12255,ἀπόγνωσις,n,n-s---fn3v,ἀπογνωσέως,,,,,0
11655,α12256,ἀπογνωστέον,v,----------,,,,,,0
11656,α12257,ἀπογνωστής,n,n-s---mn1e,ἀπογνωστού,,,,,0
11657,α12258,ἀπογνωστικῶς,r,----------,,,,,,0
11658,α12259,ἀπογομή,n,n-s---fn1e,ἀπογομῆς,,,,,0
11659,α12260,ἀπογομόω,v,----------,,,,,,0
11660,α12261,ἀπογονή,n,n-s---fn1e,ἀπογονῆς,,,,,0
11661,,Ἀπογονικός,n,----------,,,,,,0
11662,α12262,ἀπόγονος,a,aps---cn2-,ἀπόγονος ἀπόγονος ἀπόγονον,,,,,0
11663,α12263,ἀπογραί̈ζω,v,----------,,,,,,0
11664,α12264,ἀπογραφεύς,n,n-s---mn3v,ἀπογραφέως,,,,,0
11665,α12265,ἀπογραφή,n,n-s---fn1e,ἀπογραφῆς,,,,,0
11667,α12267,ἀπογράφω,v,----------,,,,,,0
11668,α12268,ἀπόγυιοι,n,----------,,,,,,0
11669,α12269,ἀπογυιόω,v,----------,,,,,,0
11670,α12270,ἀπογυμνάζω,v,----------,,,,,,0
11671,α12271,ἀπογυμνόω,v,----------,,,,,,0
11672,α12272,ἀπογύμνωσις,n,n-s---fn3v,ἀπογυμνωσέως,,,,,0
11673,α12273,ἀπογυναίκωσις,n,n-s---fn3v,ἀπογυναικωσέως,,,,,0
11674,α12274,ἀπόγυον,n,n-s---nn2-,ἀπογύου,,,,,0
11675,α12275,ἀπογώνιον,n,n-s---nn2-,ἀπογωνίου,,,,,0
11676,α12276,ἀπογωνιόομαι,v,----------,,,,,,0
11677,α12277,ἀποδάκνω,v,----------,,,,,,0
11678,α12278,ἀποδάκρῦσις,n,n-s---fn3v,ἀποδακρυσέως,,,,,0
11680,α12280,ἀποδακρύω,v,----------,,,,,,0
11681,α12281,ἀποδαπανάω,v,----------,,,,,,0
11682,α12282,ἀποδάπτω,v,----------,,,,,,0
11683,α12283,ἀποδαρθάνω,v,----------,,,,,,0
11684,α12284,ἀπόδαρμα,n,n-s---nn3t,ἀποδάρματος,,,,,0
11685,α12285,ἀποδάσμιος,a,aps---cn2-,ἀποδάσμιος ἀποδάσμιος ἀποδάσμιον,,,,,0
11686,α12286,ἀποδασμός,n,----------,,,,,,0
11741,α12341,ἀποδηλόω,v,----------,,,,,,0
11688,α12288,ἀποδαστύς,n,n-s---fn3v,ἀποδαστύος,,,,,0
11689,α12289,ἀποδατέομαι,v,----------,,,,,,0
11690,α12290,ἀποδαυλίζω,v,----------,,,,,,0
11691,α12291,ἀποδαψιλεύομαι,v,----------,,,,,,0
11692,α12293,ἀποδέδεγμαι,v,----------,,,,,,0
11693,α12294,ἀποδεδειγμένως,r,----------,,,,,,0
11694,α12295,ἀποδεδειλιακότως,r,----------,,,,,,0
11696,α12292,ἀποδεῖ,n,----------,,,,,,0
11697,α12297,ἀποδειδίσσομαι,v,----------,,,,,,0
11698,α12298,ἀποδείκνυμι,v,----------,,,,/a.po.dé.knyː.mi/,,0
11699,α12299,ἀποδεικτέον,v,----------,,,,,,0
11701,α12301,ἀποδεικτός,a,aps---mn1-,ἀποδεικτός ἀποδεικτή ἀποδεικτόν,,,,,0
11702,α12302,ἀποδειλίασις,n,n-s---fn3v,ἀποδειλιασέως,,,,,0
11703,α12303,ἀποδειλιατέον,a,----------,,,,,,0
11704,α12304,ἀποδειλιάω,v,----------,,,,,,0
11705,α12305,ἀπόδειξις,n,n-s---fn3v,ἀποδειξέως,,,,,0
11706,α12306,ἀποδειπνέω,v,----------,,,,,,0
11707,α12307,ἀποδειπνίδιος,a,aps---cn2-,ἀποδειπνίδιος ἀποδειπνίδιος ἀποδειπνίδιον,,,,,0
11708,α12308,ἀπόδειπνος,a,aps---cn2-,ἀπόδειπνος ἀπόδειπνος ἀπόδειπνον,,,,,0
11709,α12309,ἀποδειροτομέω,v,----------,,,,,,0
11710,α12310,ἀποδειροτόμησις,n,n-s---fn3v,ἀποδειροτομησέως,,,,,0
11711,α12311,ἀποδείρω,v,----------,,,,,,0
11712,α12312,ἀποδεισιδαιμονέω,v,----------,,,,,,0
11713,α12313,ἀποδεκάτευσις,n,----------,,,,,,0
11714,α12314,ἀποδεκατεύω,v,----------,,,,,,0
11715,α12315,ἀποδεκατίζω,v,----------,,,,,,0
11716,α12316,ἀποδεκατόω,v,----------,,,,,,0
11717,α12317,ἀποδέκομαι,v,----------,,,,,,0
11718,α12318,ἀποδεκτέον,v,----------,,,,,,0
11719,α12319,ἀποδεκτήρ,n,n-s---mn3r,ἀποδεκτῆρος,,,,,0
11720,α12320,ἀποδέκτης,n,n-s---mn1e,ἀποδέκτου,,,,,0
11722,α12322,ἀποδενδρόομαι,v,----------,,,,,,0
11723,α12323,ἀποδέξασθαι,n,----------,,,,,,0
11724,α12324,ἀπόδεξις,n,n-s---fn3v,ἀποδεξέως,,,,,0
11725,α12325,ἀποδέρκομαι,v,----------,,,,,,0
11726,α12326,ἀπόδερμα,n,----------,,,,,,0
11727,α12327,ἀποδερματίζω,v,----------,,,,,,0
11728,α12328,ἀποδερματισμός,n,----------,,,,,,0
11729,α12329,ἀποδερματόομαι,v,----------,,,,,,0
11730,α12330,ἀποδερτρόω,v,----------,,,,,,0
11731,α12331,ἀποδέρω,v,----------,,,,,,0
11732,α12332,ἀπόδεσις,n,n-s---fn3v,ἀποδεσέως,,,,,0
11733,α12333,ἀποδεσμεύω,v,----------,,,,,,0
11734,α12334,ἀποδεσμέω,v,----------,,,,,,0
11735,α12335,ἀποδεσμίς,n,n-s---fn3d,ἀποδεσμίδος,,,,,0
11736,α12336,ἀπόδεσμος,n,n-s---mn2-,ἀποδέσμου,,,,,0
11737,α12337,ἀποδεχθείς,n,----------,,,,,,0
11738,α12338,ἀποδέχομαι,v,----------,,,,,,0
11739,α12340,ἀποδέω,v,----------,,,,,,0
11740,α12339,ἀποδέω,v,----------,,,,,,0
11743,α12343,ἀποδημέω,v,----------,,,,,,0
11744,α12344,ἀποδήμησις,n,n-s---fn3v,ἀποδημησέως,,,,,0
11745,α12345,ἀποδημητής,n,n-s---mn1e,ἀποδημητού,,,,,0
11747,α12347,ἀποδημία,n,n-s---fn1l,ἀποδημίας,,,,,0
11748,α12348,ἀπόδημος,a,aps---cn2-,ἀπόδημος ἀπόδημος ἀπόδημον,,,,,0
11749,α12349,ἀπόδησις,n,----------,,,,,,0
11750,α12350,ἀποδία,n,n-s---fn1l,ἀποδίας,,,,,0
11751,α12351,ἀποδιαγράφω,v,----------,,,,,,0
11752,α12352,ἀποδιαιρέω,v,----------,,,,,,0
11753,α12353,ἀποδιαιτάω,v,----------,,,,,,0
11754,α12354,ἀποδιάκειμαι,v,----------,,,,,,0
11755,α12355,ἀποδιακλασμός,n,----------,,,,,,0
11756,α12356,ἀποδιακρίνω,v,----------,,,,,,0
11757,α12357,ἀποδιαλαμβάνω,v,----------,,,,,,0
11759,α12359,ἀποδιάληψις,n,n-s---fn3v,ἀποδιαληψέως,,,,,0
11760,α12360,ἀποδιαλύω,v,----------,,,,,,0
11761,α12361,ἀποδιανομή,n,n-s---fn1e,ἀποδιανομῆς,,,,,0
11762,α12362,ἀποδιαπέμπομαι,v,----------,,,,,,0
11763,α12363,ἀποδιασείω,v,----------,,,,,,0
11764,α12364,ἀποδιάστασις,n,n-s---fn3v,ἀποδιαστασέως,,,,,0
11765,α12365,ἀποδιαστέλλω,v,----------,,,,,,0
11766,α12366,ἀποδιαστολή,n,n-s---fn1e,ἀποδιαστολῆς,,,,,0
11767,α12367,ἀποδιαστρέφω,v,----------,,,,,,0
11768,α12368,ἀποδιατίθεμαι,v,----------,,,,,,0
11769,α12369,ἀποδιατρίβω,v,----------,,,,,,0
11770,α12370,ἀποδιδάσκω,v,----------,,,,,,0
11771,α12371,ἀποδιδρασκίνδα,r,----------,,,,,,0
11772,α12372,ἀποδιδράσκω,v,----------,,,,,,0
11773,α12373,ἀποδιδύσκω,v,----------,,,,,,0
11774,α12374,ἀποδίδωμι,v,----------,,,,/a.po.dí.dɔː.mi/,,0
11775,α12375,ἀποδιηθέω,v,----------,,,,,,0
11776,α12376,ἀποδιί̈στημι,v,----------,,,,,,0
11777,α12377,ἀποδικάζω,v,----------,,,,,,0
11778,α12378,ἀποδικεῖν,v,----------,,,,,,0
11779,α12379,ἀποδικέω,v,----------,,,,,,0
11781,α12381,ἀποδινέω,v,----------,,,,,,0
11782,α12382,ἀποδίομαι,v,----------,,,,,,0
11783,α12383,ἀποδιοπομπέομαι,v,----------,,,,,,0
11784,α12384,ἀποδιοπόμπησις,n,n-s---fn3v,ἀποδιοπομπησέως,,,,,0
11785,α12385,ἀποδιοπομπητέον,a,----------,,,,,,0
11786,α12386,ἀποδιορίζω,v,----------,,,,,,0
11787,α12387,ἀποδιορισμός,n,----------,,,,,,0
11788,α12388,ἀποδιοριστέον,v,----------,,,,,,0
11789,α12389,ἀποδιπλόομαι,v,----------,,,,,,0
11790,α12390,ἀποδίς,r,----------,,,,,,0
11791,α12391,ἀποδισκεύω,v,----------,,,,,,0
11792,α12392,ἀποδιφθερόομαι,v,----------,,,,,,0
11793,α12393,ἀποδιψάω,v,----------,,,,,,0
