id,offset,pos,language,gloss,semfield
1062,00177208,n,9,a staining technique used to classify bacteria; those that retain the gentian violet are gram-positive and those that do not retain it are gram-negative,2026
1066,00177916,n,9,the act of contaminating or polluting; including (either intentionally or accidentally) unwanted substances or factors,
1080,00179743,n,9,biting and grinding food in your mouth so it becomes soft enough to swallow,2102
1122,00186831,n,9,a light leap by a horse in which both hind legs leave the ground before the forelegs come down,2507
1125,00187201,n,9,a fast gait of a horse; a two-beat stride during which all four legs are off the ground simultaneously,
1160,00191288,n,9,a slow creeping mode of locomotion (on hands and knees or dragging the body); 'a crawl was all that the injured man could manage'; 'the traffic moved at a creep',
1180,00194317,n,9,riding with a pack,
1181,00194393,n,9,riding along a roughly blazed path,
1200,00197054,n,9,a flight or run by an aircraft over a target; 'the plane turned to make a second pass',
1236,00202033,n,9,a journey to a sacred place,
1238,00202291,n,9,a journey taken for pleasure; 'many summer excursions to the shore'; 'it was merely a pleasure trip'; 'after cautious sashays into the field',
1290,00208980,n,9,the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force),
1295,00209737,n,9,the act of climbing something,
1297,00210000,n,9,an awkward climb; 'reaching the crest was a real clamber',
1327,00213518,n,9,a change of position that does not entail a change of location; 'the reflex movements of his eyebrows revealed his surprise';,
1351,00217846,n,9,act of reversing the order or place of,
1352,00217955,n,9,going by something that is moving in order to get in front of it; 'she drove but well but her reckless passing of every car on the road frightened me',
1402,00224643,n,9,the act of changing or reversing the direction of the course; 'he took a turn to the right',
1406,00225413,n,9,a turn to the left; 'take a left at the corner',
1410,00226363,n,9,the act of reducing the amount or number; 'the mayor proposed extensive cuts in the city budget',
1456,00232015,n,9,the act of subtracting (removing a part from the whole); 'he complained about the subtraction of money from their paychecks',
1466,00233363,n,9,the act of diluting something; 'the cutting of whiskey with water'; 'the thinning of paint with turpentine',
1472,00234695,n,9,a sudden or abrupt strong increase: 'stimulated a surge of speculation'; 'an upsurge of emotion'; 'an upsurge in violent crime',
1517,00241258,n,9,the concentration of a colloidal solution whose colloid will not pass through a semipermeable membrane; solution is placed in a bag of the membrane and the solvent is evaporated off,
1520,00241703,n,9,the act of changing the unity or wholeness of something,
1526,00242644,n,9,the act of exploding or bursting something; 'the explosion of the firecrackers awoke the children'; 'the burst of an atom bomb creates enormous radiation aloft',
1576,00249932,n,9,the act of dividing into quanta or expressing in terms of quantum theory,
1578,00250162,n,9,the use of certain marks to clarify meaning of written material by grouping words grammatically into sentences and clauses and phrases,
1628,00258331,n,9,the act of saturating something,
1629,00258419,n,9,the act of making something harder (firmer or tighter or more compact),
1683,00267317,n,9,the way of proper and honest behavior; 'he taught his children to keep strictly to the straight and narrow',
1684,00267490,n,9,a vain and frivolous way of life especially in large cities (after a fair held in the town of Vanity in Pilgrim's Progress),
1724,00273579,n,9,a subject or pursuit that occupies one's time and thoughts (usually pleasantly): 'sailing is her favorite pastime'; 'his main pastime is gambling'; 'he counts reading among his interests'; 'they criticized the boy for his limited interests',
1734,00275767,n,9,an acrobatic feat in which the trunk is bent backward from a standing position until the hands touch the floor,
1745,00277532,n,9,an increase in the number of outstanding shares of a corporation without changing the shareholders' equity; 'they announced a two-for-one split of the common stock',
1786,00283407,n,9,the sport of shooting arrows with a bow,
1791,00283913,n,9,the sport of hand-to-hand struggle between unarmed contestants who try to throw each other down,
1824,00287951,n,9,working the land as an occupation or way of life; 'farming is a strenuous life'; 'there's no work on the land any more',
1846,00291287,n,9,a complete play to advance the football; 'you have 4 downs to gain 10 yards',
1848,00291567,n,9,an amusement or pastime; 'he thought of his painting as a game that filled his empty time'; 'his life was all fun and games',
1894,00299231,n,9,any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal,
1895,00299609,n,9,a game played by two teams of 11 players on a rectangular field 100 yards long; teams try to get possession of the ball and advance it across the opponents goal line in a series of (running or passing) plays,
1941,00307964,n,9,(tennis) a score consisting of winning a game when your opponent was serving; 'he was up two breaks in the second set',
1951,00309343,n,9,a children's game in which a blindfolded player tries to catch and identify other players,
1981,00314720,n,9,a card game in which you play your sevens and other cards in sequence in the same suit as their sevens; you win if you are the first to use all your cards,
1987,00316127,n,9,a card game for two players using a reduced pack of 32 cards,
1988,00316240,n,9,any of various card games in which players bet that they hold the highest-ranking hand,
2014,00320316,n,9,any of several games played on rectangular cloth-covered table (with cushioned edges) in which long tapering cue sticks are used to propel ivory (or composition) balls,
2034,00324105,n,9,a game in which numbered balls are drawn and random and players cover the corresponding numbers on their cards,
2038,00324666,n,9,(trademark) a board game in which players try to gain a monopoly on real estate as pieces advance around the board according to the throw of a die,
2087,00332189,n,9,an agreeable or amusing remark; 'they exchange pleasantries',
2090,00332566,n,9,the public performance of a sacrament or solemn ceremony with all appropriate ritual; 'the celebration of marriage',
2125,00337848,n,9,a form of solo dancing that involves rapid acrobatic moves in which different parts of the body touch the ground; normally performed to the rhythm of rap music,
2141,00340355,n,9,a ballet that stresses the drama with features of comedy,
2142,00340471,n,9,a style of theatrical dancing that is not as restricted as classical ballet; movements are expressive of feelings,
2195,00348073,n,9,any of various old rustic dances involving kicking and leaping,
2196,00348185,n,9,a type of folk dance in which couples are arranged in sets or face one another in a line,
2232,00353836,n,9,a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz,
2248,00356150,n,9,music written for marching; 'Sousa wrote the best marches',
2270,00359244,n,9,incidental activity performed by an actor for dramatic effect; 'his business with the cane was hilarious',
2293,00362255,n,9,the act of disturbing the mind or body; 'his carelessness could have caused an ecological upset'; 'she was unprepared for this sudden overthrow of their normal way of living',
2303,00364042,n,9,a successful forward pass in football,
2304,00364173,n,9,a preset plan of action in team sports; 'the coach drew up the plays for her team',
2331,00368560,n,9,"a basketball maneuver; one offensive player passes the ball to another, then runs toward the basket to take a return pass",
2352,00372142,n,9,a serve that the receiver is unable to reach,
2353,00372236,n,9,a serve that lands outside the prescribed area; 'he served too many double faults',
44028,07122095,n,9,a biologist specializing in the study of plants,
2400,00380205,n,9,land tenure by agricultural service or payment of rent; not burdened with military service,
2416,00382316,n,9,any activity that occupies a person's attention; 'he missed the bell in his occupation with the computer game',
2459,00389145,n,9,the position of counselor,
2462,00389405,n,9,the position of custodian,
2492,00391984,n,9,the position of moderator,
2514,00394299,n,9,the position of the head of the Justice Department and the chief law enforcement officer of the United States; 'the post of Attorney General was created in 1789',
2523,00396408,n,9,the position of the head of the State Department; 'the position of Secretary of State was established in 1789',
2548,00399601,n,9,a career in industrial or commercial or professional activities,
2571,00403152,n,9,the learned profession that is mastered by graduate study in a law school and that is responsible for the judicial system; 'he studied law at Yale',
2577,00404209,n,9,the practice of medicine without the use of drugs; may involve self-awareness,
2578,00404378,n,9,the learned profession acquired by specialized courses in religion (usually taught at a college or seminary); 'he studied theology at Oxford',
2626,00411620,n,9,the activity of exerting you muscles in various was to keep fit; 'the doctor recommended regular exercise'; 'he did some exercising'; 'the physical exertion required by his work kept him fit',
2629,00412416,n,9,several exercises intended to be done in series; 'he did four sets of the incline bench press',
2644,00414547,n,9,an arm exercise performed lying face to the floor and pushing the body up and down with the arms,
2683,00420441,n,9,endoscopic examination of the abdomen through the abdominal wall,
2684,00420562,n,9,endoscopic examination of a woman's pelvic organs by the insertion of a culdoscope through the vagina,
2730,00428151,n,9,the act of tapping a telephone or telegraph line to get information,
2735,00428745,n,9,the work of caring for or attending to someone or something; 'no medical care was required'; 'the old car needed constant attention',
2751,00431621,n,9,(medicine) the act of caring for someone (as by medication or remedial training etc.); 'the quarterback is undergoing treatment for a knee injury'; 'he tried every treatment the doctors suggested'; 'heat therapy gave the best relief',
2778,00436211,n,9,a surgical procedure usually performed under local anesthesia in which the cervix is dilated and the endometrial lining of the uterus is scraped with a curet; performed to obtain tissue samples or to stop prolonged bleeding or to remove small tumors or to remove fragments of placenta after childbirth or as a method of abortion,
2826,00444062,n,9,cosmetic surgery to improve the appearance of your nose,
2829,00444454,n,9,a surgical procedure in which a suture is used to close the cervix in a pregnant woman; is performed when the cervix has failed to retain previous pregnancies,
2864,00450895,n,9,a method of behavior therapy based on the inhibition of one response by the occurrence of another response that is mutually incompatible with it; a relaxation response might be conditioned to a stimulus that previously evoked anxiety,
2867,00451738,n,9,a set of techniques for exploring underlying motives and a method of treating various mental disorders; 'his physician recommended psychoanalysis',
2881,00454028,n,9,a method of treatment that manipulates body structures in the belief that it restores proper nerve functioning,
2917,00459608,n,9,operating on living animals especially in scientific research,
2920,00459926,n,9,the act of applying paint to a surface; 'you can finish the job of painting faster with a roller than with a brush',
2934,00461778,n,9,a specific piece of work required to be done as a duty or for a specific fee: 'estimates of the city's loss on that job ranged as high as a million dollars'; 'the job of repairing the engine took several hours'; 'the endless task of classifying the samples'; 'the farmer's morning chores',
2961,00467524,n,9,the position of the offensive back who lines up behind or outside the end,
2962,00467671,n,9,the position of the player on the line of scrimmage who puts the ball in play; 'it is a center's responsibility to get the football to the quarterback',
3000,00473828,n,9,an action brought to recover damages from a person whose actions have resulted indirectly in injury or loss; 'a person struck by a log as it was thrown onto a road could maintain trespass against the thrower but one who was hurt by stumbling over it could maintain and action on the case',
3012,00475782,n,9,an indecent or improper act,
3013,00475915,n,9,the perverse act of exposing and attracting attention to your own genitals,
3021,00476851,n,9,nonperformance of something distasteful (as by deceit or trickery) that you are supposed to do; 'his evasion of his clear duty was reprehensible'; 'that escape from the consequences is possible but unattractive',
3069,00483656,n,9,the act of plagiarizing; taking someone's words or ideas as if they were your own,
3116,00491121,n,9,some transgression committed with the assistance of someone trusted by the victim; 'the police decided that the crime was an inside job',
3121,00492002,n,9,intentional deception resulting in injury to another person,
3170,00500307,n,9,an act that is legally a crime but that seem to have no victims; 'he considers prostitution to be a victimless crime',
3188,00502904,n,9,a venture by a partnership or conglomerate designed to share risk or expertise: 'a joint venture between the film companies to produce TV shows',
3218,00508046,n,9,the act of undergoing testing; 'he survived the great test of battle'; 'candidates must compete in a trial of skill',
3232,00509919,n,9,a series of actions advancing a principle or tending toward a particular end; 'he supported populist campaigns'; 'they worked in the cause of world peace'; 'the team was ready for a drive toward the pennant'; 'the movement to end slavery'; 'contributed to the war effort',
3268,00516143,n,9,coordinating by causing to indicate the same time; 'the synchronization of their watches was an important preliminary',
3270,00516514,n,9,the proproportional limitation of production or distribution of something (e.g. crude oil or natural gas) to some fractional part of the total capacity of each producer,
3316,00524316,n,9,protection of soil against erosion or deterioration,
3324,00525273,n,9,intelligence on the identity and capability and intentions of hostile individuals or organizations that may be engaged in espionage or sabotage or subversion or terrorism,
3364,00531864,n,9,the act of making a piece of equipment rugged (strengthening to resist wear or abuse),
3365,00532025,n,9,a formation of military planes maintained over ground operations or targets; 'an air umbrella over England',
3374,00533752,n,9,an emergency procedure consisting of external cardiac massage and artificial respiration; the first treatment for a person who has collapsed and has no pulse and has stopped breathing; attempts to restore circulation of the blood and prevent death or brain damage due to lack of oxygen,
3414,00540083,n,9,eating liquid food with a spoon or by drinking,
3415,00540183,n,9,taking a small amount into the mouth to test its quality,
3428,00541480,n,9,sexual activity (especially sexual intercourse) with the use of measures (such as latex condoms) to avoid the transmission of disease (especially AIDS),
3468,00548768,n,9,oral stimulation of the penis,
3470,00548975,n,9,oral sex practiced simultaneously by two people,
3487,00551220,n,9,a bodily process occurring due to the effect of some foregoing stimulus or agent; 'a bad reaction to the medicine'; 'his responses have slowed with age',
3520,00556961,n,9,flexion of the toes when the sole of the foot is stroked firmly on the outer side from the heel to the front in persons over the age of 2 years; under 2 years the results should be extension of the toes (Babinski reflex),
3531,00558701,n,9,calculation by mathematical methods; 'the problems at the end of the chapter demonstrated the mathematical processes involved in the derivation'; 'they were learning the basic operations of arithmetic',
3569,00564986,n,9,going about to look at places of interest,
3571,00565252,n,9,the act of observing something (and sometimes keeping a record of it); 'monitoring communications plays an important role in war times',
3623,00572904,n,9,a series of lectures dealing with a subject,
3625,00573161,n,9,an educational plan in which students alternate between paid employment and formal study,
3669,00579500,n,9,a method of examining body organs by scanning them with X rays and using a computer to construct an image,
3677,00580942,n,9,radiography that uses X-rays to produce a roentgenogram,
3678,00581113,n,9,roentgenographic examination of blood vessels after injection of a radiopaque contrast medium; produces an angiogram,
3705,00584600,n,9,combining audio and video recording in such a way that the sound is perfectly synchronized with the action that produced it; especially synchronizing the movements of a speaker's lips with the sound of his speech,
3732,00589122,n,9,breeding and caring for farm animals,
3733,00589221,n,9,the cultivation of tree for the production of timber,
3747,00591037,n,9,(biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar); 'the culture of cells in a Petri dish',
3786,00596873,n,9,the act of putting something in writing,
3797,00598442,n,9,the art of transfering designs from specially prepared paper to a wood or glass or metal surface,
3833,00603345,n,9,extraction of amniotic fluid from a pregnant woman (after the 15th week of pregnancy) to aid in the diagnosis of fetal abnormalities,
3842,00604772,n,9,a careful systematic search,
3843,00604875,n,9,the act of searching for food and provisions,
3855,00606479,n,9,the act of making some area of land or water more profitable or productive or useful: 'the development of Alaskan resources'; 'the exploitation of copper deposits',
3932,00622063,n,9,any of the more or less continuous military expeditions in the 11-13th centuries when Christian powers of Europe tried to recapture the Holy Land from the Muslims,
3938,00623403,n,9,a Crusade from 1228 to 1229 led by the Holy Roman Emperor Frederick II who was therefore excommunicated by the Pope; by negotiation Frederick was able to crown himself king of Jerusalem,
3964,00628413,n,9,(football) a play in which a defensive player is allowed to cross the line of scrimmage and then blocked off as the runner goes through the place the lineman vacated,
3986,00632286,n,9,tactical intelligence on the natural and man-made characteristics of an area,
3987,00632429,n,9,intelligence that is required for forming policy and military plans at national and international levels,
4014,00637838,n,9,fire on objectives not in the immediate vicinity your forces but with the objective of destroying enemy reserves and weapons nad interfering with the enemy command and supply and communications,
4030,00640284,n,9,fire that is delivered in order to render the target ineffective or unusable,
4031,00640426,n,9,fire for which the point of impact (the burst) can be seen by an observer; fire can be adjusted on the basis of the observations,
4080,00648078,n,9,a gradation involving small or imperceptible differences between grades,
4081,00648214,n,9,the act of drawing apart: 'an angle is formed by the divergence of straight lines',
4124,00654717,n,9,the act of compiling (as into a single book or file or list); 'the job of compiling the inventory took several hours',
4133,00655874,n,9,the act or process of picking up or collecting from various places: 'garbage pickup is on Mondays and Thursdays',
4140,00656795,n,9,the act of bearing the weight of or strengthening; 'he leaned against the wall for support'; 'they forded the stream supporting their packs over their heads',
4178,00662536,n,9,any activity that is performed in an especially solemn elaborate or formal way; 'the ceremony of smelling the cork and tasting the wine'; 'he makes a ceremony of addressing his golf ball'; 'he disposed of it without ceremony',
4188,00664626,n,9,worship of ancestors,
4189,00664709,n,9,an established ceremony prescribed by a religion; 'the rite of baptism',
4220,00669528,n,9,participation in Holy Communion by members of more than one church (eg Catholic and Orthodox),
4240,00672486,n,9,(Roman Catholic Church) the act of declaring that a deceased person lived a holy life and is worthy of public veneration; a first step toward canonization,
4281,00677574,n,9,the worship of a single god but without claiming that it is the only god,
4298,00680055,n,9,the act of concealing the existence of something by obstructing the view of it; 'the cover concealed their guns from enemy aircraft',
4299,00680272,n,9,an attempt to prevent something embarrassing from becoming public,
4311,00681760,n,9,the act of putting something in position; 'he gave a final set to his hat',
4324,00683485,n,9,(often plural) a series of professional calls (usually in a set order); 'the doctor goes on his rounds first thing every morning'; 'the postman's rounds'; 'we enjoyed our round of the local bars',
4353,00687814,n,9,a pause from doing something (as work); 'we took a 10-minute break'; 'he took time out to recuperate',
4370,00690191,n,9,detention of a ship or freight car or other cargo beyond its scheduled time of departure,
4395,00693354,n,9,leniency and compassion shown toward offenders by a person or agency charged with administering justice; 'he threw himself on the mercy of the court',
4409,00695597,n,9,the interdiction of a nation's lines of communication at sea by the use of naval power,
4427,00698364,n,9,the disqualification of a judge or jury by reason of prejudice or conflict of interest; a judge can be recused by objections of either party or they can disqualify themselves,
4461,00704218,n,9,government provision for unemployed or injured or aged; financed by contributions from employers and employees as well as by government revenue,
4481,00707408,n,9,the commercial exchange (buying and selling on domestic or international markets) of goods and services; 'Venice was an important center of trade with the East'; 'they are accused of conspiring to constrain trade',
4507,00712631,n,9,investing with borrowed money as a way to amplify potential gains (at the risk of greater losses),
4519,00714121,n,9,(computer science) the use of microcomputers with graphics capacity to produce printed materials,
4545,00717352,n,9,the act of transacting within or between groups (as carrying on commercial activities); 'no transactions are possible without him'; 'he has always been honest is his dealings with me',
4563,00720575,n,9,a transaction in the stock market at a price below the price of the preceding transaction,
4577,00722668,n,9,traffic in slaves; especially in Black Africans transported to America in the 16th to 19th centuries,
4616,00727893,n,9,a headlong rush of people on a common impulse; 'when he shouted `fire' there was a stampede to the exits',
4618,00728547,n,9,social control achieved as a manifestation of self-will or consent,
4668,00736489,n,9,a method of tending to (especially business) matters,
4669,00736721,n,9,the administration of law; the act of determining rights and assigning rewards or punishments; 'justice deferred is justice denied',
4712,00743021,n,9,the act of restraining power or action or limiting excess; 'his common sense is a bridle to his quick temper',
4722,00744399,n,9,the imposition of order or discipline,
4725,00744736,n,9,restriction imposed by the government on documents or weapons that are available only to certain authorized people,
4764,00750410,n,9,act of changing from a war basis to a peace basis including disbanding or discharging troops: 'demobilization of factories'; 'immediate demobilization of the reserves',
4777,00752732,n,9,the act of whipping with a horsewhip; 'that villain needs a good horsewhipping',
4782,00753442,n,9,the burning to death of heretics (as during the Spanish Inquisition),
4813,00757904,n,9,the act of opposing groups confronting each other; 'the government was not ready for a confrontation with the unions'; 'the invaders encountered stiff opposition',
4832,00761046,n,9,a thrusting blow with a knife,
4834,00761225,n,9,a heavy blow with the hand,
4836,00761424,n,9,the act of pounding (delivering repeated heavy blows); 'the sudden hammer of fists caught him off guard'; 'the pounding of feet on the hallway',
4880,00768711,n,9,the determination by a court of competent jurisdiction on matters submitted to it,
4881,00769113,n,9,a judgment entered after a written confession by the debtor without the expense of ordinary legal proceedings,
4913,00774686,n,9,action by a landlord that compels a tenant to leave the premises (as by rendering the premises unfit for occupancy); no physical expulsion or legal process is involved,
4926,00777065,n,9,a defendant's answer or plea denying the truth of the charges against him; 'he gave evidence for the defense',
4928,00777389,n,9,a new trial in which issues already litigated and to which the court has already rendered a verdict or decision are reexamined by the same court; occurs when the initial trial is found to have been improper or unfair due to procedural errors,
4977,00785108,n,9,the act of giving hope or support to someone,
4979,00785360,n,9,anything that serves to increase morale; 'the sight of flowers every morning was my morale builder',
4996,00788240,n,9,the activity of providing for or maintaining by supplying with money or necessities; 'his support kept the family together'; 'they gave him emotional support during difficult times',
5028,00793321,n,9,the act of intimidating a weaker person to make them do something,
5033,00793932,n,9,the act of condemning (as land forfeited for public use) or judging to be unfit for use (as a food product),
5083,00801042,n,9,the failure to attend,
5089,00801850,n,9,a nonverbal reaction; 'his answer to any problem was to get drunk'; 'their answer was to sue me',
5092,00802243,n,9,"the act of taking revenge (harming someone in retaliation for something harmful that they have done) especially in the next life; 'Vengeance is mine; I will repay, saith the Lord'--Romans 12:19; 'For vengeance I would do nothing. This nation is too great to look for mere revenge'--James Garfield; 'he swore vengeance on the man who betrayed him'; 'the swiftness of divine retribution'",
5135,00808875,n,9,the throwing of an object in order to determine an outcome randomly; 'he risked his fortune on a throw of the dice',
5147,00810466,n,9,the act of admitting someone to enter; 'the surgery was performed on his second admission to the clinic',
5191,00816193,n,9,the playing of a card to start a trick in bridge; 'the lead was in the dummy',
5194,00816648,n,9,a position of leadership (especially in the phrase `take the lead'); 'he takes the lead in any group'; 'we were just waiting for someone to take the lead'; 'they didn't follow our lead',
5240,00823317,n,9,the peninsula and island in the Philippines where Japanese forces besieged American forces in World War II; US surrendered in 1942 and recaptured the area in 1945,
5261,00827766,n,9,"in the American Civil War (1863) the Union armies of Hooker, Thomas, and Sherman under the command of Ulysses S. Grant won a decisive victory over the Confederate Army under Braxton Bragg",
5281,00832295,n,9,the battle in which William the Conqueror (duke of Normandy) defeated the Saxons under King Harold (1066),
5284,00832863,n,9,a battle between the successors of Alexander the Great (301 BC); Lysimachus and Seleucus defeated Antigonus and Demetrius,
5298,00835792,n,9,a battle in Montana near the Little Bighorn River between General Custer's cavalry and several groups of Native Americans (1876); Custer was pursuing Sioux led by Sitting Bull; Custer underestimated the size of the Sioux forces (which were supported by Cheyenne warriors) and was killed along with all his command,
5321,00841070,n,9,the Spanish Navy was destroyed by France and England while attempting to recover Sicily and Sardinia from Italy (1719),
5363,00849983,n,9,American Civil War; a series of indecisive battles in Grant's campaign (1864) against Lee in which both armies suffered terrible losses,
5400,00858512,n,9,"(Greek mythology) a great war fought between Greece and Troy; the Greeks sailed to Troy to recover Helen of Troy, the beautiful wife of the Greek King Menelaus who had been abducted by Paris; after ten years the Greeks (via the Trojan Horse) achieved final victory and burned Troy to the ground; 'the story of the Trojan War is told in Homer's Iliad'",
5401,00858919,n,9,a prolonged war (1954-1975) between the communist armies of North Vietnam who were supported by the Chinese and the non-communist armies of South Vietnam supported by the US,
5407,00860774,n,9,a war between the Allies (Australia Belgium Bolivia Brazil Canada China Colombia Costa-Rico Cuba Czechoslovakia Dominican-Republic El-Salvador Ethiopia Greece Guatemala Haiti Honduras India Iran Iraq Luxembourg Mexico Netherlands New-Zealand Nicaragua Norway Panama Philippines Poland South-Africa United-Kingdom US USSR Yugoslavia) and the Axis (Albania Bulgaria Finland Germany Hungary Italy Japan Rumania Slovakia Thailand) from 1939 to 1945,
5454,00868118,n,9,any animal that feeds on flesh: 'Tyrannosaurus Rex was a large carnivore'; 'insectivorous plants are considered carnivores',
5469,00870405,n,9,an offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species,
5503,00875934,n,9,a herpes virus that causes shingles,
5505,00876221,n,9,the herpes virus that causes infectious mononucleosis; associated with specific cancers in Africa and China,
5528,00884781,n,9,single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered plants,
5550,00890537,n,9,"anaerobic or micro-aerophilic rod-shaped or spindle-shaped saprophytes; nearly cosmopolitan in soil, animal intestines, and dung",
5553,00891131,n,9,prokaryotic organisms sometimes considered a class or phylum or subkingdom; coextensive with the Cyanophyceae: cyanobacteria (blue-green algae),
5604,00900166,n,9,a form of salmonella that causes food poisoning in humans,
5615,00901754,n,9,rod-shaped microorganisms resembling both bacteria and viruses; live in biting arthropods and cause disease in vertebrate hosts,
5659,00909215,n,9,higher bacteria; slender spiral rodlike forms,
5660,00909420,n,9,large coarsely spiral bacteria; free-living in fresh or salt water or commensal in bodies of oysters,
5686,00913882,n,9,"in most modern classifications, replacement for the Protista; includes: Protozoa; Euglenophyta; Chlorophyta; Cryptophyta; Heterokontophyta; Rhodophyta; unicellular protists and their descendant multicellular organisms: regarded as distinct from plants and animals",
5709,00919646,n,9,any ameba of the genus Endamoeba,
5710,00919751,n,9,naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion,
5753,00926433,n,9,"algae having chlorophyll a and usually c, and flagella of unequal lengths; terminology supersedes Chrysophyta in some classifications",
5762,00928408,n,9,simple filamentous freshwater yellow-green algae,
5764,00928733,n,9,any of various algae of the genus Tribonema; algae with branching filaments that form scum in still or stagnant fresh water,
