9,πολυκέντητος,a,aps---cn2-,πολυκέντητος πολυκέντητος πολυκέντητον,,,,,0
81226,π08296,πολυκρέως,a,aps---cn2a,πολυκρέως πολυκρέως πολύκρεων,,,,,0
81227,π08297,πολύκρημνος,a,aps---cn2-,πολύκρημνος πολύκρημνος πολύκρημνον,,,,,0
81228,π08298,πολυκριθέω,v,----------,,,,,,0
81229,π08299,πολύκριθος,a,aps---cn2-,πολύκριθος πολύκριθος πολύκριθον,,,,,0
81230,π08300,πολύκριμνος,a,aps---cn2-,πολύκριμνος πολύκριμνος πολύκριμνον,,,,,0
81231,π08301,πολύκριτος,a,aps---cn2-,πολύκριτος πολύκριτος πολύκριτον,,,,,0
81232,π08302,πολυκρόκαλος,a,aps---cn2-,πολυκρόκαλος πολυκρόκαλος πολυκρόκαλον,,,,,0
81233,π08303,πολύκροσσος,a,aps---cn2-,πολύκροσσος πολύκροσσος πολύκροσσον,,,,,0
81234,π08304,πολυκρόταλος,a,aps---cn2-,πολυκρόταλος πολυκρόταλος πολυκρόταλον,,,,,0
81235,π08305,πολυκρότητος,a,aps---cn2-,πολυκρότητος πολυκρότητος πολυκρότητον,,,,,0
81237,π08307,πολύκρουνος,a,aps---cn2-,πολύκρουνος πολύκρουνος πολύκρουνον,,,,,0
81238,π08308,πολύκρωζος,a,aps---cn2-,πολύκρωζος πολύκρωζος πολύκρωζον,,,,,0
81239,π08309,πολυκτέανος,a,aps---cn2-,πολυκτέανος πολυκτέανος πολυκτέανον,,,,,0
81240,π08310,πολυκτήματος,a,aps---cn2-,πολυκτήματος πολυκτήματος πολυκτήματον,,,,,0
81241,π08311,πολυκτημοσύνη,n,n-s---fn1e,πολυκτημοσύνης,,,,,0
81242,π08312,πολυκτήμων,a,aps---cn3n,πολυκτήμων πολυκτήμων πολυκτήμον,,,,,0
81243,π08313,πολύκτηνος,a,aps---cn2-,πολύκτηνος πολύκτηνος πολύκτηνον,,,,,0
81244,π08314,πολυκτησία,n,n-s---fn1l,πολυκτησίας,,,,,0
81246,π08316,πολύκτιτος,a,aps---cn2-,πολύκτιτος πολύκτιτος πολύκτιτον,,,,,0
81247,π08317,πολυκτόνος,a,aps---cn2-,πολυκτόνος πολυκτόνος πολυκτόνον,,,,,0
81249,π08319,πολύκυθνος,a,aps---cn2-,πολύκυθνος πολύκυθνος πολύκυθνον,,,,,0
81250,π08320,πολύκυκλος,a,aps---cn2-,πολύκυκλος πολύκυκλος πολύκυκλον,,,,,0
81251,π08321,πολύκυκος,a,aps---cn2-,πολύκυκος πολύκυκος πολύκυκον,,,,,0
81252,π08322,πολυκυλίνδητος,a,aps---cn2-,πολυκυλίνδητος πολυκυλίνδητος πολυκυλίνδητον,,,,,0
81253,π08323,πολυκύματος,a,aps---cn2-,πολυκύματος πολυκύματος πολυκύματον,,,,,0
81254,π08324,πολυκύμων,a,aps---cn3n,πολυκύμων πολυκύμων πολυκύμον,,,,,0
81255,π08325,πολυκώθων,n,n-s---mn3n,πολυκώθωνος,,,,,0
81256,π08326,πολυκώκυτος,a,aps---cn2-,πολυκώκυτος πολυκώκυτος πολυκώκυτον,,,,,0
81257,π08327,πολύκωλος,a,aps---cn2-,πολύκωλος πολύκωλος πολύκωλον,,,,,0
81258,π08328,πολύκωμος,a,aps---cn2-,πολύκωμος πολύκωμος πολύκωμον,,,,,0
81259,π08329,πολύκωπος,a,aps---cn2-,πολύκωπος πολύκωπος πολύκωπον,,,,,0
81260,π08330,πολυκώτιλος,a,aps---cn2-,πολυκώτιλος πολυκώτιλος πολυκώτιλον,,,,,0
81261,π08331,πολυλάλητος,a,aps---cn2-,πολυλάλητος πολυλάλητος πολυλάλητον,,,,,0
81262,π08332,πολυλαλία,n,n-s---fn1l,πολυλαλίας,,,,,0
81263,π08333,πολύλαλος,a,aps---cn2-,πολύλαλος πολύλαλος πολύλαλον,,,,,0
81264,π08334,πολύλεκτος,a,aps---cn2-,πολύλεκτος πολύλεκτος πολύλεκτον,,,,,0
81265,π08335,πολυλέξις,n,----------,,,,,,0
81266,π08336,πολυλήϊος,a,aps---cn2-,πολυλήϊος πολυλήϊος πολυλήϊον,,,,,0
81267,π08337,πολυλήμματος,a,aps---cn2-,πολυλήμματος πολυλήμματος πολυλήμματον,,,,,0
81268,π08338,πολυλίμενος,a,aps---cn2-,πολυλίμενος πολυλίμενος πολυλίμενον,,,,,0
81269,π08339,πολυλιμενότης,n,n-s---fn3t,πολυλιμενότητος,,,,,0
81270,π08340,πολύλιμος,n,n-s---mn2-,πολυλίμου,,,,,0
81272,π08342,πολύλλιθος,a,aps---cn2-,πολύλλιθος πολύλλιθος πολύλλιθον,,,,,0
81274,π08344,πολύλλιτος,a,aps---cn2-,πολύλλιτος πολύλλιτος πολύλλιτον,,,,,0
81275,π08345,πολυλογέω,v,----------,,,,,,0
81276,π08346,πολυλογία,n,n-s---fn1l,πολυλογίας,,,,,0
81277,π08347,πολυλογίζω,v,----------,,,,,,0
81278,π08348,πολύλογος,a,aps---cn2-,πολύλογος πολύλογος πολύλογον,,,,,0
81279,π08349,πολύλοπος,a,aps---cn2-,πολύλοπος πολύλοπος πολύλοπον,,,,,0
81280,π08350,πολύλυπος,a,aps---cn2-,πολύλυπος πολύλυπος πολύλυπον,,,,,0
81281,π08351,πολύλυχνον,n,n-s---nn2-,πολυλύχνου,,,,,0
81282,π08352,πολυμάθεια,n,n-s---fn1s,πολυμάθειας,,,,,0
81283,π08353,πολυμαθέω,v,----------,,,,,,0
81284,π08354,πολυμαθημοσύνη,n,n-s---fn1e,πολυμαθημοσύνης,,,,,0
81285,π08355,πολυμαθής,a,aps---cn5s,πολυμαθής πολυμαθής πολυμαθές,,,/po.ly.ma.tʰɛ̌ːs/,,0
81286,π08356,πολυμαθία,n,n-s---fn1l,πολυμαθίας,,,,,0
81287,π08357,πολύμακαρ,n,----------,,,,,,0
81288,π08358,πολύμαλλος,a,aps---cn2-,πολύμαλλος πολύμαλλος πολύμαλλον,,,,,0
81818,π08888,πολύχρως,n,----------,,,,,,0
81290,π08360,πολυμανής,a,aps---cn5s,πολυμανής πολυμανής πολυμανές,,,,,0
81292,π08362,πολυμάσχαλος,a,aps---cn2-,πολυμάσχαλος πολυμάσχαλος πολυμάσχαλον,,,,,0
81293,π08363,πολυμάχητος,a,aps---cn2-,πολυμάχητος πολυμάχητος πολυμάχητον,,,,,0
81294,π08364,πολύμαχος,a,aps---cn2-,πολύμαχος πολύμαχος πολύμαχον,,,,,0
81295,π08365,πολυμέδιμνος,a,aps---cn2-,πολυμέδιμνος πολυμέδιμνος πολυμέδιμνον,,,,,0
81296,π08366,πολυμεθής,a,aps---cn5s,πολυμεθής πολυμεθής πολυμεθές,,,,,0
81297,π08367,πολυμέλαθρος,a,aps---cn2-,πολυμέλαθρος πολυμέλαθρος πολυμέλαθρον,,,,,0
81298,π08368,πολυμελής,a,aps---cn5s,πολυμελής πολυμελής πολυμελές,,,,,0
81299,π08369,πολυμελπής,a,aps---cn5s,πολυμελπής πολυμελπής πολυμελπές,,,,,0
81300,π08370,πολυμεμφής,a,aps---cn5s,πολυμεμφής πολυμεμφής πολυμεμφές,,,,,0
81301,π08371,πολυμέρεια,n,n-s---fn1s,πολυμέρειας,,,,,0
81302,π08372,πολυμερής,a,aps---cn5s,πολυμερής πολυμερής πολυμερές,,,,,0
81303,π08373,πολυμέριμνος,a,aps---cn2-,πολυμέριμνος πολυμέριμνος πολυμέριμνον,,,,,0
81304,π08374,πολυμέριστος,n,----------,,,,,,0
81305,π08375,πολυμέρμερος,a,aps---cn2-,πολυμέρμερος πολυμέρμερος πολυμέρμερον,,,,,0
81306,π08376,πολύμεσος,a,aps---cn2-,πολύμεσος πολύμεσος πολύμεσον,,,,,0
81307,π08377,πολυμετάβλητος,a,aps---cn2-,πολυμετάβλητος πολυμετάβλητος πολυμετάβλητον,,,,,0
81308,π08378,πολυμετάβολος,a,aps---cn2-,πολυμετάβολος πολυμετάβολος πολυμετάβολον,,,,,0
81309,π08379,πολυμετρία,n,n-s---fn1l,πολυμετρίας,,,,,0
81310,π08380,πολύμετρος,a,aps---cn2-,πολύμετρος πολύμετρος πολύμετρον,,,,,0
81311,π08381,πολυμηκάς,n,n-s---fn3d,πολυμηκάδος,,,,,0
81312,π08382,πολυμήκετος,a,aps---cn2-,πολυμήκετος πολυμήκετος πολυμήκετον,,,,,0
81313,π08383,πολυμήκης,a,aps---cn3s,πολυμήκης πολυμήκης πολυμή͂κες,,,,,0
81314,π08384,πολύμηλος,a,aps---cn2-,πολύμηλος πολύμηλος πολύμηλον,,,,,0
81315,π08385,πολύμηνις,n,----------,,,,,,0
81316,π08386,πολυμήτης,n,n-s---mn1e,πολυμήτου,,,,,0
81318,π08388,πολυμήτωρ,n,n-s---fn3r,πολυμήτορος,,,,,0
81319,π08389,πολυμηχανία,n,n-s---fn1l,πολυμηχανίας,,,,,0
81320,π08390,πολυμήχανος,a,aps---cn2-,πολυμήχανος πολυμήχανος πολυμήχανον,,,,,0
81321,π08391,πολυμιγής,a,aps---cn5s,πολυμιγής πολυμιγής πολυμιγές,,,,,0
81322,π08392,πολυμιγία,n,n-s---fn1l,πολυμιγίας,,,,,0
81323,π08393,πολυμίγματος,a,aps---cn2-,πολυμίγματος πολυμίγματος πολυμίγματον,,,,,0
81324,π08394,πολύμικτος,a,aps---cn2-,πολύμικτος πολύμικτος πολύμικτον,,,,,0
81325,π08395,πολυμιξία,n,n-s---fn1l,πολυμιξίας,,,,,0
81326,π08396,πολυμισής,a,aps---cn5s,πολυμισής πολυμισής πολυμισές,,,,,0
81327,π08397,πολύμισθος,a,aps---cn2-,πολύμισθος πολύμισθος πολύμισθον,,,,,0
81328,π08398,πολυμιταρική,n,n-s---fn1e,πολυμιταρικῆς,,,,,0
81329,π08399,πολυμιτάριος,n,n-s---mn2-,πολυμιταρίου,,,,,0
81330,π08400,πολύμιτος,a,aps---cn2-,πολύμιτος πολύμιτος πολύμιτον,,,,,0
81332,,Πολυμνήστεια,n,n-p---nn2-,Πολυμνηστείων,,,,,0
81868,π08937,πομπή,n,n-s---fn1e,πομπῆς,,,,,0
81334,π08403,πολυμνήστη,n,n-s---fn1e,πολυμνήστης,,,,,0
81335,π08404,πολύμνηστος,a,aps---mn1-,πολύμνηστος πολυμνήστη πολύμνηστον,,,,,0
81336,π08405,πολυμνήστωρ,n,n-s---cn3r,πολυμνήστορος,,,,,0
81337,,Πολύμνια,n,n-s---fn1s,Πολύμνιας,,,/po.ly̌ːm.ni.a/,,0
81338,π08406,πολύμνιος,a,aps---cn2-,πολύμνιος πολύμνιος πολύμνιον,,,,,0
81339,π08407,πολυμορφής,a,aps---cn5s,πολυμορφής πολυμορφής πολυμορφές,,,,,0
81340,π08408,πολυμορφία,n,n-s---fn1l,πολυμορφίας,,,,,0
81341,π08409,πολύμορφος,a,aps---cn2-,πολύμορφος πολύμορφος πολύμορφον,,,,,0
81342,π08410,πολύμουσος,a,aps---cn2-,πολύμουσος πολύμουσος πολύμουσον,,,,,0
81343,π08411,πολύμοχθος,a,aps---cn2-,πολύμοχθος πολύμοχθος πολύμοχθον,,,,,0
81344,π08412,πολυμύελος,a,aps---cn2-,πολυμύελος πολυμύελος πολυμύελον,,,,,0
81345,π08413,πολύμυθος,a,aps---cn2-,πολύμυθος πολύμυθος πολύμυθον,,,,,0
81346,π08414,πολύμυξος,a,aps---cn2-,πολύμυξος πολύμυξος πολύμυξον,,,,,0
81348,π08416,πολύναος,a,aps---cn2-,πολύναος πολύναος πολύναον,,,,,0
81349,π08417,πολύναστος,n,----------,,,,,,0
81350,π08418,πολυναύτης,n,n-s---mn1e,πολυναύτου,,,,,0
81351,π08419,πολυνεικής,a,aps---cn5s,πολυνεικής πολυνεικής πολυνεικές,,,,,0
81352,π08420,πολύνευρον,n,n-s---nn2-,πολυνεύρου,,,,,0
81353,π08421,πολυνέφελος,a,aps---cn2-,πολυνέφελος πολυνέφελος πολυνέφελον,,,,,0
81354,π08422,πολυνηνεμίη,n,n-s---fn1e,πολυνηνεμίης,,,,,0
81355,π08423,πολυνίκης,n,n-s---mn1e,πολυνίκου,,,,,0
81356,π08424,πολυνιφής,a,aps---cn5s,πολυνιφής πολυνιφής πολυνιφές,,,,,0
81357,π08425,πολύνοια,n,n-s---fn1s,πολύνοιας,,,,,0
81358,π08426,πολύνομος,a,aps---cn2-,πολύνομος πολύνομος πολύνομον,,,,,0
81359,π08427,πολύνοος,a,aps---cn2-,πολύνοος πολύνοος πολύνοον,,πολύνους πολύνους πολύνουν,,,0
81360,π08428,πολύνοσος,a,aps---cn2-,πολύνοσος πολύνοσος πολύνοσον,,,,,0
81361,π08429,πολύνοστος,a,aps---cn2-,πολύνοστος πολύνοστος πολύνοστον,,,,,0
81362,π08430,πολύνυμφος,a,aps---cn2-,πολύνυμφος πολύνυμφος πολύνυμφον,,,,,0
81364,π08432,πολύξεστος,a,aps---cn2-,πολύξεστος πολύξεστος πολύξεστον,,,,,0
81365,π08433,πολύξηρος,a,aps---cn2-,πολύξηρος πολύξηρος πολύξηρον,,,,,0
81366,π08434,πολύξυλος,a,aps---cn2-,πολύξυλος πολύξυλος πολύξυλον,,,,,0
81367,π08435,πολυόδευτος,a,aps---cn2-,πολυόδευτος πολυόδευτος πολυόδευτον,,,,,0
81368,π08436,πολυοδία,n,n-s---fn1l,πολυοδίας,,,,,0
81369,π08437,πολύοδμος,a,aps---cn2-,πολύοδμος πολύοδμος πολύοδμον,,,,,0
81370,π08438,πολυόδους,n,----------,,,,,,0
81371,π08439,πολυοζία,n,n-s---fn1l,πολυοζίας,,,,,0
81372,π08440,πολύοζος,a,aps---cn2-,πολύοζος πολύοζος πολύοζον,,,,,0
81373,π08446,πολυολϝέω,v,----------,,,,,,0
81374,π08441,πολυοινία,n,n-s---fn1l,πολυοινίας,,,,,0
81375,π08442,πολύοινος,a,aps---cn2-,πολύοινος πολύοινος πολύοινον,,,,,0
81376,π08443,πολύοκνος,a,aps---cn2-,πολύοκνος πολύοκνος πολύοκνον,,,,,0
81377,π08444,πολυόλβιος,a,aps---cn2-,πολυόλβιος πολυόλβιος πολυόλβιον,,,,,0
81971,π09035,πορευτός,a,----------,,,,,,0
81379,π08447,πολυομβρία,n,n-s---fn1l,πολυομβρίας,,,,,0
81381,π08449,πολυόμματος,a,aps---cn2-,πολυόμματος πολυόμματος πολυόμματον,,,,,0
81382,π08450,πολυόμφαλος,a,aps---cn2-,πολυόμφαλος πολυόμφαλος πολυόμφαλον,,,,,0
81383,π08451,πολυόνειρος,a,aps---cn2-,πολυόνειρος πολυόνειρος πολυόνειρον,,,,,0
81384,π08452,πολύοπος,a,aps---cn2-,πολύοπος πολύοπος πολύοπον,,,,,0
81385,π08453,πολύοπτος,a,aps---cn2-,πολύοπτος πολύοπτος πολύοπτον,,,,,0
81386,π08454,πολυόργιος,a,aps---cn2-,πολυόργιος πολυόργιος πολυόργιον,,,,,0
81387,π08455,πολυορκία,n,n-s---fn1l,πολυορκίας,,,,,0
81388,π08456,πολύορκος,a,aps---cn2-,πολύορκος πολύορκος πολύορκον,,,,,0
81389,π08457,πολυόρμητος,a,aps---cn2-,πολυόρμητος πολυόρμητος πολυόρμητον,,,,,0
81390,π08458,πολυόρνιθος,a,aps---cn2-,πολυόρνιθος πολυόρνιθος πολυόρνιθον,,,,,0
81391,π08459,πολύορνις,n,----------,,,,,,0
81392,π08460,πολυόροφος,a,aps---cn2-,πολυόροφος πολυόροφος πολυόροφον,,,,,0
81393,π08461,πολυοσμία,n,n-s---fn1l,πολυοσμίας,,,,,0
81394,π08462,πολύοσμος,a,aps---cn2-,πολύοσμος πολύοσμος πολύοσμον,,,,,0
81395,π08463,πολυόστεος,a,aps---cn2-,πολυόστεος πολυόστεος πολυόστεον,,,,,0
81396,π08464,πολυούσιος,a,aps---cn2-,πολυούσιος πολυούσιος πολυούσιον,,,,,0
81397,π08465,πολυόφθαλμος,a,aps---cn2-,πολυόφθαλμος πολυόφθαλμος πολυόφθαλμον,,,,,0
81398,π08466,πολυόχευτος,a,aps---cn2-,πολυόχευτος πολυόχευτος πολυόχευτον,,,,,0
81399,π08467,πολυοχλέω,v,----------,,,,,,0
81400,π08468,πολυοχλία,n,n-s---fn1l,πολυοχλίας,,,,,0
81401,π08469,πολύοχλος,a,aps---cn2-,πολύοχλος πολύοχλος πολύοχλον,,,,,0
81402,π08470,πολυοψία,n,n-s---fn1l,πολυοψίας,,,,,0
81403,π08471,πολύοψος,a,aps---cn2-,πολύοψος πολύοψος πολύοψον,,,,,0
81404,π08472,πολυπάθεια,n,n-s---fn1s,πολυπάθειας,,,,,0
81406,π08474,πολυπαίγμων,a,aps---cn3n,πολυπαίγμων πολυπαίγμων πολυπαίγμον,,,,,0
81407,π08475,πολυπαιδία,n,n-s---fn1l,πολυπαιδίας,,,,,0
81408,π08476,πολυπαίπαλος,a,aps---cn2-,πολυπαίπαλος πολυπαίπαλος πολυπαίπαλον,,,,,0
81409,π08477,πολύπαις,n,----------,,,,,,0
81410,π08478,πολύπαλτος,a,aps---cn2-,πολύπαλτος πολύπαλτος πολύπαλτον,,,,,0
81411,π08479,πολυπάμφαος,a,aps---cn2-,πολυπάμφαος πολυπάμφαος πολυπάμφαον,,,,,0
81412,π08480,πολυπάμων,a,aps---cn3n,πολυπάμων πολυπάμων πολυπάμον,,,,,0
81414,π08482,πολυπάρθενος,a,aps---cn2-,πολυπάρθενος πολυπάρθενος πολυπάρθενον,,,,,0
81415,π08483,πολύπαστος,a,aps---cn2-,πολύπαστος πολύπαστος πολύπαστον,,,,,0
81416,π08484,πολύπαταξ,n,n-s---cn3e,πολύπαταγος,,,,,0
81417,π08485,πολυπάτητος,a,aps---cn2-,πολυπάτητος πολυπάτητος πολυπάτητον,,,,,0
81418,π08486,πολύπατρις,a,----------,,,,,,0
81419,π08488,πολυπείρητος,a,aps---cn2-,πολυπείρητος πολυπείρητος πολυπείρητον,,,,,0
81420,π08489,πολυπειρία,n,n-s---fn1l,πολυπειρίας,,,,,0
81421,π08490,πολύπειρος,a,aps---cn2-,πολύπειρος πολύπειρος πολύπειρον,,,,,0
81422,π08491,πολυπείρων,a,aps---cn3n,πολυπείρων πολυπείρων πολυπείρον,,,,,0
81424,π08493,πολυπέλεθρος,a,aps---cn2-,πολυπέλεθρος πολυπέλεθρος πολυπέλεθρον,,,,,0
81425,π08494,πολυπενθής,a,aps---cn5s,πολυπενθής πολυπενθής πολυπενθές,,,,,0
81427,π08496,πολυπευθής,a,aps---cn5s,πολυπευθής πολυπευθής πολυπευθές,,,,,0
81428,π08497,πολυπήδητος,a,aps---cn2-,πολυπήδητος πολυπήδητος πολυπήδητον,,,,,0
81429,π08498,πολυπήμων,a,----------,,,,,,0
81430,π08499,πολύπηνος,a,aps---cn2-,πολύπηνος πολύπηνος πολύπηνον,,,,,0
81431,π08500,πολύπηχυς,a,----------,,,,,,0
81432,π08487,πολυπῖδαξ,n,----------,,,,,,0
81433,π08501,πολυπικός,a,aps---mn1-,πολυπικός πολυπική πολυπικόν,,,,,0
81434,π08502,πολύπικρος,a,aps---cn2-,πολύπικρος πολύπικρος πολύπικρον,,,,,0
81435,π08503,πολυπινής,a,aps---cn5s,πολυπινής πολυπινής πολυπινές,,,,,0
81436,π08504,πολύπιστος,a,aps---cn2-,πολύπιστος πολύπιστος πολύπιστον,,,,,0
81438,π08506,πολυπλαγκτοσύνη,n,n-s---fn1e,πολυπλαγκτοσύνης,,,,,0
81439,π08507,πολυπλανής,a,aps---cn5s,πολυπλανής πολυπλανής πολυπλανές,,,,,0
81440,π08508,πολυπλάνητος,a,aps---cn2-,πολυπλάνητος πολυπλάνητος πολυπλάνητον,,,,,0
81441,π08509,πολύπλανος,a,aps---cn2-,πολύπλανος πολύπλανος πολύπλανον,,,,,0
81442,π08510,πολυπλασιάζω,v,----------,,,,,,0
81443,π08511,πολυπλασίασμα,n,n-s---nn3t,πολυπλασιάσματος,,,,,0
81444,π08512,πολυπλασιασμός,n,----------,,,,,,0
81445,π08513,πολυπλασιαστέον,a,----------,,,,,,0
81446,π08514,πολυπλάσιος,a,aps---mn1-,πολυπλάσιος πολυπλάσια πολυπλάσιον,,,,,0
81447,π08515,πολυπλασίων,a,aps---cn3n,πολυπλασίων πολυπλασίων πολυπλασίον,,,,,0
81448,π08516,πολύπλεθρος,a,aps---cn2-,πολύπλεθρος πολύπλεθρος πολύπλεθρον,,,,,0
81449,π08517,πολυπλεκής,a,aps---cn5s,πολυπλεκής πολυπλεκής πολυπλεκές,,,,,0
81450,π08518,πολύπλεκτος,a,aps---cn2-,πολύπλεκτος πολύπλεκτος πολύπλεκτον,,,,,0
81451,π08519,πολύπλευρος,a,aps---cn2-,πολύπλευρος πολύπλευρος πολύπλευρον,,,,,0
81452,π08520,πολυπλήθεια,n,n-s---fn1s,πολυπλήθειας,,,,,0
81453,π08521,πολυπληθέω,v,----------,,,,,,0
81454,π08522,πολυπληθής,a,aps---cn5s,πολυπληθής πολυπληθής πολυπληθές,,,,,0
81455,π08523,πολυπληθία,n,n-s---fn1l,πολυπληθίας,,,,,0
81456,π08524,πολυπληθύνω,v,----------,,,,,,0
81457,π08525,πολυπλόκαμος,a,aps---cn2-,πολυπλόκαμος πολυπλόκαμος πολυπλόκαμον,,,,,0
81458,π08526,πολυπλοκία,n,n-s---fn1l,πολυπλοκίας,,,,,0
81459,π08527,πολύπλοκος,a,aps---cn2-,πολύπλοκος πολύπλοκος πολύπλοκον,,,,,0
81460,π08528,πολύπλοος,a,aps---cn2-,πολύπλοος πολύπλοος πολύπλοον,,πολύπλους πολύπλους πολύπλουν,,,0
81461,π08530,πολύπνοος,a,aps---cn2-,πολύπνοος πολύπνοος πολύπνοον,,πολύπνους πολύπνους πολύπνουν,,,0
81462,π08531,πολυπόδειος,a,aps---cn2-,πολυπόδειος πολυπόδειος πολυπόδειον,,,,,0
