0448605,a,9,excessively and uncomfortably conscious of your appearance or behavior; 'self-conscious teenagers'; 'wondered if she could ever be untidy without feeling self-conscious about it',
81009,00479021,a,9,provided with a worthy adversary or competitor; 'matched teams',
81010,00479138,a,9,not involving competition or competitiveness; 'noncompetitive positions'; 'noncompetitive interest in games',
81011,00479361,a,9,willing to adjust to differences in order to obtain agreement,
81012,00479496,a,9,having exclusive control over a commercial activity by possession or legal grant,
81013,00479635,a,9,not inclined to compete,
81014,00479718,a,9,expressing pain or dissatisfaction of resentment; 'a complaining wife',
81015,00479936,a,9,habitually complaining; 'a whining child',
81016,00480073,a,9,muttering discontentedly; 'the grumbling boarders requested a meeting with the cook',
81017,00480213,a,9,making a protest,
81018,00480302,a,9,wishing discontentedly,
81019,00480379,a,9,not complaining; 'uncomplaining courage',
81020,00480533,a,9,enduring without protest or complaint,
81022,00480740,a,9,capable of being compressed or made more compact; 'compressible packing materials'; 'a compressible box',
81023,00480921,a,9,reduced in volume by pressure; 'compressed air',
81024,00481025,a,9,impossible to compress; resisting compression; 'mounds of incompressible garbage',
81026,00481645,a,9,constituting the full quantity or extent; complete; 'an entire town devastated by an earthquake'; 'gave full attention'; 'a total failure',
81027,00481851,a,9,representing the full height of the human figure; 'a full-length portrait',
81028,00481983,a,9,occupying an entire page in a book or paper; 'a full-page ad',
81029,00482100,a,9,constituting the undiminished entirety; lacking nothing essential especially not damaged; 'a local motion keepeth bodies integral'- Bacon; 'was able to keep the collection entire during his lifetime'; 'fought to keep the union intact',
81030,00482407,a,9,(of time) constituting the full extent or duration; 'all the livelong day',
81031,00482536,a,9,not separated into parts or shares; constituting an undivided unit; 'an undivided interest in the property'; 'a full share',
81032,00482722,a,9,constituting or comprising a part or fraction of a possible whole or entirety; 'a fractional share of the vote'; 'a partial dose',
81033,00483160,a,9,signifying an exact divisor or factor of a quantity,
81034,00483265,a,9,forming or functioning as part of a whole; 'component parts'; 'a constituent element',
81035,00483426,a,9,constituting a division or an aliquot part of the basic monetary unit; 'American divisional (fractional) coins include the dime and the nickel'; 'fractional currency is currency in denominations less than the basic monetary unit',
81036,00483712,a,9,the fractional price paid in cash at time of purchase; 'the down payment'; 'a payment of $200 down',
81037,00483862,a,9,consisting of small disconnected parts; 'fragmentary remains',
81038,00483994,a,9,consisting of one of two equivalent parts in value or quantity; 'a half chicken'; 'lasted a half hour',
81039,00484150,a,9,including only half or a portion; 'halfway measures',
81040,00484256,a,9,relating to only part of a whole; 'part owner',
81041,00484356,a,9,consisting of one of four equivalent parts; 'a quarter pound of butter',
81042,00484484,a,9,(prefix) half or partial; '`semi' is a prefix in such words as `semicircular' and `semiannual' and `semiconscious'',
81043,00484650,a,9,being one of three equal parts; 'a third share of the money',
81044,00484765,a,9,representing three quarters of something; 'a three-quarter-length portrait'; 'a three-quarter view',
81045,00484924,a,9,(of siblings) having the same parents; 'whole brothers and sisters',
81046,00485043,a,9,(of siblings) related through one parent only; 'a half brother'; 'half sister',
81047,00485172,a,9,"bound or obligated, as under a pledge to a particular cause, action, or attitude; 'committed church members'; 'a committed Marxist'",
81048,00485395,a,9,deeply devoted to; 'bound up in her teaching'; 'is wrapped up in his family',
81049,00485539,a,9,bound by or as if by an oath; 'according to an early tradition became his sworn brother'; 'sworn enemies',
81050,00485706,a,9,not bound or pledged,
81051,00485838,a,9,having no commitments or responsibilities; carefree; 'a fancy-free bachelor',
81052,00485971,a,9,not definitely committed to a party or policy; 'floating voters',
81053,00486093,a,9,not yet having made a commitment; 'undecided voters',
81054,00486201,a,9,devoted to a cause or ideal or purpose; 'a dedicated dancer'; 'dedicated teachers'; 'dedicated to the proposition that all men are created equal'- A.Lincoln,
81055,00486467,a,9,(followed by `to') dedicated exclusively to a purpose or use; 'large sums devoted to the care of the poor'; 'a life devoted to poetry',
81056,00486658,a,9,zealous in devotion or affection; 'a devoted husband and father'; 'devoted friends',
81057,00486795,a,9,(often followed by `to') devoted exclusively to a single use or purpose or person; 'a fund sacred to charity'; 'a morning hour sacred to study'; 'a private office sacred to the President',
81058,00487035,a,9,not dedicated; 'the playground has been completed but is still undedicated',
81059,00487168,a,9,having every necessary or normal part or component or step; 'a complete meal'; 'a complete wardrobe'; 'a complete set pf the Britannica'; 'a complete set of china'; 'a complete defeat'; 'a complete accounting',
81060,00487828,a,9,complete and without restriction or qualification; sometimes used informally as intensifiers; 'absolute freedom'; 'an absolute dimwit'; 'a downright lie'; 'out-and-out mayhem'; 'an out-and-out lie'; 'a rank outsider'; 'many right-down vices'; 'got the job through sheer persistence'; 'sheer stupidity',
81061,00488247,a,9,successfully completed or brought to an end; 'his mission accomplished he took a vacation'; 'the completed project'; 'the joy of a realized ambition overcame him',
81064,00488764,a,9,covering the entire surface; 'an allover pattern'; 'got an allover tan',
81065,00488889,a,9,thorough and without qualification; 'a clean getaway'; 'a clean sweep'; 'a clean break',
81066,00489028,a,9,(football) caught; 'a completed forward pass',
81067,00489129,a,9,sudden and complete; 'came to a dead stop',
81068,00489225,a,9,very thorough; exhaustively complete; 'an exhaustive study'; 'made a thorough search'; 'thoroughgoing research',
81069,00489420,a,9,given substance or detail; completed; 'did not spring full-clad from his imagination'; 'a plan fleshed out with statistics and details',
81070,00489625,a,9,complete in extent or degree and in every particular; 'a full game'; 'a total eclipse'; 'a total disaster',
81071,00489790,a,9,having or displaying all the characteristics necessary for completeness; 'a full-blown financial crisis',
81072,00489951,a,9,complete in every respect; 'a full-dress debate'; 'a full-dress investigation',
81073,00490086,a,9,thorough; 'had a good workout'; 'gave the house a good cleaning',
81074,00490201,a,9,without reservation; 'hearty support',
81075,00490291,a,9,constituting a complete and independent unit in and of itself; 'the university is like a self-contained city with shops and all amenities',
81076,00490490,a,9,thorough; 'a sound thrashing',
81077,00490571,a,9,(electronics) capable of operating independently,
81078,00490677,a,9,not complete or total; not completed; 'an incomplete account of his life'; 'political consequences of incomplete military success'; 'an incomplete forward pass',
81079,00491051,a,9,lacking a part or parts; 'a broken set of encyclopedia',
81080,00491159,a,9,partial; 'gave me a half smile'; 'he did only a half job',
81081,00491270,a,9,being or affecting only a part; not total; 'a partial description of the suspect'; 'partial collapse'; 'a partial eclipse'; 'a partial monopoly'; 'partial immunity',
81082,00491488,a,9,being in the earliest stages of development; 'rudimentary plans',
81083,00491610,a,9,giving only major points; lacking completeness; 'a sketchy account'; 'details of the plan remain sketchy',
81084,00491784,a,9,(football) not caught or not caught within bounds; 'an uncompleted pass',
81085,00491914,a,9,(botany) having all four whorls or principal parts--sepals and petals and stamens and carpels (or pistils); 'complete flowers',
81086,00492095,a,9,(botany) lacking one or more of the four whorls of the complete flower--sepals or petals or stamens or pistils; 'an incomplete flower',
81087,00492304,a,9,including all or everything; 'comprehensive coverage'; 'a comprehensive history of the revolution'; 'a comprehensive survey'; 'a comprehensive education',
81089,00493236,a,9,many-sided; 'an all-around athlete'; 'a well-rounded curriculum',
81090,00493390,a,9,of worldwide scope or applicability; 'an issue of cosmopolitan import'; 'the shrewdest political and ecumenical comment of our time'- Christopher Morley; 'universal experience',
81091,00493686,a,9,omitting no one; from the door of one house to that of the next; 'a door-to-door campaign'; 'house-to-house coverage',
81092,00493879,a,9,broad in scope or content; 'encyclopedic knowledge',
81093,00494005,a,9,having broad range or effect; 'had extensive press coverage'; 'far-reaching changes in the social structure'; 'sweeping reforms',
81094,00494215,a,9,having broad power and range and scope; 'taking the large view'; 'a large effect'; 'a large sympathy',
81095,00494368,a,9,providing for many things at once; 'an omnibus law',
81096,00494476,a,9,full in all respects; 'a plenary session of the legislature'; 'a diplomat with plenary powers',
81097,00494624,a,9,existing in both space and time; having both spatial extension and temporal duration,
81098,00494786,a,9,including more than a specified category; 'a super experiment',
81099,00494900,a,9,covering or applying simultaneously to a number of similar items or elements or groups; 'an umbrella organization'; 'umbrella insurance coverage',
81100,00495100,a,9,not comprehensive,
81101,00495216,a,9,including only a part,
81102,00495291,a,9,serenely self-possessed and free from agitation especially in times of stress; 'the performer seemed completely composed as she stepped onto the stage'; 'I felt calm and more composed than I had in a long time',
81103,00495682,a,9,not agitated; without losing self-possession; 'spoke in a calm voice'; 'remained calm throughout the uproar',
81104,00495854,a,9,"not easily perturbed or excited or upset; marked by extreme calm and composure; 'hitherto imperturbable, he now showed signs of alarm'; 'an imperturbable self-possession'; 'unflappable in a crisis'",
81508,00567693,a,9,strictly controlled,
81107,00496822,a,9,free from emotional agitation or nervous tension; 'the waiters were unflurried and good natured'; 'with contented mind and unruffled spirit'- Anthony Trollope,
81108,00497077,a,9,having your composure disturbed; 'looked about with a wandering and discomposed air',
81109,00497363,a,9,feeling or caused to feel uneasy and self-conscious; 'felt abashed at the extravagant praise'; 'chagrined at the poor sales of his book'; 'was embarrassed by her child's tantrums',
81110,00497622,a,9,having a red face from embarrassment or shame or agitation or emotional upset; 'the blushing boy was brought before the Principal'; 'her blushful beau'; 'was red-faced with anger',
81111,00497882,a,9,caused to show discomposure; 'refused to be fazed by the objections',
81112,00498023,a,9,"having self-possession upset; thrown into confusion; 'the hecklers pelted the discombobulated speaker with anything that came to hand'; 'looked at each other dumbly, quite disconcerted'- G.B.Shaw",
81113,00498295,a,9,thrown into a state of agitated confusion; (`rattled' is an informal term),
81114,00498469,a,9,emotionally upset; 'the incident left him unstrung and incapable of rational effort',
81115,00498608,a,9,readily comprehended or understood; 'an idea comprehensible to the average mind',
81116,00498892,a,9,capable of being read with comprehension; 'readily accessible to the nonprofessional reader'; 'the tales seem more approachable than his more difficult novels',
81117,00499123,a,9,capable of being apprehended or understood,
81118,00499283,a,9,capable of being known,
81119,00499386,a,9,difficult to understand; 'the most incomprehensible thing about the universe is that it is comprehensible'- A. Einstein,
81120,00499767,a,9,marked by difficulty of style or expression; 'much that was dark is now quite clear to me'; 'those who do not appreciate Kafka's work say his style is obscure',
81121,00499987,a,9,not clear to the understanding; 'I didn't grasp the meaning of that enigmatic comment until much later'; 'prophetic texts so enigmatic that their meaning has been disputed for centuries',
81122,00500254,a,9,impossible to understand; 'impenetrable jargon',
81123,00500360,a,9,impossible to determine the meaning of; 'an indecipherable message',
81124,00500488,a,9,not caught with the senses or the mind; 'words lost in the din',
81125,00500611,a,9,not clearly understood or expressed,
81126,00500716,a,9,curving inward,
81127,00500982,a,9,of the cup-shaped socket that receives the head of the thigh bone,
81128,00501128,a,9,concave on both sides,
81129,00501223,a,9,shaped like a pouch,
81130,00501323,a,9,concave on one side and convex on the other with the concavity being greater than the convexity,
81131,00501479,a,9,shaped like (or supporting) a cupule,
81132,00501593,a,9,having the central portion lower than the margin; 'a depressed pustule',
81133,00501731,a,9,shaped like a dish,
81134,00501816,a,9,flat on one side and concave on the other,
81135,00501916,a,9,resembling an alcove,
81136,00501991,a,9,depressed like a naval,
81137,00502070,a,9,curving or bulging outward,
81138,00502267,a,9,convex on both sides; lentil-shaped,
81139,00502399,a,9,(of a ship) so weakened as to sag at each end,
81140,00502513,a,9,convex on one side and concave on the other with the convexity being greater than the concavity,
81141,00502670,a,9,(used of the moon) more than half full,
81142,00502772,a,9,flat on one side and convex on the other,
81143,00502870,a,9,gathered together or made less diffuse; 'their concentrated efforts'; 'his concentrated attention'; 'concentrated study'; 'a narrow thread of concentrated ore',
81144,00503286,a,9,brought together into a group or crowd; 'the accumulated letters in my office',
81145,00503478,a,9,occurring close together in bunches or clusters,
81146,00503600,a,9,concentrated on or clustered around a central point or purpose,
81147,00503751,a,9,closely crowded together; 'a compact shopping center'; 'a dense population'; 'thick crowds',
81148,00503912,a,9,directed with intense concentration; 'a fixed stare'; 'an intent gaze',
81149,00504043,a,9,thrown together in a pile; 'a desk heaped with books'; 'heaped-up ears of corn'; 'ungraded papers piled high',
81150,00504225,a,9,having accumulated or become more intense; 'the deepened gloom',
81151,00504354,a,9,amassed and put away for future use; 'had some money saved up'; 'many stored-up grievances',
81153,00504813,a,9,planted or growing close together; 'thickset trees',
81154,00504919,a,9,spread out or scattered about or divided up,
81155,00505416,a,9,given out in portions,
81156,00505546,a,9,sown by casting over a wide area especially by hand; 'the broadcast sowing of wheat',
81157,00505686,a,9,(meteorology) discontinuous; 'broken clouds'; 'broken sunshine',
81158,00505802,a,9,spread out; not concentrated in one place; 'a large diffuse organization',
81159,00505929,a,9,(of light rays) subjected to scattering by reflection from a rough surface or transmission through a translucent material; 'diffused light',
81160,00506123,a,9,distributed or weighted out in carefully determined portions; 'medicines dispensed to the sick',
81161,00506274,a,9,distributed or spread over a considerable extent; 'has ties with many widely dispersed friends'; 'eleven million Jews are spread throughout Europe',
81162,00506486,a,9,distributed in portions (often equal) on the basis of a plan or purpose,
81163,00506646,a,9,intended for wide distribution; 'an encyclical letter',
81164,00506757,a,9,especially spread in a fan shape; 'the peacock's fanned tail'; 'the spread-out cards',
81165,00506911,a,9,distributed over a considerable extent; 'far-flung trading operations'; 'the West's far-flung mountain ranges'; 'widespread nuclear fallout',
81166,00507120,a,9,having low concentration; 'low-density urban areas',
81167,00507232,a,9,distributed equitably in limited individual portions; 'got along as best we could on rationed meat and sugar',
81168,00507396,a,9,occurring or distributed over widely spaced and irregular intervals in time or space; 'scattered showers'; 'scattered villages',
81169,00507579,a,9,being distributed here and there without order; 'scattered leaves littered the sidewalk'; 'don't forget to pick up the clothes lying strewn all over the floor',
81170,00507803,a,9,spaced apart,
81171,00507880,a,9,not dense; 'a thin beard'; 'trees were sparse',
81172,00507986,a,9,(of a fluid) having been propelled about in flying drops or masses; 'with clothes wet by splashed water',
81173,00508145,a,9,growing or spreading sparsely or irregularly; 'straggly ivy',
81174,00508260,a,9,being spread through with or as with color or light or liquid,
81175,00508376,a,9,not concentrated at one point or upon one objective; 'diversity...in our huge unfocused country'- Owen Wister,
81176,00508554,a,9,having a common center; 'concentric rings',
81177,00508700,a,9,having a common axis,
81178,00508783,a,9,not having a common center; not concentric; 'eccentric circles',
81179,00508954,a,9,not centered or having no center,
81180,00509041,a,9,situated away from the center or axis,
