nd distinguished pupil of Plato, from Stagira, in Macedonia, teacher of Alexander the Great, and founder of the Peripatetic philosophy",
147973,L7457743,n,1,"An ancient town in Latium distinguished for the temple of Fortune, not far from the sea-coast, now Porto d'Anzio, the birthplace of Nero",2775
147932,L7360575,n,1,the inhabitants of Apollonis in Lydia,1696
147954,L7418837,n,1,a river in Umbria near Ariminum,2775
147942,L7394531,n,1,a distinguished Greek poet and grammarian of Cyrene,2748
147958,L7425646,n,1,a town in Sicily,2775
147983,L7482132,n,1,"a town of Aeolis, in Asia Minor",2775
147970,L7447708,n,1,"an island in the Aegean Sea, south-west of the promontory Malea, celebrated for the worship of Venus, now Cerigo",2775
147939,L7385634,n,1,a Greek philosopher,1545
147968,L7442150,n,1,"the city of Gomorrha, in Palestine",2775
147985,L7486131,n,1,"a promontory on the southern coast of Sicily, with a town of the same name, now Capo Boeo",2775
147979,L7472037,n,1,"a river in Venetia, now the Livenza",2775
147984,L7485900,n,1,"a Roman epigrammatic and satiric poet in the time of Domitian, Nerva, and Trajan",2737
147940,L7387900,n,1,"the inhabitants of Olcinium, a seaport in Illyricum, the modern Dulcigno",1696
147967,L7441263,n,1,"a city in Euboea, formerly Histioea",2775
147936,L7367855,n,1,a town of the Marsi,2775
147961,L7430091,n,1,"a town of Dalmatia, upon the Gulf of Cattaro",2775
147930,L7359644,n,1,"a river of Spain, which falls into the Mediterranean Sea",2775
147963,L7438937,n,1,"a river in Phrygia and Bitnynia, which empties into the Propontis, now the Sacari or Sacaria",2775
147951,L7411410,n,1,"a town of Latium, in the neighborhood of Tibur",2775
147927,L7353622,n,1,three rocky islands near Pylos,2775
147957,L7421697,n,1,"a town of Campania, now Castel di Sessola",2775
147956,L7420689,n,1,the name of three Italian towns,2775
147994,L7505491,n,1,"a beautiful youth, loved by Bacchus",
148001,L7522266,n,1,"of or belonging to the isle of Malta, Melitan, Maltese",
148002,L7522640,n,1,a Scythian name of the Palus Maeotis,
148004,L7533121,n,1,a king of Mauritania at the time of the second Punic war,
148005,L7535370,n,1,"king of the Dryopes, and father of Hylas",
148007,L7540231,n,1,a country in Arabia Petraea,
148008,L7541480,n,1,an avenger of slighted love,
148009,L7543211,n,1,"a powerful tribe of the interior of Africa, beyond the Goetulians, in the modern Fezzan",
148010,L7543516,n,1,"the son of Aloeus and brother of Otus, one of the stormers of heaven, killed by Apollo",
148011,L7545896,n,1,a community of robbers in Hispania Tarraconensis,
148016,L7557462,n,1,"a nymph, a daughter of Venus",
148017,L7557964,n,1,"a fabulous Thracian singer and priest of Ceres, who brought the Eleusinian mysteries and the culture of the vine to Attica",
148018,L7562277,n,1,one of the Muses,
148019,L7562700,n,1,an epigrammatic poet in the time of Augustus,
148021,L7563978,n,1,"a son of Neptune and Amymone, king of Euboea, and father of Palamedes",
148022,L7564506,n,1,"the country of the Jews, Judea, Palestine",
148024,L7568345,n,1,the brother of Romulus,
148025,L7570616,n,1,the festival of the Epiphany,
148027,L7576768,n,1,"a people in Pannonia, on the Save",
148033,L7602002,n,1,"an Indian people near the Ganges, in the modern Bengal",
148034,L7603431,n,1,the father of Ulysses,
148036,L7605129,n,1,daughter of king Sithon of Thrace,
148037,L7613777,n,1,"the famous capital of Laconia, more usually called Lacedaemon, near the modern Mistra",
148038,L7616410,n,1,a Ligurian tribe,
148039,L7618254,n,1,"a daughter of Priam, whom Pyrrhus, the son of Achilles, sacrificed at his father's grave",
148040,L7619961,n,1,one of the Pleiades,
148041,L7620745,n,1,title of a play of Menander,
148043,L7621292,n,1,the battle with the Titans,
148044,L7622551,n,1,"double trochee, choree, metrical foot of two chorees, trochees",
148045,L7623052,n,1,the name of the Nile as it flows through Ethiopia,
148046,L7623531,n,1,"the wife of Olenus, who, on account of her pride, was turned into stone",
147995,L7506038,n,1,"a species of Delphinium, or larkspur, of the family Ranunculaceae, with short-spurred blue flowers, also known as licebane or stavesacre",2172
148020,L7562990,n,1,"one of the Sporades in the Aegean Sea, the birthplace of the poet Simonides",2775
147991,L7495926,n,1,"a part of Boeotia, in which are the Aonian mountains, Mount Helicon, and the fountain Aganippe",2775
147996,L7507476,n,1,"a very ancient town on the south coast of Euboea, famous for its marble, now Karysto or Castel Rosso",2775
147989,L7495582,n,1,"Chief town of the island Euboea, opposite to Aulis, connected by a bridge with the main land, now Egribo or Negroponte",2775
147992,L7498976,n,1,"a small island in the Nile, south of Elephantine, with a city of the same name, now Jeziret Anas-el-Wojond",2775
147990,L7495746,n,1,"a small rocky island in the Aegean Sea, reckoned among the Cyclades, now Serfo",2775
147998,L7509354,n,1,"the name of two places, one within and the other without Athens",2775
148015,L7555910,n,1,"a fortified town in Hispania Tarraconensis, in the province of the Carpetani",2775
148006,L7536147,n,1,"a town in Thrace, on the Hebrus, now Ipsala",2775
147993,L7502704,n,1,a city of the Marsi,2775
148014,L7552360,n,1,"an island in the Ionic Sea, opposite Acarnania, with a famous temple of Apollo",2775
148000,L7521690,n,1,the name of several islands,2775
148028,L7577067,n,1,"the city of Miletus, in Caria, the birthplace of Thales",2775
148012,L7546990,n,1,"a city of Italy, in the territory of the Veneti, now Oderzo",2775
148030,L7585564,n,1,a town of Arcadia,2775
148035,L7604579,n,1,"an island in the Tyrrhenian Sea, near Elba, another name for Planasia",2775
148031,L7587881,n,1,"a city in Aetolia, now Castle of Irene",2775
148003,L7528979,n,1,a small and very ancient town in Latium,2775
148026,L7575505,n,1,"a very ancient town of Latium, now ruins near Piperno",2775
147988,L7490443,n,1,"a river in the Infernal Regions, usually called Phlegethon",2775
148023,L7565732,n,1,"a town of Thrace, on the Propontis",2775
148029,L7580669,n,1,a people of the Peloponnesus,1696
148013,L7548900,n,1,the Roman comic playwright Plautus,2737
147997,L7507510,n,1,a person who holds disputed property in deposit,1815
147999,L7517840,n,1,the Tarpeian Rock,2775
148047,L7624626,n,1,"a satyr who challenged Apollo to a trial of skill on the flute, and whom the latter vanquished and flayed alive",
148048,L7625410,n,1,"Julius, of or belonging to Julius, Julian, an appellation given to cities or colonies",
148051,L7632890,n,1,a village of Thessaly,
148052,L7635185,n,1,"the Lacedoemonian youths who allowed themselves to be whipped at the altar of Artemis Orthia, in order to gain the honor of firmness",
148053,L7635707,n,1,"the priestesses of Bacchus, Bacchantes",
148056,L7641815,n,1,"the name of an Egyptian month, answering nearly to the Roman January and a part of February",
148058,L7646019,n,1,"a seaport in Ionia, near Phocaea",
148063,L7652310,n,1,For Leucadia,
148067,L7664817,n,1,a celebrated misanthrope of Athens,
148069,L7671225,n,1,the name of a notorious woman of rank,
148070,L7681010,n,1,"Antiochia, of or belonging to Antiochia",
148076,L7690370,n,1,son of Jason and Medea,
148079,L7696991,n,1,"the wife of the Ethiopian king Merops, and mother of Phaethon by Sol",
148080,L7697176,n,1,"a promontory in Thrace, with a fortification",
148081,L7699080,n,1,"daughter of Oceanus and Tethys, mother of Leucothoë",
148083,L7700605,n,1,"a giant, struck with lightning by Jupiter and buried under Mount Aetna",
148085,L7705671,n,1,"the daughter of Alcinous, king of the Phaeacians",
148088,L7712934,n,1,a Grecian runner who made no progress,
148090,L7715395,n,1,a people in Lower Italy,
148091,L7720194,n,1,"a son of Tydeus, king of Aetolia, and Deipyle, the successor of Adrastus in Argos",
148093,L7729606,n,1,a people in Galatia,
148095,L7735120,n,1,the Danube,
148098,L7741412,n,1,"a son of Deïoneus or of Pandion, a grandson of Aeolus",
148099,L7743430,n,1,"a high council of the Cretans, answering to the Lacedaemonian Ephori",
148100,L7744020,n,1,the name of Jupiter among the Gauls,
148101,L7744135,n,1,a Greek female painter,
148102,L7744150,n,1,a queen of Illyria,
148103,L7745041,n,1,a common royal epithet among Hellenistic monarchs,
148106,L7751073,n,1,"a king of Lydia, famous for the possession of a ring with which he could render himself invisible",
148078,L7695515,n,1,a medicine made of five ingredients,2232
148054,L7639705,n,1,"a town in Sicily, on the road from Syracuse to Agrigentum",2775
148064,L7654154,n,1,a Roman nomen,2792
148071,L7682156,n,1,a mountain range,2775
148061,L7649032,n,1,"a maritime town in Mysia, now Antandro",2775
148055,L7640061,n,1,a town in Lydia,2775
148060,L7648900,n,1,"a town in Macedonia, later called Irenopolis, north of the river Aliacmon, now Verria",2775
148089,L7713272,n,1,a cognomen in the Sempronian gens,2792
148086,L7710278,n,1,a small province in Macedonia,2775
148066,L7660793,n,1,the city of Claudiopolis in Bithynia,2775
148082,L7700284,n,1,"a town on the coast of Ionia, upon a peninsula of the Bay of Smyrna, now Kelisman or Vourla",2775
148087,L7710791,n,1,"a place in Gallia Narbonensis, now Gourdan",2775
148049,L7626720,n,1,the epithet of a god,1666
148062,L7651472,n,1,"a Roman colony in Gallia Cisalpina, in the district of the Salassi, on the Duria, now Ivrea",2775
148084,L7704605,n,1,"a small town of Etruria, near Alsium, now Maccarese",2775
148074,L7684346,n,1,"a city of Umbria, between Perusia and Spoletium, now Foligno",2775
148072,L7682801,n,1,"the philosopher Epicurus, born in Gargettus, the Gargettian",1545
148065,L7655001,n,1,an important and very ancient city of Crete,2775
148092,L7721847,n,1,"a city of Boeotia, north of lake Copais, near the modern Strobiki",2775
148104,L7748108,n,1,"a mountain in Sicily, near the river Himera",2775
148097,L7738968,n,1,"a mountain or promontory in Apulia, near the foot of Mount Garganus, now Matinata",2775
148105,L7749342,n,1,"a city in Istria, now Medolino",2775
148075,L7688675,n,1,"a lofty mountain in Thessaly, on the borders of Macedonia and Epirus, the seat of the Muses, now Mezzara",2775
148094,L7731711,n,1,a Roman cognomen of the Claudii,2792
148068,L7670003,n,1,"the city of Sodom in Palestine, Tert",2775
148050,L7631360,n,1,"an island in the Aegean Sea, one of the Sporades",2775
148077,L7690670,n,1,"a very ancient maritime town of Spain, now El Rocadillo",2775
148057,L7644820,n,1,"a town of Latium, now Toretta",2775
148096,L7735582,n,1,"a very old town in Africa Propria, north of Carthage, where the younger Cato killed himself, now Boushater",2775
148108,L7754608,n,1,a part of the shore of the German Ocean,
148109,L7755855,n,1,the father of Alphesiboea,
148111,L7758314,n,1,a king of the Arverni,
148117,L7770885,n,1,the name of one of Plato's dialogues,
148118,L7773874,n,1,"daughter of Oceanus and Tethys, mother of Hyas",
148119,L7776666,n,1,one of the first three Dioscuri,
148125,L7785533,n,1,"a promontory on the north-eastern coast of Sicily, the modern Capo di Faro",
148130,L7804854,n,1,"a people in Cili, cia, upon Mount Amanus",
148132,L7809485,n,1,the name of a branch of the Nile in Ethiopia,
148134,L7815854,n,1,a celebrated Grecian idyllic poet,
148135,L7818047,n,1,a people who anciently dwelt in Lucania,
148137,L7821507,n,1,"ancestor of a distinguished family in Carthage to which Hamilcar and Hannibal belonged, ",
148138,L7824025,n,1,"a grandson of Cadmus, who, having seen Diana bathing naked with her nymphs, was torn to pieces by his own dogs",
148139,L7828046,n,1,"son of the Theban king Creon, who sacrificed kimself for his country",
148140,L7829646,n,1,"a fabulous monster near Thebes that used to propose riddles to travellers, and tear in pieces those who could not solve them",
148141,L7830200,n,1,a comedy of Coecilius Statius,
148142,L7831807,n,1,"a priest in Spain in the time of Constantine the Great, who made a metrical version of the four Gospels",
148143,L7837862,n,1,a Samnite people,
148146,L7845024,n,1,the name of several celebrated Greeks,
148148,L7850037,n,1,"a sophist of Telmessus, killed by falling from his horse",
148149,L7851305,n,1,a castle in Thessaly,
148150,L7852700,n,1,"the Grecians, Greeks",
148152,L7864539,n,1,a Thracian people on the Hebrus,
148154,L7866012,n,1,"a giant-monster, the other name of Briareus",
148155,L7866988,n,1,the Greek name of Poestum,
148156,L7874109,n,1,"the Vandals, a people in the northern part of Germany in the time of Tacitus",
148157,L7874412,n,1,"preserver, fosterer",
148159,L7875835,n,1,a Spartan who emigrated to Italy and there founded Tarentum,
148160,L7878028,n,1,"a small stream, almost entirely dry in summer, on the south side of Rome, which, crossing the Via Appia and Via Ostiensis, flows into the Tiber",
148161,L7881766,n,1,"a physician, poet, and grammarian of Colophon",
148162,L7885638,n,1,a tribe of Gauls in Hispania Tarraconensis,
148163,L7894424,n,1,a pointed rock or slone,
148164,L7898495,n,1,"a daughter of king Creon, of Corinth, married to Jason, and on that account put to death by Medea by means of a charmed offering",
148123,L7779078,n,1,"a famous Greek colony in Paphlagonia, on the Euxine, the birthplace of Diogenes the Cynic and residence of Mithridates, now Sinoub",2775
148145,L7844344,n,1,a mountain of Phoenicia,2775
148133,L7814508,n,1,"a river of Bruttia, now the Bruciano",2775
148147,L7847059,n,1,"a town in Hispania Tarraconensis, in the region of the Ilergetes, north of Osca, now Loarre",2775
148107,L7754502,n,1,"the chief city of Sardinia, now Cagliari",2775
148144,L7843787,n,1,the inhabitants of a city of Sicily,2775
148165,L7899001,n,1,"a Boeotian town on the Cephisus, where Philip of Macedon conquered the Greeks",2775
148113,L7761876,n,1,"a river flowing through a very fruitful region in Libya, between the two Syrtes, now Cinifo or Wady Khahan",2775
148153,L7864692,n,1,"a town in Phthiotis, with a temple to Demeter",2775
148151,L7860933,n,1,the goddess of war,1666
148128,L7795646,n,1,"aand a small town in Aeolis, with a temple of Apollo",2775
148124,L7783700,n,1,a people of Asiatic Sarmatia,1696
148126,L7789354,n,1,"an ancient people of Liguria, between the Po and the Ticinus",1696
148120,L7777033,n,1,a Roman poet of the ante-classical period,2737
148115,L7770390,n,1,a name of the island of Lesbos,2775
148129,L7799208,n,1,"a lake and city of Lower Egypt, not far from Alexandria, Edict",2775
148116,L7770519,n,1,"a people of Africa, to the south of Egypt, the Nubians",1696
148114,L7764684,n,1,a-aa Roman cognomen,2792
148112,L7760969,n,1,"a city of Elis, near which the Olympic games were celebrated",2775
148136,L7819707,n,1,"an island in the Tuscan Sea, now Ponza",2775
148127,L7795228,n,1,a city in Ethiopia on the Arabian gulf,2775
148110,L7756244,n,1,"a town in Pisidia, now Karabunar Kini",2775
148121,L7777629,n,1,"the Teutons, a people of Germany",1696
148131,L7807972,n,1,"a town of the Volsci, now Colle Ferro or Colle Sacco, near Segni",2775
148168,L7906005,n,1,a tyrant at Corinth,
148170,L7909802,n,1,a wild tribe of Ethiopia,
148173,L7914123,n,1,"a king of Lydia, celebrated for his riches",
148174,L7917083,n,1,"a daughter of Bisaltes, loved by Poseidon",
148175,L7918956,n,1,the father of Pericles,
148178,L7924771,n,1,an Ethiopian,
148183,L7934570,n,1,"daughter of Perses, or Persoeus, and Asteria, sister of Latona, the presider over enchantments, conjurations, etc.",
148185,L7943889,n,1,"a daughter of Oceanus and Tethys, wife of Atlas and mother of the Pleiades",
148186,L7945035,n,1,son of Lycaon,
148187,L7949225,n,1,the first seven books of the Old Testament,
148191,L7962774,n,1,"daughter of Ptolemy Physco, and mother of Antiochus and Seleucus of Syria",
148196,L7975256,n,1,"a king of Thrace, the father of Orpheus, Ov Ib",
148200,L7982371,n,1,"a gate at Athens that closed the Ceramicus, and through which one passed in going to the Academy",
148201,L7982810,n,1,the name of a dog,
148202,L7993378,n,1,the Hebrews,
148203,L7994385,n,1,"a fountain in Spain, near Bilbilis",
148204,L7997325,n,1,a freedman of the Roman knight Corellius,
148206,L7998054,n,1,a king of the Getae,
148213,L8023875,n,1,Ossean,
148214,L8026640,n,1,a Greek painter,
148215,L8027850,n,1,"the constellation Orion, whose rising and setting are attended by storms",
148218,L8038644,n,1,"an Areopagite, a member of the court of the Areopagus at Athens",
148219,L8039705,n,1,the lower part of the Danube,
148220,L8039952,n,1,one of the Centaurs,
148222,L8052328,n,1,"Sallust, a Roman name",
148223,L8054693,n,1,"a tributary of the Sagaris of Phrygia and Bithynia, whose water, according to the fable, made those who drank it mad, now Kadsha Su or Gökssu",
148221,L8045050,n,1,"a celebrated Greek philosopher of Miletus, one of the seven wise men, and founder of the Ionic sect",1545
148190,L7957468,n,1,"the center or capital city of the ancient Carthaginian civilization, on the eastern side of the Lake of Tunis in what is now the Tunis",2775
148184,L7937842,n,1,"a person who listens carefully, hearkens to",2516
148211,L8013905,n,1,the putting of one letter for another,1970
148212,L8016810,n,1,"soft, splendid, transparent garments",2413
148192,L7967874,n,1,"a province in Middle Greece, between Locri and Acarnania, south of Thessaly",2775
148216,L8034611,n,1,"a town in Latium, now Alatri",2775
148179,L7926177,n,1,"a small river of Istria, which became the boundary between Italy and Illyricum under Augustus",2775
148193,L7972060,n,1,"the most distinguished province of Greece, situated in Hellas proper, with Athens as capital",2775
148199,L7980822,n,1,"a town in the Libyan province Pentapolis, afterwards called Ptolemais, now Tolometa or Dolmeita",2775
148180,L7927903,n,1,a small island in the Propontis,2775
148217,L8037575,n,1,"a town in Thrace, once the royal residence",2775
148194,L7972170,n,1,"an island in the Aegean Sea, not far from Rhodes, distinguished for its honey, now Kalimno",2775
148171,L7913186,n,1,"a fountain on Parnassus, sacred to Apollo and the Muses",1666
148189,L7953050,n,1,"a seaport town in Etruria, now Civita Vecchia",2775
148197,L7979778,n,1,an island near the coast of Africa,2775
148167,L7901611,n,1,"a Peripatetic philosopher, a pupil of Critolaus",1545
148207,L8003553,n,1,a city on the Hellespont in the Thracian Chersonesus,2775
148205,L7997637,n,1,"a small island in the Bay of Cadiz, where the giant Geryon dwelt",2775
148177,L7923983,n,1,"a small town in Apulia, now Forenza",2775
148172,L7913812,n,1,"a city of Crete, east of Gnossus, a colony of the Lacedaemonians",2775
148210,L8013406,n,1,"an island near the coast of Gaul, opposite the mouth of the Rhone",2775
148188,L7950864,n,1,"a city of Latium, on the border of Campania, at the mouth of the Liris, in the neighborhood of which Marius concealed himself from Sylla in a marsh",2775
148209,L8012508,n,1,"a city in Pannonia, now Esgek",2775
148176,L7923449,n,1,"islands near Scotland, now the Orkneys",2775
148169,L7908070,n,1,"a river in Lydia which was said to bring down golden sands, the modern Sarabat",2775
148198,L7980300,n,1,"a country of Macedonia, afterwards called Pallene, where the giants are fabled to have been struck with lightning when fighting with the gods",1666
148208,L8009259,n,1,a town of Euboea,2775
148166,L7900524,n,1,"a river of Gallia Belgica, now the Scheldt",2775
148195,L7974309,n,1,"an epithet of Apollo, a town in the Troad, the Sminthean, Lact",2775
148182,L7933500,n,1,a disease of old women,2232
148224,L8055645,n,1,"son of Hellen, Vitr",
148225,L8060090,n,1,a Roman name,
148226,L8065233,n,1,Prop,
148228,L8071940,n,1,"a village of Upper Italy, now Taneto",
148229,L8073724,n,1,"the son of Jupiter Ammon and Io, and builder of Memphis in Egypt",
148232,L8077753,n,1,"a nation of Ichthyophagi, on the borders of India",
148233,L8078297,n,1,the name of two statues by Phidias and by Euphranor,
148235,L8078808,n,1,a Grecian orator,
148236,L8080235,n,1,"a famous physician of Alexandria in the time of Ptolemy Lagus, the founder of a medical school",
148237,L8080352,n,1,"a country on the sea-coast of Asia Minor, between Lycia and Cilicia, Mela",
148239,L8087807,n,1,"son of Aesculapius, a celebrated physician",
148240,L8094309,n,1,the month of September,
148241,L8095123,n,1,"a queen of Lydia, whom Hercules served",
148242,L8105638,n,1,"a king of the Chersonesus Taurica, under whom Iphigenia was priestess of the Tauric Diana",
148243,L8108129,n,1,"a daughter of Cadmus and Harmonia, wife of Echion, king of Thebes, who tore in pieces with her own hands her son Pentheus, because he cast contempt upon the orgies of Bacchus",
148248,L8121441,n,1,a villa of Valentinian in Lower Pannonia,
148249,L8122637,n,1,a German tribe on the Baltic Sea,
148253,L8131480,n,1,an Athenian orator,
148255,L8140225,n,1,"a severe critic in the time of Ptolemaeus Philadelphus, a censurer of Homer",
148256,L8141135,n,1,Just,
148257,L8141787,n,1,"the name of a giant, father of Otus and Ephialtes",
148261,L8147617,n,1,"a fabulous king over a part of Apulia, father of Turnus, and father-in-law of Diomedes",
148264,L8159658,n,1,the nurse of Aeneas,
148266,L8163321,n,1,an old name of the Peloponnesus,
148270,L8177719,n,1,"a famous Athenian, murderer of Hipparchus",
148271,L8178508,n,1,the name of a Greek hero who fought at Troy,
148272,L8180314,n,1,cinerary urn,
148273,L8182600,n,1,"the brother of Lysippus, who first made statues of gypsum",
148274,L8183890,n,1,a nymph changed into a reed,
148275,L8189541,n,1,the son of Hector,
148276,L8200191,n,1,the name of one of Actaeon's hounds,
148277,L8205557,n,1,"son of Carmenta, born at Pallantium, in Arcadia",
148282,L8219363,n,1,"king of the Comani, taken prisoner by Augustus at Actium",
148283,L8219646,n,1,"the Muses, daughters of Mnemosyne",
148279,L8209366,n,1,a celebrated Greek tragic poet,2748
148259,L8143809,n,1,"a lookoutship, a spy-ship, a vessel sent out to reconnoitre",1852
148268,L8166420,n,1,a corn-measure,1788
148280,L8211694,n,1,an Athenian general in the time of the Peloponnesian war,2798
148246,L8114071,n,1,"or a small town in Phocis, now Dhistomo",2775
148262,L8154078,n,1,"a river of Illyria which falls into the Ionian Sea, now Vovussa or Lao",2775
148252,L8130190,n,1,an island of Dalmatia,2775
148238,L8084153,n,1,"a Roman cognomen in the gens Caecilia, Domitia, Egnatia",2792
148269,L8169581,n,1,"a very strongly fortified town of the Peligni, north of Sulmo, now Pelino",2775
148247,L8115444,n,1,"Flavius, a Roman historian in the middle of the fourth century of the Christian era, contemporary with the emperor Julian, and author of a Breviarium Historiae Romanae",2798
148278,L8209210,n,1,"the city of Locri, founded in Lower Italy by the Ozolian Locrians",2775
148284,L8220338,n,1,"a town of the Delta in Egypt, now Salhadschar",2775
148260,L8146201,n,1,"a mountain in Arcadia, at the foot of which lay a city of the same name, and in which the Styx had its source, Vitr",2775
148258,L8143600,n,1,"a city of Lusitania, the modern Lisbon",2775
148244,L8108292,n,1,a town in the south of Phocis,2775
148263,L8155929,n,1,"the celebrated temple of Athene on the Acropolis of Athens, the Parthenon",1666
148234,L8078590,n,1,a freedman of the emperor Nero,2798
148230,L8073816,n,1,"a city of Chalcidice, on the Aegean Sea",2775
148265,L8160479,n,1,a river of Asia,2775
148250,L8127567,n,1,"a city of Umbria, now Spoleto",2775
148251,L8129334,n,1,a town on the Cimmerian Bosporus,2775
148231,L8074415,n,1,"a German tribe, who held an island in the Rhine",2775
148254,L8136873,n,1,"a city in Troas, with a temple of Apollo",2775
148267,L8166098,n,1,"a town in the territory of the Bruttii, now Fagnano",2775
148281,L8218253,n,1,"a town in the territory of the Bruttii, now Monteleone",2775
148227,L8070070,n,1,a weapon of barbarous nations,2478
148286,L8222591,n,1,"a hymn to Apollo, Paeanem aut Nomionem citarimus",
148287,L8227724,n,1,a king of Mauritania,
148291,L8235320,n,1,"a king of Mysia, father of Thespius",
148294,L8241709,n,1,a Scythian tribe in Asiatic Sarmatia,
148295,L8241834,n,1,"the name of a plant, also called Osireostaphe or cynocephalea",
148303,L8256303,n,1,"a king in Assyria, afterwards in Cyprus",
148305,L8260130,n,1,the name of a little dog,
148308,L8272307,n,1,"a descendant of Hercules, to whom is attributed the invention of weights and measures",
148310,L8274530,n,1,a freedman of Caesar,
148311,L8274876,n,1,"a village in Boeotia, on the Asopus, in whose neighborhood were pastures which made animals mad",
148312,L8276587,n,1,"a surname of Apollonius of Rhodes, a Greek rhetorician, one of Cicero's teachers, who came to Rome as an ambassador of the Rhodians",
148313,L8278150,n,1,"the Dacians, a famous warlike people, akin to the Thracians",
148314,L8281500,n,1,"a Greek astrologer, a disciple of Plato",
148315,L8281717,n,1,"a son of Hercules and Omphale, father of Tyrrhenus and Lydus, and ancestor of the Lydian kings",
148317,L8281913,n,1,a descendant of Aegeus,
148318,L8285481,n,1,a rhetorician of Rhodes,
