00449197,r,9,"without assistance: ""I built this house single-handedly""",
99212,00457069,r,9,"with spasms: ""the mouth was slightly open, and jerked violently and spasmodically at one corner""",2234
99171,00451897,r,9,"in a slim or slender manner: ""a slenderly built woman""; ""slightly built""",2097
99197,00455458,r,9,"all at the same time: ""Let's say ""Yes!"" all at once""",
99196,00455379,r,9,in a sorrowful manner,
99214,00457330,r,9,"by spectrographic means: ""the speech spectrum was displayed spectrographically""",2102
99198,00455565,r,9,in a sottish manner,
99199,00455652,r,9,"to, toward, or in the southeast",
99200,00455732,r,9,"to, toward, in in the southwest",
99201,00455812,r,9,"to, toward, or in the south-south-east",
99202,00455911,r,9,"to, toward, or in the south-southwest",
99205,00456328,r,9,"in a sour manner: ""he complained sourly that the new rules only benefitted the managers""",
99206,00456469,r,9,"from the south: ""a wind blew southerly""",
99207,00456546,r,9,"toward the south: ""the ship turned southerly""",
99210,00456861,r,9,"in a sparse manner: ""sparsely inhabited""",
99208,00456629,r,9,toward the south,
99211,00456956,r,9,"in spurts and fits: ""I began to write intermittently and spasmodically""",
99195,00455241,r,9,"to a great degree: ""I missed him sorely""; ""we were sorely taxed to keep up with them""",2234
99213,00457253,r,9,in a specious manner,
99215,00457474,r,9,"without speaking: ""he stood up soundlessly and speechlessly and glided across the hallway and through a door""",
99216,00457624,r,9,"with spirals: ""spirally fluted handles""",
99194,00455130,r,9,in a sordid or squalid way,2232
100856,N0001270,n,10,,
99165,00451174,r,9,"at excessive speeds: ""yachts ran slap-bang into the convoy at 15 knots an hour""",
99221,00458200,r,9,"in a trim manner: ""he was trimly attired""",
99222,00458294,r,9,"in a false and spurious manner: ""the lawyer argued spuriously that his client knew nothing of the burglary""",
99223,00458458,r,9,"in a squeamish manner: """"I would rather not touch,"" he said squeamishly""",
99224,00458588,r,9,"in a stagy and theatrical manner: """"I cannot show my face at her house,"" he declared theatrically""",
99225,00458773,r,9,"with a stammer: """"Will you marry me?"" he asked stammeringly""",
99226,00458925,r,9,"in a standoffish manner: ""standoffishly, he declined the invitation to the office party""",
99227,00459073,r,9,"with a stare: """"quoi?"" asked Blanchard, staring""",
99228,00459169,r,9,"completely: ""stark mad""; ""mouth stark open""",
99229,00459246,r,9,"in a blunt manner: ""in starkly realistic terms""",
99230,00459347,r,9,"in sharp outline or contrast: ""the black walls rose starkly from the snow""",
99231,00459475,r,9,"in a stark manner: ""He was starkly unable to achieve coherence""",
99241,00460689,r,9,"in a stingy manner: ""their rich uncle treated them rather chintzily""",2234
99233,00459705,r,9,"in a startling manner: ""a startlingly modern voice""",
99235,00459946,r,9,"in a staunch manner: ""he staunchly defended his principles""",2234
99240,00460584,r,9,"in a stilted manner: ""she answered him stiltedly""",2234
99236,00460072,r,9,"in a steep manner: ""the street rose steeply up to the castle""",
99237,00460187,r,9,"in a noisy and stertorous manner: ""he was breathing stertorously""",
99238,00460311,r,9,"in a sticky viscid manner: ""he felt the blood move stickily from his split scalp and trickle down his forehead""",
99239,00460506,r,9,"extremely: ""bored stiff""; ""frightened stiff""",
99243,00461001,r,9,"by stochastic means: ""we estimated the answer stochastically""",2075
99257,00462787,r,9,"in a stocky manner: ""he was stockily built""",2097
99242,00460870,r,9,"in a stirring manner: ""he talked stirringly about his days during the war""",
99245,00461350,r,9,"in a direct course: ""plunged straightway to the rocks below""",
99246,00461450,r,9,"at once: ""straightway the clouds began to scatter""",
99247,00461540,r,9,"near that place: ""he stayed in London or thereabouts for several weeks""",
99248,00461664,r,9,"near that time or date: ""come at noon or thereabouts""",
99250,00461878,r,9,"of or concerning this or that: ""a problem and the solution thereof""",
99249,00461770,r,9,"in the following part of a given matter, as in a document or speech",
99251,00461981,r,9,"on that: ""text and commentary thereon""",
99252,00462073,r,9,"to that: ""with all the appurtenances fitting thereto""",
99253,00462180,r,9,"under that: ""the headings and the items listed thereunder""",
99254,00462301,r,9,"with that or this or it: ""I have learned that whatever state I am, therewith to be content""-Phil.4:11",
99255,00462441,r,9,"immediately after that: ""thereupon the entire class applauded""; ""with that, she left the room""; ""I therewith withdraw my complaints""",
99256,00462635,r,9,"together with all that; besides: ""thy slanders I forgive; and therewithal remit thy other forfeits""-Shakespeare",
99260,00463118,r,9,"with regard to strategy: ""strategically important decisions""",1794
99258,00462885,r,9,"without emotion; in a stoic manner: ""he stoically accepted all sufferiang""",
99259,00463015,r,9,"in a stony manner: ""stonily indifferent to time""",
99263,00463523,r,9,"in a stuffy manner: """"Come in please,"" he said stuffily""",2234
99261,00463238,r,9,"in a strident manner: ""the cheap clock ticked stridently""",
99262,00463352,r,9,"in a stringent manner: ""the laws are stringently enforced""; ""stringently controlled""",
99234,00459814,r,9,"according to statute: ""placed statutorily under the council's supervision""",1802
99264,00463663,r,9,"to a stupendous degree: ""stupendously ignorant people""","1951,2234"
99265,00463776,r,9,"in a sturdy manner: ""feet sturdily apart""",
99266,00463872,r,9,"in a stylish manner: ""she was dressed very stylishly""",
99267,00463981,r,9,"in a rhetorically stylistic manner: ""stylistially complex""",
99269,00464238,r,9,"with sublimity; in a sublime manner: ""awaking in me, sublimely unconscious, interest and energy for tackling these tasks""",
99220,00458103,r,9,"in a spotless manner: ""spotlessly clean""",2232
99232,00459592,r,9,"in a static manner: ""a statically determinate connexion""",1753
99281,00465980,r,9,"to a surpassing degree: ""she was a surpassingly beautiful woman""",2234
99275,00465157,r,9,"in a superfluous manner: ""superfluously, he added his silly comments to the discussion""",1753
99274,00465023,r,9,"without delay; in a summary manner: ""the suspected spy was summarily executed""",
99279,00465675,r,9,"with the face upward: ""she was stretched supinely on her back""",2233
99277,00465387,r,9,"in a superstitious manner: ""superstitiously he refused to travel on Friday the 13th""",
99276,00465304,r,9,to a superlative degree,"1951,2234"
99278,00465533,r,9,"in an indifferently supine manner: ""he called the tune to me and I supinely took it up""",
99301,00469029,r,9,"in a short and concise manner: ""a particular bird, exactly and tersely described in the book of birds""",1969
99280,00465792,r,9,"in a surreptitious manner: ""he was watching her surreptitiously as she waited in the hotel lobby""",
99291,00467675,r,9,"with regard to tactics: ""the tactically useful province is still firmly in the rebels"" hands""",1794
99285,00466662,r,9,"with great ease and success: ""in spite of some mishaps, everything went swimmingly""",
99282,00466103,r,9,in the manner of one who is surprised,
99286,00466795,r,9,"in synchrony; in a synchronous manner: ""in four-chambered hearts, the two auricles move synchronously""",
99287,00466957,r,9,"by synthesis; in a synthetic manner: ""some of these drugs have been derived from opium and others have been produced synthetically""","1787,2111"
99294,00468068,r,9,"in a tart manner: """"Never mind your immortal soul,"" she said tartly""",2234
99289,00467297,r,9,"showing tact or tactfulness; in a tactful manner: ""he stepped tactfully in to prevent trouble""",
99290,00467465,r,9,"without tact; in a tactless manner: ""at the moment of the murder, he is standing in front of television cameras and talking tactlessly""",
99293,00467962,r,9,"in a tangible manner: ""virtue is tangibly rewarded""",1753
99292,00467825,r,9,"in a tame manner: ""the labour movement allowed itself to be run out of power tamely""",
99288,00467148,r,9,"in a tacit manner; by unexpressed agreement: ""they are tactily expected to work 10 hours a day""",2234
99297,00468512,r,9,"in a tasty manner: ""the meal was tastily cooked""",1957
99295,00468189,r,9,"with taste; in a tasteful manner: ""the house was tastefully decorated""",
99296,00468344,r,9,"without taste or in poor taste; in a tasteless manner: ""the house was tastelessly decorated""",
99311,00470511,r,9,"as regards theology: ""the candidate was found theologically sound""",1608
99298,00468614,r,9,"in a playfully teasing manner: """"You hate things to be out of order, don't you?"" she said teasingly""",
99299,00468783,r,9,"in a taut manner: ""the rope was tautly stretched""",
99300,00468885,r,9,"with tears; in a tearful manner: ""the man confessed tearfully to having beaten his wife""",
99310,00470356,r,9,"in a theological manner: ""he dealt with the problem of evil theologically, not philosophically""",1608
99302,00469221,r,9,"in a telescopic manner: ""each of the four legs contains a simple screw jack with a thrust bearing that is operated telescopically inside of two tubes""",
99303,00469432,r,9,"in a telling manner: ""the plain manner of its style all the more tellingly points up the horror of the case""",
99304,00469596,r,9,"without extravagance: ""these preferences are temperately stated""",
99305,00469718,r,9,"with restraint: ""he used the privileges of his office temperately""",
99306,00469824,r,9,"in a tendentious manner: ""the paper reported rather tendentiously on the war atrocities""",
99307,00469972,r,9,"with tenderness; in a tender manner: ""tenderly she placed her arms round him""",
99271,00464584,r,9,"in a romantic manner: ""she fantasized romantically about eloping wiht her boyfriend""",2234
99308,00470104,r,9,"(in enumerating something, such as topics or points of discussion) in the tenth place",
99312,00470637,r,9,"by thermostat; in a thermostatic manner: ""the temperature is thermostatically controlled""",2098
99309,00470225,r,9,"in an ill-natured and tetchy manner; """"Are you sure?"" he asked her tetchily""",1502
99313,00470789,r,9,"by a factor of three: ""our rent increased threefold in the past five years""",
99314,00470916,r,9,"according to tradition; in a traditional manner: ""traditionally, we eat fried foods on Hanukah""",
99315,00471071,r,9,"in quick succession: ""misfortunes come fast and thick""",
99471,00490459,r,9,"on which: ""land whereon to grow corn""",
99272,00464745,r,9,"in an unromantic manner: ""we got married, rather unromatically, in a dingy office in the town hall""",2234
99273,00464905,r,9,"in a sulky manner: """"What else could I do?"" said Graham sulkily""",1502
99319,00471745,r,9,"in a small quantity or extent: ""spread the margarine thinly over the meat""; ""apply paint lightly""","1951,2234"
99320,00471923,r,9,"without viscosity: ""the blood was flowing thin""","2111,2234"
99321,00472048,r,9,"without force or sincere effort: ""smiled thinly""",
99331,00473201,r,9,"in a timorous and trepid manner""",1502
99323,00472284,r,9,"in a thirsty manner: ""we drank thirstily from the bottle that was passed around""",
99324,00472420,r,9,"in a thrifty manner: ""a used towel that he had used and had left thriftily on the ledge below the mirror rather than consign to the linen basket""",
99325,00472621,r,9,"in a thriftless manner: ""he lives thriftlessly from day to day""",
99326,00472743,r,9,"from one end or side to the other: ""jealousy pierced her through""",
99327,00472844,r,9,"over the whole distance: ""this bus goes through to New York""",
99328,00472940,r,9,"in diameter: ""this cylinder measures 15 inches through""",
99329,00473031,r,9,"from beginning to end: ""read this book through""",
99330,00473114,r,9,"to completion: ""think this through very carefully!""",
99338,00474001,r,9,"in a touchy manner: ""he touchily refused all offers to help""",1502
99332,00473319,r,9,"to the highest extent: ""the shoes fit me tip-top""",
99333,00473404,r,9,"on tiptoe or as if on tiptoe: ""standing tiptoe""",
99335,00473577,r,9,"in a monotone: """"Come in,"" she said tonelessly""",
99334,00473486,r,9,"the next day, the day after, following the present day",
99341,00474346,r,9,"for a very short time: ""these three pions may actually be joined together transiently as a compound particle during the interchange process""",1463
99337,00473904,r,9,"in a tortuous manner: ""tortuously haggling over the price""",
99344,00474735,r,9,"so as to allow the passage of light: ""the red brilliance of the claret shines transparently in our glasses""",2234
99339,00474116,r,9,"in a ruggedly tough manner: ""toughly vigorous story-telling""",
99340,00474230,r,9,in a transcendental way or to a transcendental extent,
99348,00475350,r,9,"in a trite manner: ""tritely expressed emotions""",2234
99342,00474544,r,9,as a transitional step or in a transitional manner,
99356,00476422,r,9,"by tutorials; in a tutorial manner: ""undergraduates are better taught tutorially""",1898
99345,00474902,r,9,"so as to be easily understood or seen through: ""his transparently lucid prose""; ""his transparently deceitful behavior""","1946,2097"
99346,00475080,r,9,"in a tremulous manner: ""the leaves rustled tremulously in the wind""",
99336,00473681,r,9,"with regard to topography: ""the geological environment is the primary factor in determining the character of a country not only topographically but historically""",2772
99351,00475697,r,9,"in a tropical manner: ""it was tropically hot in the greenhouse""",2097
99349,00475451,r,9,"in a frivolously trivial manner: ""trivially motivated requests""",
99350,00475570,r,9,"with little effort: ""we can prove trivially that this theorem is false""",
99361,00476997,r,9,"in an unalterable and unchangeable manner: ""his views were unchangeably fixed""",2234
99352,00475817,r,9,"in a defiantly truculent manner: ""the boy looked up truculently at his teacher""",
99353,00475954,r,9,"in an aggressively truculent manner: ""they strive for security by truculently asserting their own interests""",
99354,00476120,r,9,"in a tumultuous and riotous manner: ""the crowd was demonstrating tumultuously""",
99355,00476287,r,9,"in a turbulent manner; with turbulence: ""the river rolls turbulently boiling""",
99322,00472149,r,9,"with a thick consistency: ""the blood was flowing thick""",2111
99357,00476560,r,9,"by a factor of two: ""the price increased twofold last year""",
99360,00476846,r,9,"in an unaccountable manner: ""in the book, a tycoon unaccountably becomes the hero's friend""",
99358,00476667,r,9,in a typographic way,
99359,00476749,r,9,beyond the scope or in excess of legal power or authority,
99347,00475205,r,9,"in a vigorous and effective manner: ""he defended his client's civil rights trenchantly""",2234
99363,00477517,r,9,"in an unassuming manner: ""she is unassumingly skeptical of her own work""",
99364,00477648,r,9,"in an unattainable manner or to an unattainable degree: ""this house is unattainably expensive""",
99343,00474655,r,9,for a very brief time,1463
99472,00490532,r,9,in any place whatever,
99367,00478150,r,9,"to an unbearable degree: ""it was unbearably hot in theroom""",
99368,00478266,r,9,"without someone's knowledge; ""unbeknownst to me, she made all the arrangements""",
99369,00478397,r,9,"without blushing: ""his principal opponent unblushingly declared victory before the ballots had been counted""",
99370,00478565,r,9,"in an uncanny manner: ""uncannily human robots""",
99373,00479006,r,9,"exceptionally: ""a common remedy is uncommonly difficult to find""",2234
99372,00478775,r,9,"in an unchivalrous and ungallant manner: ""unchivalrously, the husbands who had to provide such innocent indulgences eventually began to count the costs""",
99381,00479940,r,9,in an unctuous manner,2234
99376,00479299,r,9,"in an unwanted manner: ""he was unwantedly friendly""",
99374,00479127,r,9,in an uncompromising manner,
99375,00479217,r,9,in an undesirable manner,
99378,00479516,r,9,"in an unconcerned manner: ""war was breaking out in Europe, but she unconcernedly planned for a holiday""",
99371,00478667,r,9,"showing lack of certainty: ""he paused uncertainly""",1502
99379,00479679,r,9,"in an uncontrolled manner: ""she laughed uncontrollably""",
99380,00479795,r,9,"in an uncouth manner: ""uncouthly, he told stories that made everybody at the table wince""",
99382,00480077,r,9,"to an undeniable degree or in an undeniable manner: ""she is undeniably the most gifted student in the class""",
99412,00483676,r,9,in an unstinting manner,2234
99383,00480242,r,9,"further down: ""see under for further discussion""",
99384,00480332,r,9,"down below: ""get under quickly!""",
99385,00480398,r,9,"below the horizon: ""the sun went under""",
99386,00480471,r,9,"below some quantity or limit: ""fifty dollars or under""",
99387,00480559,r,9,"in or into a state of subordination or subjugation: ""we must keep our disappointment under""",
99388,00480684,r,9,"down to defeat, death, or ruin: ""the competitiors went under""",
99389,00480779,r,9,"into unconsciousness: ""this will put the patient under""",
99390,00480868,r,9,"through a range downward: ""children six and under will be admitted free""",
99391,00480974,r,9,"with the hand swung below shoulder level""; ""throwing a ball underarm""",
99392,00481092,r,9,"beneath the surface of the earth: ""water flowing underground""",
99393,00481193,r,9,"in or into hiding or secret operation: ""the organization was driven underground""",
99395,00481565,r,9,"under or below an object or a surface: ""we could see the original painting underneath""",
99396,00481690,r,9,"beneath by way of support: ""a house with a good foundation underneath""",
99397,00481799,r,9,"lower down on the page: ""diagrams with figures underneath""",
99398,00481896,r,9,"on he lower or downward side: ""a chest of drawers all scratched underneath""",
99399,00482010,r,9,"to an undue degree: ""she was unduly pessimistic about her future""",
99400,00482128,r,9,"in an uneventful manner: ""the space shuttle landed uneventfully""",
99401,00482251,r,9,"in an ungrammatical manner: ""this child speaks ungrammatically""",
99402,00482394,r,9,"in a grammatical manner: ""this child already speaks grammatically""",
99404,00482654,r,9,"without interruption: ""this pleasant state of affairs had continued peacefully and uninterruptedly for many years""",
99403,00482538,r,9,to an unimaginable extent,
99414,00483922,r,9,"in a constant and steadfast manner: ""an unswervingly loyal man""",2234
99405,00482830,r,9,"in an unnatural way: ""his other arm lay across his chest, unnaturally, as if placed there deliberately, for a purpose""",2234
99409,00483337,r,9,"without reservation: ""I can unreservedly recommend this restaurant!""",
99407,00483139,r,9,with precedent,
99408,00483231,r,9,in an unprecedented manner,
99411,00483532,r,9,"without scruples: ""she unscrupulously uses her charm to make men do what she wants""",
99410,00483446,r,9,in an unrestrained manner,
99406,00483024,r,9,"in a natural or normal manner: ""speak naturally and easily""",2234
99415,00484044,r,9,"in a untrue manner: ""he silenced the whisperings which connected her, untruly and unfairly, with his separation from his wife""",
99377,00479439,r,9,in an unusual manner,2234
99473,00490593,r,9,"to what place, purpose, or end",
99366,00478037,r,9,"without forethought or plan; inadvertently: ""came upon the diamond unawares""",
99423,00485050,r,9,in an upright position,2234
99419,00484662,r,9,"upward on a hill or incline: ""this street lay uphill""",
99420,00484750,r,9,"against difficulties: ""she was talking uphill""",
99421,00484831,r,9,"in or into the highest position: ""the blade turned uppermost""",
99422,00484930,r,9,"in or into the most prominent position, as in the mind: ""say what comes uppermost""",
99425,00485276,r,9,"in a dishonorable manner: ""he acted dishonorably""",2234
99454,00488773,r,9,with riches,1753
99428,00485690,r,9,"in a useless manner: ""the furniture was sitting around uselessly""",2234
99426,00485402,r,9,"in an urbane manner: """"I had tea occasionally with the Duke,"" said Mr. Eggers urbanely""",
99443,00487577,r,9,"in a virulent manner: ""an old woman advanced a few paces to shake her fist virulently in my face""",2234
99437,00486796,r,9,"in a verbose manner: ""she explained her ideas verbosely""",1969
99429,00485829,r,9,"in a loving and uxorious manner: ""he kept deferring uxoriously to Mary""",
99430,00485957,r,9,"in a vacant manner: ""she was staring vacantly into the room""",
99432,00486147,r,9,"with valor; in a valiant manner: ""he fought valiantly until the end""",
99431,00486072,r,9,in a vacuous manner,
99433,00486302,r,9,"in a valid manner: ""this may not validly be done""",
99434,00486421,r,9,"in a vapid manner: ""a vapidly smiling salesman""",
99435,00486522,r,9,"with variation; in a variable manner or to a variable degree: ""it will be variably cloudy""",
99436,00486667,r,9,"in a vehement manner: ""he vehemently denied the accusations against him""","1951,2234"
99442,00487465,r,9,"in a vile manner: ""his vilely spelt and illiterate letters""",2234
99439,00487128,r,9,"(archaic) truly or confidentially; ""I verily think so""",
99440,00487217,r,9,"indirectly, as, by, or through a substitute: ""she enjoyed the wedding vicariously""",
99427,00485544,r,9,"in a useful manner: ""extra money could be usefully spent on this project""",2234
99441,00487357,r,9,in a watchful manner,
99444,00487731,r,9,"lively, in music: ""play this section vivace!""",
99445,00487811,r,9,"with vivacity: ""he describes his adventures vivaciously""",
99446,00487925,r,9,"in a shapely and voluptuous manner: ""a voluptuously curved woman""",
99447,00488049,r,9,"in an eagerly voracious manner: """"she reads voraciously""",
99448,00488163,r,9,"like a voyeur: ""he sneaks voyeuristically around the swimming pool""","1703,2516"
99451,00488446,r,9,"up to the waist: ""the water rose waist-high""",
99449,00488292,r,9,in a vulnerable manner,
99450,00488371,r,9,in a waggish manner,
99452,00488542,r,9,"in a weak or pale or languid manner: ""she was smiling wanly""",
99453,00488654,r,9,"in a wanton manner: ""the animals were killed wantonly for sport""",
99455,00488840,r,9,"as something very heavy: ""she moved weightily""",
99424,00485128,r,9,"in an honorable manner: ""he acted honorably""",2234
99457,00489074,r,9,"extremely: ""a whacking good story""",
99417,00484478,r,9,in an unworthy manner,2234
99459,00489266,r,9,"about where or near what place: ""I don't know whereabouts the border will be drawn""; ""whereabout do you live?""",
99460,00489429,r,9,"at or toward which: ""we were at a party whereat there was lots of dancing""",
99461,00489539,r,9,"in consequence of which: ""this is a statement whereat the listeners may get angry""",
99462,00489669,r,9,"by or through which: ""the means whereby we achieved our goal""",
99464,00489822,r,9,"for which reason: ""wherefore do I receive this honor?""",
99463,00489766,r,9,as a result of which,
99465,00489925,r,9,"in what: ""wherein consists this matter?""",
99466,00490001,r,9,"in which; where: ""the particular state wherein you reside""",
99467,00490095,r,9,"in the course or during which: ""a period wherein he did not work""",
99468,00490196,r,9,"in regard to which: ""a case wherein he took an active part""",
99469,00490291,r,9,"of what: ""he knows whereof he speaks""",
99470,00490364,r,9,"of which: ""punishment for a crime whereof he was convicted""",
99458,00489145,r,9,"with a wheeze: ""he talked wheezily""",2232
100857,N0001034,n,10,,
99418,00484556,r,9,"to or in the interior of a country or region: ""they live upcountry""",
99475,00490760,r,9,to or unto which,
99478,00491109,r,9,"out of, or by means of which: ""tools wherewith to scrape the windshield of my car""",
99480,00491318,r,9,"to whatever place: ""whithersoever you go...""",
99479,00491243,r,9,in a whining manner,
99489,00492456,r,9,"in a willful manner: ""she had willfully deceived me""",1502
99483,00491775,r,9,"extremely: ""they all were whopping drunk""",
99484,00491853,r,9,"to or over a great extent or range; far: ""wandered wide through many lands""; ""he traveled widely""",
99485,00491992,r,9,"to a great degree: ""her work is widely known""",
99486,00492072,r,9,"with or by a broad space: ""stand with legs wide apart""; ""ran wide around left end""",
99487,00492187,r,9,"far from the intended target: ""the arrow went wide of the mark""; ""a bullet went astray and killed a bystander""",
99488,00492339,r,9,"to the fullest extent possible: ""open your eyes wide""; ""with the throttle wide open""",
99496,00493379,r,9,in a worthy manner; with worthiness,2234
99490,00492593,r,9,"in a wishful manner: ""he wishfully indulged in dreams of fame""",
99491,00492711,r,9,"in a wistful manner: ""his sister would have looked beautiful in that dress, he thought wistfully, just like an angel""",
99492,00492884,r,9,"in a withering manner: ""guns fired witheringly at the railroad cars""",
99493,00493010,r,9,"in a witty manner: ""he would wittily chime into our conversation""",
99495,00493212,r,9,"in a worried manner: """"I wonder what to do,"" she said worriedly""; ""he paused worriedly before calling the bank""",
99494,00493129,r,9,in a manner to cause worry,
99498,00493548,r,9,"in a wrathful manner: ""he looked at her, not wrathfully now, but quizzically""",
99501,00493912,r,9,"in a youthful manner: ""he is still youthfully enthusiastic""",2234
99497,00493469,r,9,in a worthless manner,
99499,00493682,r,9,"in a wretched manner: """"I can't remember who I am,"" I said, wretchedly""",
99500,00493810,r,9,"not only so, but: ""I therein do rejoice, yea, and will rejoice""",
99503,00494167,r,9,"with zest: ""she scrubbed the floors of the new apartment zestfully""",1502
99502,00494028,r,9,"in a zealous manner: ""she worked zealously to raise funds for the literacy project""",
99504,00494318,r,9,"in a zigzag course or on a zigzag path: ""birds flew zigzag across the blue sky""",
99505,00494432,r,9,"with ice cream on top or on the side: ""we served the apple pie a la mode""",
99507,00494637,r,9,"in the interval: ""dancing all the dances with little rest between""",
99506,00494543,r,9,"in the space between decks, on a ship",
99508,00494749,r,9,"in the higher atmosphere above the earth: ""weather conditions aloft are fine""",
99509,00494860,r,9,"at or to great height; high up in or into the air: ""eagles were soaring aloft""; ""dust is whirled aloft""",
99510,00494997,r,9,"in an irreproachable and blameless manner: ""she had lived blamelessly until she met this man""",
99512,00495254,r,9,"upward: ""the good news sent her spirits aloft""",
99517,00495770,r,9,in a conjugal manner,1675
99513,00495334,r,9,"at or on or to the masthead or upper rigging of a ship: ""climbed aloft to unfurl the sail""",
99514,00495458,r,9,"so far as the circumstances are concerned: ""the account was circumstantially accurate""",
99515,00495589,r,9,"according to circumstances: ""he was convicted circumstantially""",
99519,00495960,r,9,"in a convex way: ""bulging out convexly""",
99516,00495697,r,9,in a clammy manner,
99521,00496182,r,9,in a coordinated manner,2234
99518,00495877,r,9,in a constrained manner,
99520,00496072,r,9,"in a concave way: ""shaped concavely""",
99523,00496353,r,9,"in a defective manner: ""this machine functions only defectively""",
99522,00496264,r,9,in a corrupt manner,2234
99524,00496475,r,9,in a dingy manner,2232
99527,00496805,r,9,"in a florid manner: ""floridly figurative prose""",
99526,00496696,r,9,in a dissolute way,2234
99525,00496604,r,9,in a rambling manner,
99481,00491414,r,9,"without reserve; without reservation: ""he adopted wholeheartedly some of the policies that he had previously criticized""",2234
99511,00495183,r,9,in a bonny manner,2234
99638,00509912,r,9,in a recurrent manner,
99476,00490824,r,9,"upon which: ""the rock whereupon she stood""",
99533,00497312,r,9,in a shrewish manner,1502
99530,00497086,r,9,in an integral manner,
99531,00497164,r,9,in a martial manner,
99532,00497239,r,9,in a rugged manner,
99569,00501924,r,9,toward the posterior end of the body,2188
99536,00497701,r,9,"in an identifiably distinctive manner: ""the distinctively conservative district of the county""",
99548,00499256,r,9,"in a gentle manner: ""he talked gently to the injured animal""","1951,2234,2536"
99538,00497998,r,9,"so as to disappear or approach zero: ""errors are vanishingly rare""",
99539,00498104,r,9,"so as to inaugurate: ""the mayor inaugurally drove the spade into the ground""",
99540,00498238,r,9,"in an unconcerned manner: ""she could leave the children alone at home without fear""",
99541,00498399,r,9,"to or toward the inside of: ""come in""; ""smash in the door""",
99542,00498507,r,9,"in an unquestioning manner: ""he followed his leader unquestioningly""",
99543,00498637,r,9,"up to that time: ""they had not done any work theretofore""",
