11,νοσηρός,a,aps---mn1-,νοσηρός νοσηρά νοσηρόν,νοσηρός,0
67839,ν01531,νυκτοφυλακή,n,n-s---fn1e,νυκτοφυλακῆς,νυκτοφυλακή,0
67840,ν01532,νυκτοφυλακία,n,n-s---fn1l,νυκτοφυλακίας,νυκτοφυλακία,0
67842,ν01534,νυκτοφυλάξια,n,n-p---nn2-,νυκτοφυλαξίων,νυκτοφυλάξια,0
67844,ν01516,νυκτῷον,n,n-s---nn2-,νυκτῴου,νυκτῷον,0
67846,ν01537,νύκτωρ,r,----------,,νύκτωρ,0
67847,ν01538,νυκχάζω,v,----------,,νυκχάζω,0
67848,ν01539,νύμφα,n,----------,,νύμφα,0
67850,ν01541,νυμφαγέτς,n,n-s---mn1-,νυμφαγέου,νυμφαγέτς,0
67851,ν01542,νυμφαγωγέω,v,----------,,νυμφαγωγέω,0
67852,ν01543,νυμφαγωγία,n,n-s---fn1l,νυμφαγωγίας,νυμφαγωγία,0
67853,ν01544,νυμφαγωγός,a,aps---cn2-,νυμφαγωγός νυμφαγωγός νυμφαγωγόν,νυμφαγωγός,0
67854,ν01545,νυμφαία,n,n-s---fn1l,νυμφαίας,νυμφαία,0
67855,ν01546,νυμφαῖος,a,aps---mn1-,νυμφαῖος νυμφαῖα νυμφαῖον,νυμφαῖος,0
67856,ν01547,νυμφάς,n,n-s---fn3d,νυμφάδος,νυμφάς,0
67861,ν01552,νυμφευτήρ,n,n-s---mn3r,νυμφευτῆρος,νυμφευτήρ,0
67863,ν01554,νυμφευτής,n,n-s---mn1e,νυμφευτού,νυμφευτής,0
67864,ν01555,νυμφεύτρια,n,n-s---fn1s,νυμφεύτριας,νυμφεύτρια,0
67865,ν01556,νυμφεύω,v,----------,,νυμφεύω,0
67876,ν01567,νυμφόκλαυτος,a,aps---cn2-,νυμφόκλαυτος νυμφόκλαυτος νυμφόκλαυτον,νυμφόκλαυτος,0
67890,ν01581,νυμφών,n,n-s---mn3n,νυμφῶνος,νυμφών,0
67928,ν01614,νύχος,n,n-s---nn3v,νύχεος,νύχος,0
67962,ν01646,νωκελίς,n,n-s---fn3d,νωκελίδος,νωκελίς,0
67963,ν01647,νωλεμές,r,----------,,νωλεμές,0
67964,ν01164,νῶμα,n,----------,,νῶμα,0
67965,ν01648,νωμάω,v,----------,,νωμάω,0
67967,ν01650,νώμησις,n,n-s---fn3v,νωμησέως,νώμησις,0
67968,ν01651,νωμήτωρ,n,n-s---mn3r,νωμήτορος,νωμήτωρ,0
67969,ν01167,νῷν,n,----------,,νῷν,0
67970,ν01652,νωνυμία,n,n-s---fn1l,νωνυμίας,νωνυμία,0
67971,ν01654,νώνυμος,a,aps---cn2-,νώνυμος νώνυμος νώνυμον,νώνυμος,0
67972,ν01653,νωνυμνί,r,----------,,νωνυμνί,0
67973,ν01655,νωπέομαι,v,----------,,νωπέομαι,0
67974,ν01398,νῶροψ,n,----------,,νῶροψ,0
67975,ν01656,νωσάμενος,n,----------,,νωσάμενος,0
67976,ν01402,νῶσις,n,----------,,νῶσις,0
67977,ν01657,νωταγωγέω,v,----------,,νωταγωγέω,0
67979,ν01660,νωταῖος,a,aps---mn1-,νωταῖος νωταῖα νωταῖον,νωταῖος,0
67980,ν01659,νωτάκμων,n,----------,,νωτάκμων,0
67981,ν01661,νωτάρης,a,aps---cn3s,νωτάρης νωτάρης νωτάρες,νωτάρης,0
67982,ν01662,νωτεύς,n,n-s---mn3v,νωτέως,νωτεύς,0
67927,ν01613,νύχμα,n,----------,,νύχμα,0
67985,ν01665,νωτιάς,a,----------,,νωτιάς,0
67986,ν01666,νωτιδανός,n,----------,,νωτιδανός,0
67987,ν01667,νωτίζω,v,----------,,νωτίζω,0
67989,ν01669,νώτισμα,n,n-s---nn3t,νωτίσματος,νώτισμα,0
67990,ν01670,νωτοβατέω,v,----------,,νωτοβατέω,0
67992,ν01672,νωτοκοπέω,v,----------,,νωτοκοπέω,0
67993,ν01407,νῶτον,n,n-s---nn2-,νώτου,νῶτον,0
67995,ν01674,νωτοστροφέω,v,----------,,νωτοστροφέω,0
67996,ν01675,νωτοφορέω,v,----------,,νωτοφορέω,0
67997,ν01676,νωτοφορία,n,n-s---fn1l,νωτοφορίας,νωτοφορία,0
67998,ν01677,νωτόφορος,a,aps---cn2-,νωτόφορος νωτόφορος νωτόφορον,νωτόφορος,0
67999,ν01678,νωχελεύομαι,v,----------,,νωχελεύομαι,0
68000,ν01679,νωχελής,a,----------,,νωχελής,0
68001,ν01680,νωχελία,n,n-s---fn1l,νωχελίας,νωχελία,0
68003,ν01682,νώψ,a,----------,,νώψ,0
68004,,Ξ,n,n-s---nn--,-,Ξ,0
68005,ξ00004,ξαίνω,v,v1spia--1-,,ξαίνω,0
68007,ξ00006,ξανάω,v,----------,,ξανάω,0
68008,ξ00007,ξάνδαρος,n,n-s---mn2-,ξανδάρου,ξάνδαρος,0
68009,,Ξανδικός,n,----------,,Ξανδικός,0
68010,ξ00008,ξάνθη,n,n-s---fn1e,ξάνθης,ξάνθη,0
68011,,Ξανθίας,n,,Ξανθίου,Ξανθίας,0
68012,ξ00009,ξανθίζω,v,----------,,ξανθίζω,0
68013,,Ξανθικός,n,----------,,Ξανθικός,0
68015,ξ00011,ξάνθισις,n,n-s---fn3v,ξανθισέως,ξάνθισις,0
68017,ξ00013,ξανθισμός,n,----------,,ξανθισμός,0
68020,ξ00016,ξανθοειδής,a,aps---cn5s,ξανθοειδής ξανθοειδής ξανθοειδές,ξανθοειδής,0
68021,ξ00017,ξάνθοθριξ,n,----------,,ξάνθοθριξ,0
68022,ξ00018,ξανθοκάρηνος,a,aps---cn2-,ξανθοκάρηνος ξανθοκάρηνος ξανθοκάρηνον,ξανθοκάρηνος,0
68023,ξ00019,ξανθοκάρυον,n,n-s---nn2-,ξανθοκαρύου,ξανθοκάρυον,0
68024,ξ00020,ξανθοκόμης,n,n-s---mn1e,ξανθοκόμου,ξανθοκόμης,0
68025,ξ00021,ξανθόλευκος,a,aps---cn2-,ξανθόλευκος ξανθόλευκος ξανθόλευκον,ξανθόλευκος,0
68026,ξ00022,ξανθόλοφος,a,aps---cn2-,ξανθόλοφος ξανθόλοφος ξανθόλοφον,ξανθόλοφος,0
68028,ξ00024,ξανθός,a,aps---mn1-,ξανθός ξανθή ξανθόν,ξανθός,0
68029,ξ00025,ξανθότης,n,n-s---fn3t,ξανθότητος,ξανθότης,0
68030,ξ00026,ξανθοτριχέω,v,----------,,ξανθοτριχέω,0
68033,ξ00029,ξανθοχίτων,n,n-s---mn3n,ξανθοχίτωνος,ξανθοχίτων,0
68034,ξ00030,ξανθόχλοος,n,----------,,ξανθόχλοος,0
68035,ξ00031,ξανθοχολικός,a,aps---mn1-,ξανθοχολικός ξανθοχολική ξανθοχολικόν,ξανθοχολικός,0
68036,ξ00032,ξανθόχολος,a,aps---cn2-,ξανθόχολος ξανθόχολος ξανθόχολον,ξανθόχολος,0
67984,ν01664,νωτιαῖος,a,aps---mn1-,νωτιαῖος νωτιαῖα νωτιαῖον,νωτιαῖος,0
68039,ξ00035,ξανθόω,v,----------,,ξανθόω,0
68040,ξ00036,ξανθύνομαι,v,----------,,ξανθύνομαι,0
68042,ξ00038,ξάνθωσις,n,n-s---fn3v,ξανθωσέως,ξάνθωσις,0
68043,ξ00039,ξάνιον,n,n-s---nn2-,ξανίου,ξάνιον,0
68044,ξ00040,ξάνσις,n,n-s---fn3v,ξάνσεως,ξάνσις,0
68047,ξ00043,ξάντρια,n,n-s---fn1s,ξάντριας,ξάντρια,0
68048,ξ00044,ξάσμα,n,n-s---nn3t,ξάσματος,ξάσμα,0
68049,ξ00045,ξατράπης,n,----------,,ξατράπης,0
68050,ξ00046,ξεῖ,n,n-s---nn--,,ξεῖ,0
68051,ξ00047,ξειναπάτης,n,----------,,ξειναπάτης,0
68052,ξ00048,ξεινήϊον,n,n-s---nn2-,ξεινηΐου,ξεινήϊον,0
68053,ξ00049,ξεινίζω,v,----------,,ξεινίζω,0
68055,ξ00051,ξεινοδοκέω,v,----------,,ξεινοδοκέω,0
68056,ξ00118,ξεῖνος,a,aps---mn1-,,ξεῖνος,0
68057,ξ00052,ξείρης,n,----------,,ξείρης,0
68058,ξ00053,ξέλεγνον,n,n-s---nn2-,ξελέγνου,ξέλεγνον,0
68059,ξ00054,ξεναγέτης,n,n-s---mn1e,ξεναγέτου,ξεναγέτης,0
68060,ξ00055,ξεναγέω,v,----------,,ξεναγέω,0
68061,ξ00056,ξενάγησις,n,n-s---fn3v,ξεναγησέως,ξενάγησις,0
68062,ξ00057,ξεναγία,n,n-s---fn1l,ξεναγίας,ξεναγία,0
68063,ξ00058,ξεναγός,n,----------,,ξεναγός,0
68066,ξ00061,ξεναπάτης,n,n-s---mn1e,ξεναπάτου,ξεναπάτης,0
68067,ξ00062,ξεναπατία,n,n-s---fn1l,ξεναπατίας,ξεναπατία,0
68069,ξ00064,ξενεών,n,n-s---mn3n,ξενεῶνος,ξενεών,0
68070,ξ00066,ξένη,a,aps---an--,,ξένη,0
68072,ξ00068,ξένηθεν,r,----------,,ξένηθεν,0
68073,ξ00069,ξενήκουστος,a,aps---cn2-,ξενήκουστος ξενήκουστος ξενήκουστον,ξενήκουστος,0
68074,ξ00070,ξενηλασία,n,n-s---fn1l,ξενηλασίας,ξενηλασία,0
68075,ξ00071,ξενηλατέω,v,----------,,ξενηλατέω,0
68076,ξ00072,ξενία,n,n-s---fn1l,ξενίας,ξενία,0
68077,ξ00073,ξενιαγός,n,----------,,ξενιαγός,0
68078,ξ00074,ξενίδιον,n,n-s---nn2-,ξενιδίου,ξενίδιον,0
68079,ξ00075,ξενίζω,v,----------,,ξενίζω,0
68081,ξ00077,ξενικός,a,----------,,ξενικός,0
68083,ξ00079,ξενίς,n,n-s---fn3d,ξενίδος,ξενίς,0
68084,ξ00080,ξένισις,n,n-s---fn3v,ξενισέως,ξένισις,0
68085,ξ00081,ξενισμός,n,----------,,ξενισμός,0
68086,ξ00082,ξενιστής,n,n-s---mn1e,ξενιστού,ξενιστής,0
68087,ξ00083,ξενιτεία,n,n-s---fn1l,ξενιτείας,ξενιτεία,0
68088,ξ00084,ξενιτευτής,n,n-s---mn1e,ξενιτευτού,ξενιτευτής,0
68089,ξ00085,ξενιτεύω,v,----------,,ξενιτεύω,0
68091,ξ00087,ξενοδαίτης,n,n-s---mn1e,ξενοδαίτου,ξενοδαίτης,0
68092,ξ00088,ξενοδίκαι,n,----------,,ξενοδίκαι,0
68093,ξ00089,ξενοδοκέω,v,----------,,ξενοδοκέω,0
68038,ξ00034,ξανθόχρως,n,n-s---cn3d,ξανθόχρωτος,ξανθόχρως,0
68096,ξ00092,ξενοδοχέω,v,----------,,ξενοδοχέω,0
68098,ξ00094,ξενοδόχος,n,----------,,ξενοδόχος,0
68100,ξ00096,ξενόεις,a,aps---mn4i,ξενόεις ξενόεσσα ξενόεν,ξενόεις,0
68102,ξ00098,ξενοθυτέω,v,----------,,ξενοθυτέω,0
68103,ξ00099,ξενοκαδής,a,aps---cn5s,ξενοκαδής ξενοκαδής ξενοκαδές,ξενοκαδής,0
68104,ξ00100,ξενοκλείδειον,n,n-s---nn2-,ξενοκλειδείου,ξενοκλείδειον,0
68105,ξ00101,ξενοκρατέομαι,v,----------,,ξενοκρατέομαι,0
68106,ξ00102,ξενοκρίται,n,----------,,ξενοκρίται,0
68108,ξ00104,ξενοκτονία,n,n-s---fn1l,ξενοκτονίας,ξενοκτονία,0
68110,ξ00106,ξενοκυσταπάτη,n,n-s---fn1e,ξενοκυσταπάτης,ξενοκυσταπάτη,0
68111,ξ00107,ξενολογέω,v,----------,,ξενολογέω,0
68113,ξ00109,ξενολόγιον,n,n-s---nn2-,ξενολογίου,ξενολόγιον,0
68114,ξ00110,ξενόλογος,a,aps---cn2-,ξενόλογος ξενόλογος ξενόλογον,ξενόλογος,0
68115,ξ00111,ξενομανέω,v,----------,,ξενομανέω,0
68116,ξ00112,ξενοπάθεια,n,n-s---fn1s,ξενοπάθειας,ξενοπάθεια,0
68117,ξ00113,ξενοπαθέω,v,----------,,ξενοπαθέω,0
68119,ξ00115,ξενοπολίτης,n,n-s---mn1e,ξενοπολίτου,ξενοπολίτης,0
68121,ξ00117,ξενοπρόσωπος,r,----------,,ξενοπρόσωπος,0
