40,προγεωργός,n,----------,,,,,,0
83906,π10941,προκαταπλάσσω,v,----------,,,,,,0
83913,π10948,προκάταρξις,n,n-s---fn3v,προκαταρξέως,,,,,0
83920,π10955,προκατασείω,v,----------,,,,,,0
83923,π10958,προκατασκεύασμα,n,n-s---nn3t,προκατασκευάσματος,,,,,0
83929,π10964,προκαταστατικός,a,aps---mn1-,προκαταστατικός προκαταστατική προκαταστατικόν,,,,,0
83943,π10978,προκαταφέρομαι,v,----------,,,,,,0
83948,π10983,προκαταχράομαι,v,----------,,,,,,0
83962,π10997,προκατεύχομαι,v,----------,,,,,,0
83968,π11003,προκατισχνόομαι,v,----------,,,,,,0
83976,π11011,προκατορυγμός,n,----------,,,,,,0
83981,π11016,προκέλευθος,a,aps---cn2-,προκέλευθος προκέλευθος προκέλευθον,,,,,0
83993,π11028,προκήρυγμα,n,n-s---nn3t,προκηρύγματος,,,,,0
84001,π11036,προκινησία,n,n-s---fn1l,προκινησίας,,,,,0
84016,π11051,προκλητής,n,n-s---mn1e,προκλητού,,,,,0
84022,π11057,πρόκλυτος,a,aps---cn2-,πρόκλυτος πρόκλυτος πρόκλυτον,,,,,0
84034,π11069,πρόκοιτος,n,n-s---mn2-,προκοίτου,,,,,0
84043,π11078,προκόμιον,n,n-s---nn2-,προκομίου,,,,,0
84053,π11088,πρόκορμος,n,----------,,,,,,0
84057,π11092,προκόσμιος,a,aps---cn2-,προκόσμιος προκόσμιος προκόσμιον,,,,,0
84070,π11105,προκριτέος,a,aps---mn1-,προκριτέος προκριτέα προκριτέον,,,,,0
84082,π11117,πρόκτησις,n,n-s---fn3v,προκτησέως,,,,,0
84090,π11125,προκυκλίς,n,n-s---fn3d,προκυκλίδος,,,,,0
84097,π11132,προκυνηγία,n,n-s---fn1l,προκυνηγίας,,,,,0
84105,π11139,προκώλυμα,n,n-s---nn3t,προκωλύματος,,,,,0
84113,π11147,προλαγχάνω,v,----------,,,,,,0
84130,π11164,προλεσχηνεύομαι,v,----------,,,,,,0
84139,π11173,πρόληψις,n,n-s---fn3v,προληψέως,,,/pró.lɛːp.sis/,,0
84146,π11181,προλόβιον,n,n-s---nn2-,προλοβίου,,,,,0
84157,π11192,προλοχίζω,v,----------,,,,,,0
84165,π11200,προλωβάομαι,v,----------,,,,,,0
84169,π11204,προμαλακτήριον,n,n-s---nn2-,προμαλακτηρίου,,,,,0
84190,π11226,προμαχεῖα,n,n-p---nn2-,προμαχείων,,,,,0
84197,π11233,προμαχόρμα,n,n-s---fn1l,προμαχόρμας,,,,,0
84205,π11240,προμερίζω,v,----------,,,,,,0
84210,π11245,προμεταλλαγή,n,n-s---fn1e,προμεταλλαγῆς,,,,,0
84216,π11251,προμετωπίδιος,a,aps---cn2-,προμετωπίδιος προμετωπίδιος προμετωπίδιον,,,,,0
84232,π11267,προμηνηταιος,n,----------,,,,,,0
84240,π11275,προμίγνυμι,v,----------,,,,,,0
84244,π11279,προμίσθωσις,n,n-s---fn3v,προμισθωσέως,,,,,0
84253,π11290,πρόμοιρος,a,aps---cn2-,πρόμοιρος πρόμοιρος πρόμοιρον,,,,,0
84264,π11301,προμύησις,n,n-s---fn3v,προμυησέως,,,,,0
84272,π11308,προμυρίζω,v,----------,,,,,,0
84279,π11315,προναύκληρος,n,n-s---mn2-,προναυκλήρου,,,,,0
84292,π11328,προνιτρόω,v,----------,,,,,,0
84299,π11335,προνοητικός,a,aps---mn1-,προνοητικός προνοητική προνοητικόν,,,,,0
84310,π11346,πρόνοος,a,aps---cn2-,πρόνοος πρόνοος πρόνοον,,πρόνους πρόνους πρόνουν,,,0
84323,π11359,προξενητής,n,n-s---mn1e,προξενητού,,,/prok.se.nɛː.tɛ̌ːs/,,0
84333,π11369,προξύρησις,n,n-s---fn3v,προξυρησέως,,,,,0
84353,π11390,προοικειόομαι,v,----------,,,,,,0
84361,π11398,προοιμιάζομαι,v,----------,,,,,,0
84364,π11401,προοιμιαστικός,a,aps---mn1-,προοιμιαστικός προοιμιαστική προοιμιαστικόν,,,,,0
84379,π11415,προοξυτονέω,v,----------,,,,,,0
84387,π11423,προορατικός,a,aps---mn1-,προορατικός προορατική προορατικόν,,,,,0
84396,π11432,προορμίζω,v,----------,,,,,,0
84404,π11440,προούσιος,a,aps---cn2-,προούσιος προούσιος προούσιον,,,,,0
84414,π11451,προπάθεια,n,n-s---fn1s,προπάθειας,,,,,0
84419,π11456,προπαίδευσις,n,n-s---fn3v,προπαιδευσέως,,,,,0
84429,π11466,προπαππικός,a,aps---mn1-,προπαππικός προπαππική προπαππικόν,,,,,0
84438,π11475,προπαραιτέομαι,v,----------,,,,,,0
84445,π11482,προπαρασημαίνομαι,v,----------,,,,,,0
84462,π11500,προπαροξυτονέω,v,----------,,,,,,0
84464,π11502,προπαροξύτονος,a,aps---cn2-,προπαροξύτονος προπαροξύτονος προπαροξύτονον,,,/pro.pa.rok.sý.to.nos/,,0
84483,π11521,προπεπαίνομαι,v,----------,,,,,,0
84490,π11528,προπεριξύω,v,----------,,,,,,0
84496,π11534,προπερυσινός,a,aps---cn2-,προπερυσινός προπερυσινός προπερυσινόν,,,,,0
84510,π11548,προπηλάκισις,n,n-s---fn3v,προπηλακισέως,,,,,0
84520,π11556,προπινάριον,n,n-s---nn2-,προπιναρίου,,,,,0
84529,π11566,πρόπλασμα,n,n-s---nn3t,προπλάσματος,,,,,0
84538,π11575,προπλώω,v,----------,,,,,,0
84541,π11580,προποδηγός,a,aps---cn2-,προποδηγός προποδηγός προποδηγόν,,,,,0
84554,π11593,προπολιόομαι,v,----------,,,,,,0
84562,π11601,προπομπέω,v,----------,,,,,,0
84569,π11607,προπορευτής,n,n-s---mn1e,προπορευτού,,,,,0
84578,π11616,προποτιστέον,a,----------,,,,,,0
84588,π11625,προπρηνής,a,aps---cn5s,προπρηνής προπρηνής προπρηνές,,,,,0
84595,π11632,προπροκαταί̈γδην,r,----------,,,,,,0
84604,π11642,πρόπτωμα,n,n-s---nn3t,προπτώματος,,,,,0
84607,π11645,προπύλαιος,a,aps---mn1-,προπύλαιος προπύλαια προπύλαιον,,aps---cn2-=προπύλαιος aps---cn2-=προπύλαιος aps---nn2-=προπύλαιον,,,0
84614,π11652,πρόπυργος,a,aps---cn2-,πρόπυργος πρόπυργος πρόπυργον,,,,,0
84625,π11663,προπωλήτρια,n,n-s---fn1s,προπωλήτριας,,,,,0
84634,π11672,προρρηθῆναι,n,----------,,,,,,0
84640,π11678,πρόρριζος,a,aps---cn2-,πρόρριζος πρόρριζος πρόρριζον,,,,,0
84651,π11695,προσάγγελμα,n,n-s---nn3t,προσαγγέλματος,,,,,0
84658,π11702,προσαγνοέω,v,----------,,,,,,0
84679,π11722,προσαθυμέω,v,----------,,,,,,0
84686,π11729,προσαιρέομαι,v,----------,,,,,,0
84693,π11736,προσαιτητής,n,n-s---mn1e,προσαιτητού,,,,,0
84700,π11743,προσακροβολίζομαι,v,----------,,,,,,0
84706,π11749,προσαλίγκιος,a,aps---cn2-,προσαλίγκιος προσαλίγκιος προσαλίγκιον,,,,,0
84719,π11762,προσαμιλλάομαι,v,----------,,,,,,0
84727,π11770,προσαναβιβρώσκω,v,----------,,,,,,0
84734,π11777,προσαναδέρω,v,----------,,,,,,0
84739,π11782,προσαναζωγραφέω,v,----------,,,,,,0
84746,π11789,προσανακαλύπτω,v,----------,,,,,,0
84752,π11795,προσανάκλιμα,n,n-s---nn3t,προσανακλίματος,,,,,0
84759,π11802,προσανακτάομαι,v,----------,,,,,,0
84766,π11809,προσαναλογίζομαι,v,----------,,,,,,0
84779,π11823,προσαναπέμπω,v,----------,,,,,,0
84785,π11828,προσαναπληρόω,v,----------,,,,,,0
84790,π11833,προσαναρριπίζω,v,----------,,,,,,0
84799,π11842,προσανατενίζω,v,----------,,,,,,0
84805,π11848,προσανατυπόω,v,----------,,,,,,0
84812,π11855,προσαναχρώννυμαι,v,----------,,,,,,0
84821,π11864,προσανέχω,v,----------,,,,,,0
84832,π11875,προσανταποδίδωμι,v,----------,,,,,,0
84839,π11882,προσαντιβολέω,v,----------,,,,,,0
84845,π11888,προσάντλησις,n,n-s---fn3v,προσαντλησέως,,,,,0
84853,π11896,προσαπαντάω,v,----------,,,,,,0
84860,π11903,προσαπεργάζομαι,v,----------,,,,,,0
84868,π11911,προσαποδείκνυμι,v,----------,,,,,,0
84875,π11918,προσαποθνῄσκω,v,----------,,,,,,0
84880,π11923,προσαποκρέμαμαι,v,----------,,,,,,0
84887,π11930,προσαπόλλυμι,v,----------,,,,,,0
84895,π11938,προσαποπνίγω,v,----------,,,,,,0
84900,π11943,προσαποσκευάζομαι,v,----------,,,,,,0
84908,π11951,προσαποφαίνω,v,----------,,,,,,0
84915,π11958,προσαπτικός,a,aps---mn1-,προσαπτικός προσαπτική προσαπτικόν,,,,,0
84925,π11968,προσαρθρόομαι,v,----------,,,,,,0
84932,π11975,προσάρκτιος,a,aps---cn2-,προσάρκτιος προσάρκτιος προσάρκτιον,,,,,0
84947,π11990,προσασπάζομαι,v,----------,,,,,,0
84955,π11998,προσαυγάζω,v,----------,,,,,,0
84962,π12005,προσαύξησις,n,n-s---fn3v,προσαυξησέως,,,,,0
84970,π12013,προσαφής,a,aps---cn5s,προσαφής προσαφής προσαφές,,,,,0
84979,π12022,προσβαίνω,v,----------,,,,,,0
84985,π12028,προσβατός,a,aps---mn1-,προσβατός προσβατή προσβατόν,,,,,0
85046,π12089,προσδεξιόομαι,v,----------,,,,,,0
85000,π12043,προσβλητός,a,aps---mn1-,προσβλητός προσβλητή προσβλητόν,,,,,0
85007,π12050,πρόσβορρος,a,aps---cn2-,πρόσβορρος πρόσβορρος πρόσβορρον,,,,,0
85018,π12061,προσγέννησις,n,n-s---fn3v,προσγεννησέως,,,,,0
85025,π12068,πρόσγονος,a,aps---cn2-,πρόσγονος πρόσγονος πρόσγονον,,,,,0
85035,π12078,προσδαψιλεύομαι,v,----------,,,,,,0
85043,π12086,προσδεκτέος,a,aps---mn1-,προσδεκτέος προσδεκτέα προσδεκτέον,,,,,0
85054,π12097,προσδέχομαι,v,----------,,,,,,0
85060,π12103,προσδημαγωγέω,v,----------,,,,,,0
85066,π12112,προσδιακριβόω,v,----------,,,,,,0
85072,π12118,προσδιαμαρτυρέω,v,----------,,,,,,0
85078,π12124,προσδιανοητέον,a,----------,,,,,,0
85086,π12132,προσδιασάφησις,n,n-s---fn3v,προσδιασαφησέως,,,,,0
85094,π12140,προσδιατείνω,v,----------,,,,,,0
85101,π12147,προσδίδωμι,v,----------,,,,,,0
85111,π12158,προσδιορθόω,v,----------,,,,,,0
85118,π12165,προσδόκημα,n,n-s---nn3t,προσδοκήματος,,,,,0
85125,π12173,προσδόσιμον,n,n-s---nn2-,προσδοσίμου,,,,,0
85135,π12184,προσεβάζομαι,v,----------,,,,,,0
85142,π12191,προσέγκειμαι,v,----------,,,,,,0
85148,π12197,προσεγχρίω,v,----------,,,,,,0
85155,π12204,προσεδρικῶς,n,----------,,,,,,0
85168,π12217,προσείλημα,n,n-s---nn3t,προσειλήματος,,,,,0
85177,π12225,προσεισέρχομαι,v,----------,,,,,,0
85183,π12231,προσεισφορά,n,n-s---fn1l,προσεισφορᾶς,,,,,0
85191,π12239,προσεκθλίβω,v,----------,,,,,,0
85198,π12246,προσεκλεαίνω,v,----------,,,,,,0
85204,π12252,προσεκπέμπω,v,----------,,,,,,0
85210,π12258,προσεκπορίζω,v,----------,,,,,,0
85224,π12272,προσεκτυφλόω,v,----------,,,,,,0
85231,π12279,προσελαφρύνω,v,----------,,,,,,0
85236,π12284,προσέληνος,a,aps---cn2-,προσέληνος προσέληνος προσέληνον,,,,,0
85247,π12294,προσεμβρεκτέον,a,----------,,,,,,0
85254,π12301,προσεμπικραίνομαι,v,----------,,,,,,0
85261,π12308,προσεμφαίνομαι,v,----------,,,,,,0
85270,π12317,προσεμφυσιόω,v,----------,,,,,,0
85277,π12324,προσενδίδωμι,v,----------,,,,,,0
85283,π12330,προσενθυμητέον,a,----------,,,,,,0
85290,π12337,προσένταξις,n,n-s---fn3v,προσενταξέως,,,/pro.sén.tak.sis/,,0
85299,π12346,προσεξαίρω,v,----------,,,,,,0
85305,π12352,προσεξάπτω,v,----------,,,,,,0
85311,π12358,προσεξεμέω,v,----------,,,,,,0
85317,π12364,προσεξεταστέον,a,----------,,,,,,0
85323,π12370,προσεξικμάζω,v,----------,,,,,,0
85330,π12377,προσεοικότως,r,----------,,,,,,0
85337,π12384,προσεπανερέσθαι,v,----------,,,,,,0
85344,π12401,προσεπεῖπον,v,----------,,,,,,0
85349,π12396,προσεπεκτείνω,v,----------,,,,,,0
85355,π12403,προσεπερωτητής,n,n-s---mn1e,προσεπερωτητού,,,,,0
85364,π12412,προσεπιβλαστάνω,v,----------,,,,,,0
85370,π12418,προσεπιγράφω,v,----------,,,,,,0
85377,π12425,προσεπιδημέω,v,----------,,,,,,0
85381,π12429,προσεπιδιίσταμαι,v,----------,,,,,,0
85388,π12436,προσεπιθεσπίζω,v,----------,,,,,,0
85394,π12442,προσεπικαταδέω,v,----------,,,,,,0
85400,π12448,προσεπικηρύσσω,v,----------,,,,,,0
85407,π12455,προσεπιλέγω,v,----------,,,,,,0
85412,π12460,προσεπιμανθάνω,v,----------,,,,,,0
85417,π12465,προσεπιμηχανάομαι,v,----------,,,,,,0
85426,π12474,προσεπιπέμπω,v,----------,,,,,,0
85432,π12480,προσεπιπλήσσω,v,----------,,,,,,0
85441,π12489,προσεπισημαίνω,v,----------,,,,,,0
85447,π12495,προσεπισκοπέω,v,----------,,,,,,0
85452,π12500,προσεπιστέλλω,v,----------,,,,,,0
85459,π12507,προσεπισφίγγω,v,----------,,,,,,0
85464,π12512,προσεπιτάσσω,v,----------,,,,,,0
85470,π12518,προσεπιτίθημι,v,----------,,,,,,0
85477,π12525,προσεπιτυγχάνω,v,----------,,,,,,0
85483,π12531,προσεπιφοιτάω,v,----------,,,,,,0
85498,π12547,προσερεθίζω,v,----------,,,,,,0
85506,π12555,προσεριστής,n,n-s---mn1e,προσεριστού,,,,,0
85514,π12563,προσέσπερος,a,aps---cn2-,προσέσπερος προσέσπερος προσέσπερον,,,,,0
85522,π12571,προσευεργετέω,v,----------,,,,,,0
85529,π12578,προσευνάζομαι,v,----------,,,,,,0
85538,π12587,προσεύχομαι,v,----------,,,,/pro.seú̯.kʰo.mai̯/,,0
85548,π12597,προσεωλίζομαι,v,----------,,,,,,0
85556,π12604,προσηγορέω,v,----------,,,,,,0
85560,π12608,προσηγορικός,a,aps---mn1-,προσηγορικός προσηγορική προσηγορικόν,,,,,0
85571,π12619,προσήλυτος,a,aps---cn2-,προσήλυτος προσήλυτος προσήλυτον,,,,,0
85579,π12627,προσήμερος,a,aps---cn2-,προσήμερος προσήμερος προσήμερον,,,,,0
85589,π12638,προσηχής,a,aps---cn5s,προσηχής προσηχής προσηχές,,,,,0
85613,π12662,προσθεωρητέον,a,----------,,,,,,0
85622,π12671,πρόσθλιψις,n,n-s---fn3v,προσθλιψέως,,,,,0
85626,π12675,προσθύμιος,a,aps---cn2-,προσθύμιος προσθύμιος προσθύμιον,,,,,0
85638,π12687,προσικνέομαι,v,----------,,,,,,0
85646,π12695,προσίπταμαι,v,----------,,,,,,0
85659,π12708,προσκαθεδρία,n,n-s---fn1l,προσκαθεδρίας,,,,,0
85667,π12716,προσκαθίζω,v,----------,,,,,,0
85673,π12722,προσκαθοσιόω,v,----------,,,,,,0
85680,π12729,προσκαλεύω,v,----------,,,,,,0
85684,π12733,προσκάρδιος,a,aps---cn2-,προσκάρδιος προσκάρδιος προσκάρδιον,,,,,0
85693,π12742,προσκατάβλημα,n,n-s---nn3t,προσκαταβλήματος,,,,,0
85701,π12750,προσκαταδεσμέω,v,----------,,,,,,0
85707,π12756,προσκατακλίνομαι,v,----------,,,,,,0
85714,π12763,προσκαταλέγω,v,----------,,,,,,0
85720,π12769,προσκαταμανθάνω,v,----------,,,,,,0
85727,π12776,προσκαταξύω,v,----------,,,,,,0
85731,π12780,προσκαταπλήσσω,v,----------,,,,,,0
85737,π12786,προσκαταριθμέω,v,----------,,,,,,0
85742,π12791,προσκατασκευαστικός,a,aps---mn1-,προσκατασκευαστικός προσκατασκευαστική προσκατασκευαστικόν,,,,,0
85754,π12803,προσκαταχράομαι,v,----------,,,,,,0
85761,π12810,προσκατερείπω,v,----------,,,,,,0
85773,π12822,προσκεδάννυμι,v,----------,,,,,,0
85782,π12831,προσκεφαλάδιον,n,n-s---nn2-,προσκεφαλαδίου,,,,,0
85789,π12838,προσκηρυκεύομαι,v,----------,,,,,,0
85797,π12846,προσκλάομαι,v,----------,,,,,,0
85801,π12850,προσκλητικός,a,aps---mn1-,προσκλητικός προσκλητική προσκλητικόν,,,,,0
85813,π12862,προσκλύστιος,n,n-s---mn2-,προσκλυστίου,,,,,0
85826,π12875,πρόσκολλος,a,aps---cn2-,πρόσκολλος πρόσκολλος πρόσκολλον,,,,,0
85836,π12885,προσκόπησις,n,n-s---fn3v,προσκοπησέως,,,,,0
85844,π12893,προσκοροδοφαγέω,v,----------,,,,,,0
85851,π12900,πρόσκρανον,n,----------,,,,,,0
85856,π12905,πρόσκρουμα,n,n-s---nn3t,προσκρούματος,,,,,0
99690,τ01704,τίλα,n,n-s---fn1l,τίλας,,,,,0
85861,π12910,προσκρουστικός,a,aps---mn1-,προσκρουστικός προσκρουστική προσκρουστικόν,,,,,0
85873,π12922,προσκύνημα,n,n-s---nn3t,προσκυνήματος,,,,,0
85880,π12929,προσκυνητός,a,aps---mn1-,προσκυνητός προσκυνητή προσκυνητόν,,,,,0
85891,π12940,προσλάκκιον,n,n-s---nn2-,προσλακκίου,,,,,0
85899,π12948,προσλείπω,v,----------,,,,,,0
85904,π12953,πρόσλημμα,n,n-s---nn3t,προσλήμματος,,,,,0
85913,π12962,προσλογίζομαι,v,----------,,,,,,0
85918,π12967,πρόσλοιπος,a,aps---cn2-,πρόσλοιπος πρόσλοιπος πρόσλοιπον,,,,,0
85926,π12976,προσμαρτύρομαι,v,----------,,,,,,0
85934,π12984,πρόσμειξις,n,n-s---fn3v,προσμειξέως,,,,,0
85942,π12992,προσμεταπέμπομαι,v,----------,,,,,,0
85950,π13000,προσμίμνω,v,----------,,,,,,0
85956,π13006,προσμολεῖν,v,----------,,,,,,0
85963,π13013,προσμυθοποιέω,v,----------,,,,,,0
85972,π13021,προσνέω,n,----------,,,,,,0
85978,π13028,προσνομοθετέω,v,----------,,,,,,0
85995,π13045,προσοίγνυμι,v,----------,,,,,,0
86003,π13053,προσοικοδομέω,v,----------,,,,,,0
86009,π13059,πρόσοισμα,n,n-s---nn3t,προσοίσματος,,,,,0
86014,π13064,προσόμαλος,a,aps---cn2-,προσόμαλος προσόμαλος προσόμαλον,,,,,0
86024,π13074,προσομολογία,n,n-s---fn1l,προσομολογίας,,,,,0
86031,π13080,προσονομαστέον,v,----------,,,,,,0
86037,π13087,προσοργίζομαι,v,----------,,,,,,0
86044,π13094,προσόρμισις,n,n-s---fn3v,προσορμισέως,,,,,0
86053,π13103,πρόσουρος,n,----------,,,,,,0
86059,π13109,προσοχθίζω,v,----------,,,,,,0
86065,π13115,προσόψημα,n,n-s---nn3t,προσοψήματος,,,,,0
86072,π13122,προσπαθής,a,aps---cn5s,προσπαθής προσπαθής προσπαθές,,,,,0
86081,π13129,προσπαραβάλλομαι,v,----------,,,,,,0
86092,π13140,προσπαραληπτέον,a,----------,,,,,,0
86099,π13147,προσπαρατίθημι,v,----------,,,,,,0
86105,π13153,προσπαρεμβάλλω,v,----------,,,,,,0
86112,π13160,προσπασσαλόω,v,----------,,,,,,0
86120,π13168,προσπέλασις,n,n-s---fn3v,προσπελασέως,,,,,0
86127,π13175,προσπεριειλέω,v,----------,,,,,,0
86132,π13180,προσπεριοδεύω,v,----------,,,,,,0
86139,π13187,προσπεύθομαι,v,----------,,,,,,0
86153,π13201,προσπιπράσκω,v,----------,,,,,,0
86160,π13208,προσπλαστός,a,aps---mn1-,προσπλαστός προσπλαστή προσπλαστόν,,,,,0
86169,π13217,πρόσπλοκος,a,aps---cn2-,πρόσπλοκος πρόσπλοκος πρόσπλοκον,,,,,0
86179,π13227,προσποίημα,n,n-s---nn3t,προσποιήματος,,,,,0
86188,π13236,προσπολιτεύομαι,v,----------,,,,,,0
99691,τ01705,τιλάω,v,----------,,,,,,0
86193,π13241,προσπόρισμα,n,n-s---nn3t,προσπορίσματος,,,/pros.pó.riz.ma/,,0
86204,π13252,προσπτυγμάτιον,n,n-s---nn2-,προσπτυγματίου,,,,,0
86213,π13261,προσραίνω,v,----------,,,,,,0
86220,π13268,προσράσσω,v,----------,,,,,,0
86228,π13276,προσρητέος,a,aps---mn1-,προσρητέος προσρητέα προσρητέον,,,,,0
86239,π13287,προσσέβω,v,----------,,,,,,0
86245,π13293,προσσίτια,n,n-p---nn2-,προσσιτίων,,,,,0
86253,π13301,προσσοτέρω,r,----------,,,,,,0
86267,π13315,προσστέλλω,v,----------,,,,,,0
86272,π13320,προσσυγχρίω,v,----------,,,,,,0
86279,π13327,προσσυμπλέκω,v,----------,,,,,,0
86286,π13334,προσσυνίστημι,v,----------,,,,,,0
86293,π13341,πρόσσφαγμα,n,----------,,,,,,0
86300,π13348,προσσώρευσις,n,n-s---fn3v,προσσωρευσέως,,,,,0
