419,βαρυοδμία,n,n-s---fn1l,βαρυοδμίας,,,,,0
18404,β00465,βαρυτονέω,v,----------,,,,,,0
18405,β00466,βαρυτόνησις,n,n-s---fn3v,βαρυτονησέως,,,,,0
18406,β00467,βαρυτονητέος,a,aps---mn1-,βαρυτονητέος βαρυτονητέα βαρυτονητέον,,,,,0
18407,β00468,βαρύτονος,a,aps---cn2-,βαρύτονος βαρύτονος βαρύτονον,,,/ba.rý.to.nos/,,0
18408,β00469,βαρύϋπνος,a,aps---cn2-,βαρύϋπνος βαρύϋπνος βαρύϋπνον,,,,,0
18409,β00470,βαρυφθέγκτης,n,n-s---mn1e,βαρυφθέγκτου,,,,,0
18412,β00473,βαρύφλοισβος,a,aps---cn2-,βαρύφλοισβος βαρύφλοισβος βαρύφλοισβον,,,,,0
18413,β00474,βαρύφορτος,a,aps---cn2-,βαρύφορτος βαρύφορτος βαρύφορτον,,,,,0
18414,β00475,βαρυφροσύνη,n,n-s---fn1e,βαρυφροσύνης,,,,,0
18415,β00476,βαρύφρων,a,aps---cn3n,βαρύφρων βαρύφρων βαρύφρον,,,,,0
18416,β00477,βαρυφωνέω,v,----------,,,,,,0
18417,β00478,βαρυφωνία,n,n-s---fn1l,βαρυφωνίας,,,,,0
18418,β00479,βαρύφωνος,a,aps---cn2-,βαρύφωνος βαρύφωνος βαρύφωνον,,,,,0
18420,β00481,βαρυχείμων,a,aps---cn3n,βαρυχείμων βαρυχείμων βαρυχεῖμον,,,,,0
18421,β00482,βαρύχορδος,a,aps---cn2-,βαρύχορδος βαρύχορδος βαρύχορδον,,,,,0
18377,β00438,βαρύπους,n,----------,,,,,,0
18426,β00487,βαρυωπέω,v,----------,,,,,,0
18427,β00488,βασαγίκορος,n,----------,,,,,,0
18428,β00489,βασαναστραγάλη,n,n-s---fn1e,βασαναστραγάλης,,,,,0
18429,β00490,βασανεύω,v,----------,,,,,,0
18430,β00491,βασανηδόν,r,----------,,,,,,0
18431,β00492,βασανίζω,v,----------,,,,,,0
18432,β00493,βασανισμός,n,----------,,,,,,0
18433,β00494,βασανιστέος,a,aps---mn1-,βασανιστέος βασανιστέα βασανιστέον,,,,,0
18434,β00495,βασανιστήριον,n,n-s---nn2-,βασανιστηρίου,,,,,0
18436,β00497,βασανιστής,n,n-s---mn1e,βασανιστού,,,,,0
18438,β00499,βασανίτης,n,----------,,,,,,0
18439,β00500,βάσανος,n,n-s---fn2-,βασάνου,,,/bá.sa.nos/,,0
18440,β00501,βασείδιον,n,n-s---nn2-,βασειδίου,,,,,0
18441,β00502,βασίαρξ,n,----------,,,,,,0
18442,β00503,βασίλεια,n,n-s---fn1s,βασίλειας,,,,,0
18443,β00504,βασιλεία,n,n-s---fn1l,βασιλείας,,,,,0
18444,β00505,βασιλειάω,v,----------,,,,,,0
18445,β00506,βασιλείδης,n,n-s---mn1e,βασιλείδου,,,,,0
18446,β00507,βασιλείδιον,n,n-s---nn2-,βασιλειδίου,,,,,0
18450,β00511,βασιλευτός,a,aps---mn1-,βασιλευτός βασιλευτή βασιλευτόν,,,,,0
18451,β00512,βασιλεύτωρ,n,n-s---mn3r,βασιλεύτορος,,,,,0
18452,β00513,βασιλεύω,v,----------,,,,/ba.si.leú̯.ɔː/,,0
18453,β00514,βασίλη,n,n-s---fn1e,βασίλης,,,,,0
18454,β00515,βασιληί̈η,n,----------,,,,,,0
18455,β00516,βασιληί̈ς,a,----------,,,,,,0
18456,β00517,βασιλίζω,v,----------,,,,,,0
18458,β00519,βασιλιναῦ,n,----------,,,,,,0
18459,β00520,βασιλίνδα,r,----------,,,,,,0
18460,β00521,βασίλιννα,n,----------,,,,,,0
18461,β00522,βασιλίς,n,n-s---fn3d,βασιλίδος,,,,,0
18462,β00523,βασιλίσκος,n,n-s---mn2-,βασιλίσκου,,,,,0
18463,β00524,βασίλισσα,n,n-s---fn1s,βασίλισσας,,,,,0
18464,β00525,βασιλισταί,n,n-p---mn2-,βασιλιστῶν,,,,,0
18465,β00526,βάσιμος,a,----------,,,,,,0
18466,β00527,βάσις,n,n-s---fn3v,βάσεως,,,/bá.sis/,,0
18467,β00528,βασκαίνω,v,----------,,,,,,0
18469,β00530,βασκάνιον,v,----------,,,,,,0
18471,β00533,βασκαντικός,a,aps---mn1-,βασκαντικός βασκαντική βασκαντικόν,,,,,0
18472,β00534,βασκαρίζειν,n,----------,,,,,,0
18473,β00535,βασκάς,n,n-s---fn3d,βασκάδος,,,,,0
18474,β00536,βασκαύλης,n,n-s---mn1e,βασκαύλου,,,,,0
18475,β00537,βασκοσύνη,n,n-s---fn1e,βασκοσύνης,,,,,0
18476,β00538,βάσκω,v,v1spia--1-,,,,/bás.kɔː/,,0
18449,β00510,βασιλεύς,n,n-s---mn3v,βασιλέως,,,/ba.si.leú̯s/,,1
18425,β00486,βαρυώδυνος,a,aps---cn2-,βαρυώδυνος βαρυώδυνος βαρυώδυνον,,,,,0
18480,β00541,βασσάρα,n,n-s---fn1l,βασσάρας,,,/bas.sá.raː/,,0
18481,β00542,βασσαρεύς,n,n-s---mn3v,βασσαρέως,,,,,0
18482,β00543,βασσαρέω,v,----------,,,,,,0
18484,β00545,βασσάριον,n,n-s---nn2-,βασσαρίου,,,,,0
18485,β00546,βασσαρίς,n,n-s---fn3d,βασσαρίδος,,,,,0
18486,β00547,βάσσαρος,n,n-s---mn2-,βασσάρου,,,,,0
18487,β00548,βάσσος,n,n-s---nn3v,βάσσεος,,,,,0
18488,β00549,βάσσων,a,aps---cn3n,βάσσων βάσσων βάσσον,,,,,0
18489,β00550,βασταγάριος,n,n-s---mn2-,βασταγαρίου,,,,,0
18490,β00551,βασταγή,n,n-s---fn1e,βασταγῆς,,,,,0
18491,β00552,βαστάγιον,n,n-s---nn2-,βασταγίου,,,,,0
18493,β00554,βαστάζω,v,----------,,,,/bas.táz.dɔː/,,0
18494,β00555,βαστακτέον,v,----------,,,,,,0
18496,β00557,βαστακτικός,a,aps---mn1-,βαστακτικός βαστακτική βαστακτικόν,,,,,0
18497,β00558,βαστακτός,a,aps---mn1-,βαστακτός βαστακτή βαστακτόν,,,,,0
18498,β00559,βαστέρνιον,n,n-s---nn2-,βαστερνίου,,,,,0
18499,β00560,βασυνίας,n,n-s---mn1a,,,,,,0
18500,β00561,βαταλίζομαι,v,----------,,,,,,0
18501,β00562,βάταλος,n,n-s---mn2-,βατάλου,,,,,0
18502,β00563,βατάνη,n,----------,,,,,,0
18503,β01983,βᾶτε,n,----------,,,,,,0
18505,β00565,βάτελλα,n,n-s---fn1l,βατέλλας,,,,,0
18506,β00566,βατεύω,v,----------,,,,,,0
18507,β00567,βατέω,v,----------,,,,,,0
18508,β00568,βατήρ,n,n-s---mn3r,βατῆρος,,,,,0
18509,β00569,βατηρία,n,n-s---fn1l,βατηρίας,,,,,0
18510,β00570,βατήριον,n,----------,,,,,,0
18511,β00571,βατηρίς,n,n-s---fn3d,βατηρίδος,,,,,0
18512,β00572,βάτης,n,n-s---mn1e,βάτου,,,,,0
18513,β00573,βατιάκη,n,----------,,,,,,0
18516,β00576,βάτιον,n,n-s---nn2-,βατίου,,,,,0
18517,β00577,βατίς,n,n-s---fn3d,βατίδος,,,,,0
18518,β00578,βατοδρόπος,a,aps---cn2-,βατοδρόπος βατοδρόπος βατοδρόπον,,,,,0
18519,β00579,βατόεις,a,aps---mn4i,βατόεις βατόεσσα βατόεν,,,,,0
18520,β00580,βάτον,n,n-s---nn2-,βάτου,,,,,0
18521,β00582,βάτος,n,----------,,,,,,0
18522,β00583,βάτος,n,----------,,,,,,0
18523,β00581,βάτος,n,n-s---fn2-,βάτου,,,,,0
18525,β00585,βατράχειος,n,----------,,,,,,0
18526,β00586,βατραχίδιον,n,n-s---nn2-,βατραχιδίου,,,,,0
18527,β00587,βατραχίζω,v,----------,,,,,,0
18528,β00589,βατράχιον,n,n-s---nn2-,βατραχίου,,,,,0
18529,β00588,βατραχιοῦν,n,----------,,,,,,0
18530,β00590,βατραχίς,n,n-s---fn3d,βατραχίδος,,,,,0
18532,β00592,βατραχίτης,n,n-s---mn1e,βατραχίτου,,,,,0
18533,β00593,βατραχομυομαχία,n,n-s---fn1l,βατραχομυομαχίας,,,,,0
18478,β00540,βασμίς,n,----------,,,,,,0
18536,β00596,βατταρίζω,v,----------,,,,,,0
18538,β00598,βατταριστής,n,n-s---mn1e,βατταριστού,,,,,0
18539,β00599,βαττολογέω,v,v1spia--2e,,,,/βat.to.loˈɣe.o/,,0
18540,β00600,βάττος,n,n-s---mn2-,βάττου,,,,,0
18541,β00601,βατύλη,n,n-s---fn1e,βατύλης,,,,,0
18542,β00603,βατώδης,a,aps---cn3s,βατώδης βατώδης βατώ͂δες,,,,,0
18543,β00604,βαύ,v,----------,,,,,,0
18544,β00004,βαῦ,n,----------,,,,,,0
18545,β00605,βαυβαλίζω,v,----------,,,,,,0
18546,β00606,βαυβάω,v,----------,,,,,,0
18547,β00607,βαυβώ,n,----------,,,,,,0
18548,β00608,βαυβών,n,n-s---mn3n,βαυβῶνος,,,,,0
18549,β00609,βαύ̈ζω,v,----------,,,,,,0
18551,β00611,βαυκάλη,n,n-s---fn1e,βαυκάλης,,,,,0
18552,β00612,βαυκάλημα,n,n-s---nn3t,βαυκαλήματος,,,,,0
18553,β00613,βαυκάλησις,n,n-s---fn3v,βαυκαλησέως,,,,,0
18554,β00614,βαυκαλίζω,v,----------,,,,,,0
18557,β00617,βαυκίδες,n,n-p---fn1l,βαυκιδῶν,,,,,0
18558,β00618,βαυκίζω,v,----------,,,,,,0
18559,β00619,βαύκισμα,n,n-s---nn3t,βαυκίσματος,,,,,0
18560,β00620,βαυκισμός,n,----------,,,,,,0
18561,β00621,βαυκοπανοῦργος,n,n-s---mn2-,βαυκοπανούργου,,,,,0
18562,β00622,βαυκός,a,aps---mn1-,βαυκός βαυκή βαυκόν,,,,,0
18563,β00294,βαῦνος,n,n-s---mn2-,βαύνου,,,,,0
18564,β00623,βαυρία,n,n-s---fn1l,βαυρίας,,,,,0
18565,β00624,βαυριόθεν,r,----------,,,,,,0
18567,β00626,βαφεῖον,n,n-s---nn2-,βαφείου,,,,,0
18568,β00627,βαφεύς,n,n-s---mn3v,βαφέως,,,,,0
18569,β00628,βαφή,n,n-s---fn1e,βαφῆς,,,/ba.pʰɛ̌ː/,,0
18570,β00629,βαφικός,a,aps---mn1-,βαφικός βαφική βαφικόν,,,,,0
18571,β00630,βάφιςςα,n,n-s---fn1s,βάφις<ς>ας,,,,,0
18572,β00631,βάψιμος,a,aps---cn2-,βάψιμος βάψιμος βάψιμον,,,,,0
18573,β00632,βάψις,n,n-s---fn3v,βάψεως,,,,,0
18574,β00633,βάω,v,----------,,,,,,0
18575,β00636,βδαλεύς,n,n-s---mn3v,βδαλέως,,,,,0
18576,β00637,βδάλλω,v,----------,,,,/bdál.lɔː/,,0
18577,β00638,βδάλσις,n,n-s---fn3v,βδάλσεως,,,,,0
18578,β00640,βδέλλα,n,n-s---fn1s,,,,,,0
18581,β00643,βδελλιστέον,v,----------,,,,,,0
18582,β00644,βδελλολάρυγξ,a,----------,,,,,,0
18583,β00645,βδέλυγμα,n,n-s---nn3t,βδελύγματος,,,,,0
18584,β00646,βδελυγμία,n,n-s---fn1l,βδελυγμίας,,,,,0
18585,β00647,βδελυγμός,n,----------,,,,,,0
18588,β00650,βδελυρεύομαι,v,----------,,,,,,0
18589,β00651,βδελυρία,n,n-s---fn1l,βδελυρίας,,,,,0
18590,β00652,βδελυρός,a,aps---mn1-,βδελυρός βδελυρά βδελυρόν,,,,,0
18591,β00653,βδελύσσομαι,v,----------,,,,,,0
18535,β00595,βάτταλος,n,n-s---mn2-,βαττάλου,,,,,0
18594,β00639,βδεῦ,n,----------,,,,,,0
18595,β00656,βδέω,v,----------,,,,/bdé.ɔː/,,0
18596,β00657,βδόλος,n,n-s---mn2-,βδόλου,,,,,0
18597,β00658,βδύλλω,v,----------,,,,,,0
18599,β00660,βεβαιότης,n,n-s---fn3t,βεβαιότητος,,,,,0
18601,β00662,βεβαιόω,v,----------,,,,,,0
18602,β00663,βεβαίωμα,n,n-s---nn3t,βεβαιώματος,,,,,0
18603,β00664,βεβαίωσις,n,n-s---fn3v,βεβαιωσέως,,,,,0
18604,β00665,βεβαιωτέον,a,----------,,,,,,0
18605,β00666,βεβαιωτήρ,n,n-s---mn3r,βεβαιωτῆρος,,,,,0
18606,β00667,βεβαιωτής,n,n-s---mn1e,βεβαιωτού,,,,,0
18607,β00668,βεβαιωτικός,a,aps---mn1-,βεβαιωτικός βεβαιωτική βεβαιωτικόν,,,,,0
18608,β00669,βεβαιώτρια,n,n-s---fn1s,βεβαιώτριας,,,,,0
18609,β00670,βεβάμεν,n,----------,,,,,,0
18610,β00671,βεβαρηώς,n,----------,,,,,,0
18611,β00672,βέβασαν,n,----------,,,,,,0
18613,β00674,βέβηλος,a,aps---cn2-,βέβηλος βέβηλος βέβηλον,,,/bé.bɛː.los/,,0
18614,β00675,βεβηλόω,v,----------,,,,,,0
18615,β00676,βεβήλωσις,n,n-s---fn3v,βεβηλωσέως,,,,,0
18616,β00677,βεβιασμένως,r,----------,,,,,,0
18617,β00678,βέβλειν,n,----------,,,,,,0
18618,β00679,βεβολήατο,n,----------,,,,,,0
18620,β00681,βεβρός,a,aps---mn1-,βεβρός βεβρά βεβρόν,,,,,0
18621,β00682,βέβρυχε,n,----------,,,,,,0
18622,β00683,βεβρώθοις,n,----------,,,,,,0
18623,β00684,βεβυκῶσθαι,n,----------,,,,,,0
18624,β00685,βεβώς,n,----------,,,,,,0
18625,β00687,βέδυ,n,n-s----n--,,,,,,0
18626,β00688,βέη,n,----------,,,,,,0
18627,β00689,βέθρον,n,n-s---nn2-,βέθρου,,,,,0
18629,β00691,βέκος,n,----------,,,,,,0
18631,β00693,βέλεκκοι,n,n-p---mn2-,βελέκκων,,,,,0
18632,β00694,βέλεμνον,n,n-s---nn2-,βελέμνου,,,,,0
18633,β00695,βελενκώθιον,n,n-s---nn2-,βελενκωθίου,,,,,0
18634,β00696,βελεσσιχαρής,a,aps---cn5s,βελεσσιχαρής βελεσσιχαρής βελεσσιχαρές,,,,,0
18635,β00697,βελικός,a,aps---mn1-,βελικός βελική βελικόν,,,,,0
18636,β00698,βελίτης,n,----------,,,,,,0
18637,β00699,βελοθήκη,n,n-s---fn1e,βελοθήκης,,,,,0
18638,β00700,βελόνη,n,n-s---fn1e,βελόνης,,,/be.ló.nɛː/,,0
18639,β00701,βελονίς,n,n-s---fn3d,βελονίδος,,,,,0
18641,β00703,βελονοθήκη,n,n-s---fn1e,βελονοθήκης,,,,,0
18642,β00704,βελονοποικίλτης,n,n-s---mn1e,βελονοποικίλτου,,,,,0
18643,β00705,βελονοπώλης,n,n-s---mn1e,βελονοπώλου,,,,,0
18644,β00706,βελοποιί̈α,n,n-s---fn1l,βελοποιΐας,,,,,0
18645,β00707,βελοποιός,a,aps---cn2-,βελοποιός βελοποιός βελοποιόν,,,,,0
18646,β00708,βέλος,n,n-s---nn3v,βέλεος,,,/bé.los/,,0
18593,β00655,βδέσμα,n,n-s---nn3t,βδέσματος,,,,,0
18649,β00711,βελοσφενδόνη,n,n-s---fn1e,βελοσφενδόνης,,,,,0
18650,β00712,βελουλκέω,v,----------,,,,,,0
18651,β00713,βελουλκητέον,v,----------,,,,,,0
18652,β00714,βελουλκία,n,n-s---fn1l,βελουλκίας,,,,,0
18654,β00716,βελουλκός,n,----------,,,,,,0
18655,β00717,βελοφόροι,n,n-p---mn2-,βελοφόρων,,,,,0
18656,β00718,βέλτερος,a,aps---mn1-,βέλτερος βέλτερα βέλτερον,,,,,0
18657,β00719,βελτιότης,n,n-s---fn3t,βελτιότητος,,,,,0
18658,β00720,βελτιόω,v,----------,,,,,,0
18661,β00723,βελτίωσις,n,n-s---fn3v,βελτιωσέως,,,,,0
18662,β00724,βελτιώτερος,a,aps---mn1-,βελτιώτερος βελτιώτερα βελτιώτερον,,,,,0
18663,β00725,βελφός,n,----------,,,,,,0
18664,β00728,βεμβικιάω,v,----------,,,,,,0
18665,β00729,βεμβικίζω,v,----------,,,,,,0
18666,β00730,βεμβικώδης,a,aps---cn3s,βεμβικώδης βεμβικώδης βεμβικώ͂δες,,,,,0
18667,β00731,βέμβιξ,n,n-s---fn3v,βέμβικος,,,,,0
18668,β00732,βέμβλετο,n,----------,,,,,,0
18669,β00733,βεμβράς,n,n-s---fn3d,βεμβράδος,,,,,0
18670,β00734,βεμβραφύη,n,n-s---fn1e,βεμβραφύης,,,,,0
18671,β00735,βενδῖς,n,n-s---fn3d,βενδῖδος,,,,,0
18673,β00727,βεμβίκειος,n,n-s---mn2-,βεμβικείου,,,,,0
18674,,Βενετιανός,n,----------,,,,,,0
18675,β00736,βένετος,a,aps---cn2-,βένετος βένετος βένετον,,,,,0
18676,β00737,βένθος,n,n-s---nn3v,βένθεος,,,,,0
18678,β00739,βέομαι,v,----------,,,,,,0
18679,β00740,βερβεία,n,----------,,,,,,0
18680,β00741,βέρβερι,n,n-s---nn3v,βέρβεεος,,,,,0
18681,β00742,βερβερίζω,v,----------,,,,,,0
18682,β00743,βερβέριον,n,n-s---nn2-,βερβερίου,,,,,0
18683,β00744,βερβίνια,n,n-p---nn2-,βερβινίων,,,,,0
18684,β00745,βεργαί̈ζω,v,----------,,,,,,0
18685,β00746,βέρεδος,n,n-s---mn2-,βερέδου,,,,,0
18686,β00747,βέρεθρον,n,----------,,,,,,0
18687,β00748,βερέκυντες,n,----------,,,,,,0
18688,β00749,βερεκυντίας,n,----------,,,,,,0
18689,β00750,βερενίκη,v,----------,,,,,,0
18692,β00753,βεστίον,n,n-s---nn2-,βεστίου,,,,,0
18693,β00754,βέστον,n,----------,,,,,,0
18694,β00755,βεττονική,n,n-s---fn1e,βεττονικῆς,,,,,0
18695,β00686,βεῦδος,n,n-s---nn3v,βεῦδεος,,,,,0
18696,β00756,βέφυρα,n,----------,,,,,,0
18697,β00634,βῆβῆ,n,----------,,,,,,0
18698,β00635,βῆγμα,n,n-s---nn3t,βήγματος,,,,,0
18699,β00758,βηκία,n,n-p---nn2-,βηκίων,,,,,0
18700,β00759,βηλά,n,----------,,,,,,0
18701,β00760,βήλημα,n,n-s---nn3t,βηλήματος,,,,,0
18648,β00710,βελόστασις,n,n-s---fn3v,βελοστασέως,,,,,0
18706,β00764,βηματίζω,v,----------,,,,,,0
18707,β00765,βηματιστής,n,n-s---mn1e,βηματιστού,,,,,0
18708,β00766,βήμεναι,n,----------,,,,,,0
18709,β00767,βήξ,n,n-s---mn3v,,,,,,0
18710,β00768,βηράνθεμον,n,----------,,,,,,0
18711,β00769,βήρηξ,n,n-s---mn3e,βήρηκος,,,,,0
18712,β00770,βηρίδες,n,----------,,,,,,0
18713,β00771,βηρύλλιος,n,----------,,,,,,0
18715,β00773,βήσαλον,n,n-s---nn2-,βησάλου,,,,,0
18716,β00774,βησασᾶ,n,----------,,,,,,0
18717,β00775,βήσετο,n,----------,,,,,,0
18718,β01981,βῆσσα,n,n-s---fn1s,βῆσσης,,,,,0
18720,β00777,βησσίον,n,n-s---nn2-,βησσίου,,,,,0
18721,β00778,βήσσω,v,----------,,,,,,0
18722,β01982,βῆτα,n,n-s---nn--,-,,,/bɛ̂ː.ta/,,0
18723,β00779,βηταρμός,n,----------,,,,,,0
18724,β00780,βητάρμων,n,n-s---mn3n,βητάρμονος,,,,,0
18725,β00781,βηχία,n,n-s---fn1l,βηχίας,,,,,0
18726,β00782,βηχικός,a,aps---mn1-,βηχικός βηχική βηχικόν,,,,,0
18727,β00783,βήχιον,n,n-s---nn2-,βηχίου,,,,,0
18729,β00786,βία,n,n-s---fn1l,βίας,,,/bí.aː/,,0
18730,β00787,βιάζω,v,----------,,,,,,0
18731,β00788,βιαιοελυπίου,n,----------,,,,,,0
18732,β00789,βιαιοθανασία,n,n-s---fn1l,βιαιοθανασίας,,,,,0
18733,β00790,βιαιοθανατέω,v,----------,,,,,,0
18734,β00791,βιαιοθάνατος,n,----------,,,,,,0
18735,β00792,βιαιοκλώψ,n,----------,,,,,,0
18736,β00794,βιαιομάχος,a,----------,,,,,,0
18738,β00795,βίαιος,a,aps---mn--,,,,,,0
18739,β00796,βιαιότης,n,n-s---fn3t,βιαιότητος,,,,,0
18741,β00798,βίαρχος,n,n-s---mn2-,βιάρχου,,,,,0
18742,β00799,βιασμός,n,----------,,,,,,0
18743,β00800,βιαστέον,v,----------,,,,,,0
18744,β00801,βιαστήρ,n,n-s---mn3r,βιαστῆρος,,,,,0
18745,β00802,βιαστής,n,n-s---mn1e,βιαστού,,,,,0
18747,β00804,βιαστός,a,aps---mn1-,βιαστός βιαστή βιαστόν,,,,,0
18748,β00805,βιατάς,n,----------,,,,,,0
18749,β00806,βιάω,v,----------,,,,,,0
18750,β00807,βιβάζω,v,----------,,,,,,0
18751,β00808,βιβάσθω,v,----------,,,,,,0
18752,β00809,βίβασις,n,n-s---fn3v,βιβασέως,,,,,0
18753,β00810,βιβαστής,n,n-s---mn1e,βιβαστού,,,,,0
18754,β00811,βιβάω,v,----------,,,,,,0
18755,β00812,βίβημι,v,----------,,,,,,0
18756,β00813,βιβλ,n,----------,,,,,,0
18757,β00814,βιβλαρίδιον,n,n-s---nn2-,βιβλαριδίου,,,,,0
18758,β00815,βιβλάριον,n,n-s---nn2-,βιβλαρίου,,,,,0
18760,β00817,βιβλιαιγισθος,n,----------,,,,,,0
18762,β00819,βιβλιαρίδιον,n,n-s---nn2-,βιβλιαριδίου,,,,,0
18704,β00763,βηλός,n,----------,,,,,,0
18766,β00823,βιβλίδιον,n,n-s---nn2-,βιβλιδίου,,,,,0
18767,β00824,βίβλινος,a,aps---mn1-,βίβλινος βιβλίνη βίβλινον,,,,,0
18768,β00825,βιβλιογραφία,n,n-s---fn1l,βιβλιογραφίας,,,,,0
18770,β00827,βιβλιοθήκη,n,n-s---fn1e,βιβλιοθήκης,,,/bi.bli.o.tʰɛ̌ː.kɛː/,,0
18771,β00828,βιβλιοκάπηλος,n,n-s---mn2-,βιβλιοκαπήλου,,,,,0
18772,β00829,βιβλιολάθας,n,----------,,,,,,0
18773,β00830,βιβλιομαχέω,v,----------,,,,,,0
18774,β00831,βιβλίον,n,n-s---nn2-,βιβλίου,,,/bi.blí.on/,,0
18775,β00832,βιβλιοπωλεῖον,n,n-s---nn2-,βιβλιοπωλείου,,,/bi.bli.o.poˈli.on/,,0
18777,β00834,βιβλιοφόριον,n,n-s---nn2-,βιβλιοφορίου,,,,,0
18778,β00835,βιβλιοφυλακέω,v,----------,,,,,,0
18779,β00836,βιβλιοφυλακία,n,n-s---fn1l,βιβλιοφυλακίας,,,,,0
18780,β00837,βιβλιοφυλάκιον,v,----------,,,,,,0
18781,β00838,βιβλιοφύλαξ,n,----------,,,,,,0
18782,β00839,βιβλίς,n,n-s---fn3d,βιβλίδος,,,,,0
18783,β00840,βιβλοπώλης,n,----------,,,,,,0
18784,β00842,βιβρώσκω,v,v1spia--1-,,,,/bi.brɔ̌ːs.kɔː/,,0
18785,β00843,βίδην,n,----------,,,,,,0
18786,β00848,βίθυν,n,----------,,,,,,0
18788,β00845,βιζάριον,n,n-s---nn2-,βιζαρίου,,,,,0
18789,β00846,βιημάχος,n,----------,,,,,,0
18790,β00847,βίθυν,n,----------,,,,,,0
18792,β00850,βιθυνιαρχία,n,n-s---fn1l,βιθυνιαρχίας,,,,,0
18793,β00852,βικίον,n,----------,,,,,,0
18794,β00851,βικίον,n,n-s---nn2-,βικίου,,,,,0
18795,β00924,βῖκος,n,n-s---mn2-,βίκου,,,,,0
18796,β00853,βικόστομον,n,n-s---nn2-,βικοστόμου,,,,,0
18797,β00854,βιλίσκος,n,----------,,,,,,0
18799,β00856,βιλλᾶς,n,----------,,,,,,0
18800,β00857,βινέω,v,----------,,,,/biː.né.ɔː/,,0
18801,β00858,βινητιάω,v,----------,,,,,,0
18802,β00859,βιογραφία,n,n-s---fn1l,βιογραφίας,,,,,0
18803,β00860,βιοδότης,n,n-s---mn1e,βιοδότου,,,,,0
