ε05807,ἑληθερέω,v,----------,,,,,,0
31999,ε05944,ἐλλόγιμος,a,aps---cn2-,ἐλλόγιμος ἐλλόγιμος ἐλλόγιμον,,,,,0
32000,ε05945,ἐλλογιμότης,n,n-s---fn3t,ἐλλογιμότητος,,,,,0
32001,ε05946,ἔλλογος,a,aps---cn2-,ἔλλογος ἔλλογος ἔλλογον,,,,,0
32002,ε05947,ἔλλοιπος,a,aps---cn2-,ἔλλοιπος ἔλλοιπος ἔλλοιπον,,,,,0
32003,ε05948,ἐλλοξοτέρως,r,----------,,,,,,0
32004,,Ἐλλοπία,n,n-s---fn1l,Ἐλλοπίας,,,,,0
32005,ε05949,ἐλλοπιεύω,v,----------,,,,,,0
32007,ε05951,ἐλλόποδες,n,----------,,,,,,0
32009,ε05954,ἑλλός,n,----------,,,,,,0
32010,ε05953,ἐλλός,a,aps---mn1-,ἐλλός ἐλλή ἐλλόν,,,,,0
32011,ε05955,ἑλλοφόνος,a,aps---cn2-,ἑλλοφόνος ἑλλοφόνος ἑλλοφόνον,,,,,0
32012,ε05956,ἐλλοχάω,v,----------,,,,,,0
32013,ε05957,ἐλλόχησις,n,n-s---fn3v,ἐλλοχησέως,,,,,0
32014,ε05958,ἐλλοχίζω,v,----------,,,,,,0
32015,ε05959,ἔλλοψ,n,n-s---mn3l,,,,,,0
32017,ε05961,ἔλλυσις,n,----------,,,,,,0
32018,ε05962,ἐλλύτης,n,n-s---mn1e,ἐλλύτου,,,,,0
32019,ε05963,ἐλλυχνιάζω,v,----------,,,,,,0
32020,ε05964,ἐλλύχνιον,n,n-s---nn2-,ἐλλυχνίου,,,,,0
32022,ε05966,ἐλλωβάομαι,v,----------,,,,,,0
32023,,Ἑλλωτία,n,n-s---fn3d,Ἑλλωτίδος,,,,,0
32024,ε05967,ἐλμακίνη,n,----------,,,,,,0
32025,ε05968,ἑλμινθιάω,v,----------,,,,,,0
32026,ε05969,ἑλμίνθιον,n,n-s---nn2-,ἑλμινθίου,,,,,0
32028,ε05971,ἑλμινθώδης,a,aps---cn3s,ἑλμινθώδης ἑλμινθώδης ἑλμινθώ͂δες,,,,,0
32029,ε05972,ἕλμινς,n,n-s---fn3d,ἕλμινθος,,,/hél.mins/,,0
32030,ε05973,ἑλξίνη,n,n-s---fn1e,ἑλξίνης,,,,,0
32031,ε05974,ἕλξις,n,n-s---fn3v,ἕλξεως,,,,,0
32032,ε05975,ἑλξῖτις,n,n-s---fn3d,ἑλξίτιδος,,,,,0
32033,ε05976,ἕλοιμι,v,----------,,,,,,0
32034,ε05977,ἑλονόμος,a,aps---cn2-,ἑλονόμος ἑλονόμος ἑλονόμον,,,,,0
32035,ε05978,ἕλος,n,n-s---nn3v,ἕλεος,,,/hé.los/,,0
32036,ε05979,ἔλοψ,n,----------,,,,,,0
32037,ε05980,ἐλπιδοδώτης,n,n-s---mn1e,ἐλπιδοδώτου,,,,,0
32038,ε05981,ἐλπιδοκοπέω,v,----------,,,,,,0
32040,ε05983,ἐλπίζω,v,----------,,,,/el.píz.dɔː/,,0
32041,ε05984,ἐλπίς,n,n-s---fn3d,ἐλπίδος,,,/el.pís/,,0
32042,ε05985,ἔλπισμα,n,n-s---nn3t,ἐλπίσματος,,,,,0
32043,ε05986,ἐλπισμός,n,----------,,,,,,0
32044,ε05987,ἐλπιστέον,a,----------,,,,,,0
32046,ε05989,ἐλπιστός,a,aps---mn1-,ἐλπιστός ἐλπιστή ἐλπιστόν,,,,,0
32047,ε05990,ἔλπω,v,----------,,,,/él.pɔː/,,0
32048,ε05991,ἐλπωρή,n,n-s---fn1e,ἐλπωρῆς,,,,,0
32049,ε05992,ἔλσαι,n,----------,,,,,,0
32050,ε05993,ἔλση,n,----------,,,,,,0
31997,ε05942,ἐλλογάω,v,----------,,,,,,0
32053,ε05996,ἔλυμος,n,n-s---mn2-,ἐλύμου,,,,,0
32054,ε05997,ἐλυτροειδὴς,n,----------,,,,,,0
32056,ε05999,ἐλυτρόω,v,----------,,,,,,0
32057,ε06000,ἐλύω,v,----------,,,,,,0
32058,ε06001,ἔλφος,n,n-s---nn3v,ἔλφεος,,,,,0
32059,ϝ00002,ϝέλχανος,n,----------,,,,,,0
32060,ε06002,ἑλώδης,a,aps---cn3s,ἑλώδης ἑλώδης ἑλώ͂δες,,,,,0
32061,ε06003,ἕλωμα,n,n-s---nn3t,ἑλώματος,,,,,0
32062,,Ἐλωός,n,----------,,,,,,0
32063,ε06004,ἕλωρ,n,----------,,,,,,0
32064,ε06005,ἑλώριον,n,n-s---nn2-,ἑλωρίου,,,,,0
32065,ε06006,ἑλώριος,n,n-s---mn2-,ἑλωρίου,,,,,0
32066,ε06007,ἐμ,n,----------,,,,,,0
32067,ε06008,ἐμαυτοῦ,n,----------,,,,,,0
32068,ε06009,ἔμβα,n,----------,,,,,,0
32069,ε06010,ἐμβαβάζω,v,----------,,,,,,0
32070,ε06021,ἐμβαδᾶς,n,n-s---mn2c,ἐμβαδᾶ,,,,,0
32071,ε06011,ἐμβαδεία,n,n-s---fn1l,ἐμβαδείας,,,,,0
32072,ε06012,ἐμβάδευσις,n,----------,,,,,,0
32073,ε06013,ἐμβαδεύω,v,----------,,,,,,0
32076,ε06016,ἐμβάδιον,n,n-s---nn2-,ἐμβαδίου,,,,,0
32078,ε06018,ἐμβαδόν,r,----------,,,,,,0
32079,ε06019,ἐμβαδόν,n,----------,,,,,,0
32080,ε06020,ἐμβαδοποιός,n,----------,,,,,,0
32081,ε06022,ἔμβαθρα,n,n-p---nn2-,ἐμβάθρων,,,,,0
32082,ε06023,ἐμβαθρικὸν,n,----------,,,,,,0
32083,ε06024,ἐμβαθύνω,v,----------,,,,,,0
32084,ε06025,ἐμβαίνω,v,----------,,,,,,0
32085,ε06026,ἐμβακχεύω,v,----------,,,,,,0
32086,ε06027,ἐμβάλλω,v,----------,,,,,,0
32088,ε06029,ἐμβαμμάτιον,n,n-s---nn2-,ἐμβαμματίου,,,,,0
32089,ε06030,ἐμβαπτίζω,v,----------,,,,,,0
32090,ε06031,ἐμβάπτω,v,----------,,,,,,0
32091,ε06032,ἔμβαρος,a,aps---cn2-,ἔμβαρος ἔμβαρος ἔμβαρον,,,,,0
32092,ε06033,ἐμβαρύθω,v,----------,,,,,,0
32093,ε06034,ἐμβάς,n,n-s---fn3d,ἐμβάδος,,,,,0
32094,ε06035,ἐμβασανίζω,v,----------,,,,,,0
32097,ε06038,ἐμβασιλεύω,v,----------,,,,,,0
32098,,Ἐμβάσιος,n,----------,,,,,,0
32099,ε06039,ἔμβασις,n,n-s---fn3v,ἐμβασέως,,,,,0
32100,ε06040,ἐμβασίχυτρος,n,n-s---mn2-,ἐμβασιχύτρου,,,,,0
32101,ε06041,ἐμβαστάζω,v,----------,,,,,,0
32102,ε06042,ἐμβατεία,n,n-s---fn1l,ἐμβατείας,,,,,0
32103,ε06043,ἐμβατέον,v,----------,,,,,,0
32104,ε06044,ἐμβατεύω,v,----------,,,,,,0
32105,ε06045,ἐμβατέω,v,----------,,,,,,0
32107,ε06047,ἐμβατήριος,a,aps---cn2-,ἐμβατήριος ἐμβατήριος ἐμβατήριον,,,,,0
32108,ε06048,ἐμβάτης,n,n-s---mn1e,ἐμβάτου,,,,,0
32109,ε06049,ἐμβατικός,n,----------,,,,,,0
32052,ε05995,ἔλυμα,n,n-s---nn3t,ἐλύματος,,,,,0
32113,ε06053,ἐμβεβαιόομαι,v,----------,,,,,,0
32114,ε06054,ἐμβελής,a,aps---cn5s,ἐμβελής ἐμβελής ἐμβελές,,,,,0
32115,ε06055,ἔμβη,n,----------,,,,,,0
32116,ε06056,ἐμβιβάζω,v,----------,,,,,,0
32117,ε06057,ἐμβιβάσκω,v,----------,,,,,,0
32118,ε06058,ἐμβιβασμός,n,----------,,,,,,0
32119,ε06059,ἐμβιβαστέον,v,----------,,,,,,0
32120,ε06060,ἐμβιβαστής,n,n-s---mn1e,ἐμβιβαστού,,,,,0
32121,ε06061,ἔμβιος,a,aps---cn2-,ἔμβιος ἔμβιος ἔμβιον,,,,,0
32122,ε06062,ἐμβιοτεύω,v,----------,,,,,,0
32123,ε06063,ἐμβιόω,v,----------,,,,,,0
32125,ε06065,ἐμβιωτήριον,n,n-s---nn2-,ἐμβιωτηρίου,,,,,0
32126,ε06066,ἐμβλακεύομαι,v,----------,,,,,,0
32127,ε06067,ἐμβλαστάνω,v,----------,,,,,,0
32129,ε06069,ἐμβλάστησις,n,n-s---fn3v,ἐμβλαστησέως,,,,,0
32130,ε06070,ἔμβλεμμα,n,n-s---nn3t,ἐμβλέμματος,,,,,0
32131,ε06071,ἐμβλέπω,v,----------,,,,,,0
32132,ε06072,ἔμβλεψις,n,n-s---fn3v,ἐμβλεψέως,,,,,0
32133,ε06073,ἐμβλήθρα,n,n-s---fn1l,ἐμβλήθρας,,,,,0
32135,ε06075,ἔμβλησις,n,n-s---fn3v,ἐμβλησέως,,,,,0
32136,ε06076,ἐμβλητέον,v,----------,,,,,,0
32137,ε06077,ἐμβοάω,v,----------,,,,,,0
32138,ε06078,ἐμβόησις,n,n-s---fn3v,ἐμβοησέως,,,,,0
32139,ε06079,ἐμβοθρεύω,v,----------,,,,,,0
32140,ε06080,ἐμβοθρόομαι,v,----------,,,,,,0
32142,ε06082,ἐμβολάδην,n,----------,,,,,,0
32143,ε06083,ἐμβολάδιον,n,n-s---nn2-,ἐμβολαδίου,,,,,0
32144,ε06084,ἐμβολάς,a,----------,,,,,,0
32145,ε06085,ἐμβολεύς,n,n-s---mn3v,ἐμβολέως,,,,,0
32146,ε06086,ἐμβολεύω,v,----------,,,,,,0
32147,ε06087,ἐμβολή,n,n-s---fn1e,ἐμβολῆς,,,,,0
32149,ε06089,ἐμβόλιμος,a,aps---cn2-,ἐμβόλιμος ἐμβόλιμος ἐμβόλιμον,,,,,0
32150,ε06090,ἐμβολίνη,n,n-s---fn1e,ἐμβολίνης,,,,,0
32151,ε06091,ἐμβόλιον,n,n-s---nn2-,ἐμβολίου,,,,,0
32152,ε06092,ἐμβόλισμα,n,n-s---nn3t,ἐμβολίσματος,,,,,0
32153,ε06097,ἐμβολῖται,n,----------,,,,,,0
32156,ε06096,ἔμβολος,n,n-s---mn2-,ἐμβόλου,,,,,0
32157,ε06098,ἐμβομβέω,v,----------,,,,,,0
32158,ε06099,ἐμβόσκομαι,v,----------,,,,,,0
32159,ε06100,ἐμβοτέω,v,----------,,,,,,0
32160,ε06101,ἐμβουκολέω,v,----------,,,,,,0
32161,ε06102,ἐμβράγχια,n,n-p---nn2-,ἐμβραγχίων,,,,,0
32162,ε06103,ἐμβραδύνω,v,----------,,,,,,0
32163,ε06104,ἐμβραμένα,n,n-s---fn1l,ἐμβραμένας,,,,,0
32164,ε06105,ἐμβράσσω,v,----------,,,,,,0
32165,ε06106,ἔμβραχυ,r,----------,,,,,,0
32112,ε06052,ἐμβέβαα,n,----------,,,,,,0
32169,ε06110,ἐμβρέμομαι,v,----------,,,,,,0
32170,ε06111,ἐμβρενθυόμενος,n,----------,,,,,,0
32172,ε06113,ἐμβρέχω,v,----------,,,,,,0
32173,ε06114,ἔμβρημα,n,n-s---nn3t,ἐμβρήματος,,,,,0
32174,ε06115,ἐμβρίθεια,n,n-s---fn1s,ἐμβρίθειας,,,,,0
32175,ε06116,ἐμβριθής,a,aps---cn5s,ἐμβριθής ἐμβριθής ἐμβριθές,,,,,0
32176,ε06117,ἐμβρίθω,v,----------,,,,,,0
32177,ε06118,ἐμβριμάομαι,v,----------,,,,,,0
32179,ε06120,ἐμβρίμησις,n,n-s---fn3v,ἐμβριμησέως,,,,,0
32180,ε06121,ἐμβρονταῖος,a,aps---mn1-,ἐμβρονταῖος ἐμβρονταῖα ἐμβρονταῖον,,,,,0
32181,ε06122,ἐμβροντάω,v,----------,,,,,,0
32182,ε06123,ἐμβροντησία,n,n-s---fn1l,ἐμβροντησίας,,,,,0
32183,ε06124,ἐμβρόντητος,a,aps---cn2-,ἐμβρόντητος ἐμβρόντητος ἐμβρόντητον,,,,,0
32184,ε06125,ἐμβροχάς,n,n-s---fn3d,ἐμβροχάδος,,,,,0
32185,ε06126,ἐμβροχή,n,n-s---fn1e,ἐμβροχῆς,,,,,0
32186,ε06127,ἐμβρόχημα,n,n-s---nn3t,ἐμβροχήματος,,,,,0
32188,ε06129,ἐμβροχίζω,v,----------,,,,,,0
32189,ε06130,ἔμβροχος,a,aps---cn2-,ἔμβροχος ἔμβροχος ἔμβροχον,,,,,0
32190,ε06131,ἐμβρύειον,n,n-s---nn2-,ἐμβρυείου,,,,,0
32191,ε06132,ἐμβρύκω,v,----------,,,,,,0
32193,ε06134,ἐμβρυοθλάστης,n,n-s---mn1e,ἐμβρυοθλάστου,,,,,0
32194,ε06135,ἐμβρύοικος,n,----------,,,,,,0
32195,ε06136,ἔμβρυον,n,n-s---nn2-,ἐμβρύου,,,/ém.bry.on/,,0
32196,ε06137,ἔμβρυος,a,aps---cn2-,ἔμβρυος ἔμβρυος ἔμβρυον,,,,,0
32197,ε06138,ἐμβρυοσφάκτης,n,n-s---mn1e,ἐμβρυοσφάκτου,,,,,0
32198,ε06139,ἐμβρυοτομέω,v,----------,,,,,,0
32200,ε06141,ἐμβρυοτόμος,n,n-s---mn2-,ἐμβρυοτόμου,,,,,0
32201,ε06142,ἐμβρυουλκέω,v,----------,,,,,,0
32202,ε06143,ἐμβρυουλκία,n,n-s---fn1l,ἐμβρυουλκίας,,,,,0
32203,ε06144,ἐμβρυουλκός,n,----------,,,,,,0
32204,ε06145,ἔμβρωμα,n,n-s---nn3t,ἐμβρώματος,,,,,0
32205,ε06146,ἐμβρωματίζω,v,----------,,,,,,0
32207,ε06148,ἔμβρωμος,a,aps---cn2-,ἔμβρωμος ἔμβρωμος ἔμβρωμον,,,,,0
32208,ε06149,ἐμβυθίζω,v,----------,,,,,,0
32209,ε06150,ἐμβύθιος,a,aps---mn1-,ἐμβύθιος ἐμβυθίη ἐμβύθιον,,,,,0
32210,ε06151,ἐμβυκανάω,v,----------,,,,,,0
32211,ε06152,ἐμβυρσόω,v,----------,,,,,,0
32212,ε06153,ἐμβύω,v,----------,,,,,,0
32213,ε06154,ἐμβώμιος,a,aps---cn2-,ἐμβώμιος ἐμβώμιος ἐμβώμιον,,,,,0
32214,ε06156,ἐμέθεν,r,----------,,,,,,0
32215,ε06157,ἔμεν,n,----------,,,,,,0
32216,ε06159,ἐμέν,n,----------,,,,,,0
32217,ε06158,ἕμεν,n,----------,,,,,,0
32218,ε06160,ἐμέο,n,----------,,,,,,0
32219,ε06161,ἑμέρα,n,----------,,,,,,0
32167,ε06108,ἐμβρεκτέον,v,----------,,,,,,0
32222,ε06164,ἔμεσμα,n,n-s---nn3t,ἐμέσματος,,,,,0
32223,ε06165,ἐμετηρίζω,v,----------,,,,,,0
32225,ε06167,ἐμετιάω,v,----------,,,,,,0
32226,ε06168,ἐμετικός,a,aps---mn1-,ἐμετικός ἐμετική ἐμετικόν,,,,,0
32227,ε06169,ἐμετοποιέομαι,v,----------,,,,,,0
32228,ε06170,ἐμετοποιί̈α,n,n-s---fn1l,ἐμετοποιί̈ας,,,,,0
32230,ε06172,ἔμετος,n,n-s---mn2-,ἐμέτου,,,,,0
32231,ε06173,ἐμετός,a,aps---mn1-,ἐμετός ἐμετή ἐμετόν,,,,,0
32232,ε06174,ἐμετώδης,a,aps---cn3s,ἐμετώδης ἐμετώδης ἐμετώ͂δες,,,,,0
32233,ε06155,ἐμεῦ,p,----------,,,,,,0
32234,ε06175,ἐμέω,v,----------,,,,/e.mé.ɔː/,,0
